x/h,y/h,z/h
1.0,1.22072053,0.0
1.0,1.21535635,0.0
1.0,1.20999217,0.0
1.0,1.204627991,0.0
1.0,1.199263811,0.0
1.0,1.193899632,0.0
1.0,1.188535452,0.0
1.0,1.183171272,0.0
1.0,1.177807093,0.0
1.0,1.172442913,0.0
1.0,1.167078733,0.0
1.0,1.161714554,0.0
1.0,1.156350374,0.0
1.0,1.150986195,0.0
1.0,1.145622015,0.0
1.0,1.140257835,0.0
1.0,1.134893656,0.0
1.0,1.129529357,0.0
1.0,1.124165177,0.0
1.0,1.118800998,0.0
1.0,1.113436818,0.0
1.0,1.108072639,0.0
1.0,1.102708459,0.0
1.0,1.097344279,0.0
1.0,1.0919801,0.0
1.0,1.08661592,0.0
1.0,1.08125174,0.0
1.0,1.075887561,0.0
1.0,1.070523381,0.0
1.0,1.065159202,0.0
1.0,1.059795022,0.0
1.0,1.054430842,0.0
1.0,1.049066663,0.0
1.0,1.043702364,0.0
1.0,1.038338184,0.0
1.0,1.032974005,0.0
1.0,1.027609825,0.0
1.0,1.022245646,0.0
1.0,1.016881466,0.0
1.0,1.011517286,0.0
1.0,1.006153107,0.0
1.0,1.000788927,0.0
1.0,0.9954247475,0.0
1.0,0.9900605679,0.0
1.0,0.9846963882,0.0
1.0,0.979332149,0.0
1.0,0.9739679694,0.0
1.0,0.9686037898,0.0
1.0,0.9632396102,0.0
1.0,0.9578754306,0.0
1.0,0.952511251,0.0
1.0,0.9471470714,0.0
1.0,0.9417828918,0.0
1.0,0.9364187121,0.0
1.0,0.9310544729,0.0
1.0,0.9256902933,0.0
1.0,0.9203261137,0.0
1.0,0.9149619341,0.0
1.0,0.9095977545,0.0
1.0,0.9042335749,0.0
1.0,0.8988693953,0.0
1.0,0.8935052156,0.0
1.0,0.8881409764,0.0
1.0,0.8827767968,0.0
1.0,0.8774126172,0.0
1.0,0.8720484376,0.0
1.0,0.866684258,0.0
1.0,0.8613200784,0.0
1.0,0.8559558988,0.0
1.0,0.8505917192,0.0
1.0,0.8452274799,0.0
1.0,0.8398633003,0.0
1.0,0.8344991207,0.0
1.0,0.8291349411,0.0
1.0,0.8237707615,0.0
1.0,0.8184065819,0.0
1.0,0.8130424023,0.0
1.0,0.8076782227,0.0
1.0,0.8023139834,0.0
1.0,0.7969498038,0.0
1.0,0.7915856242,0.0
1.0,0.7862214446,0.0
1.0,0.780857265,0.0
1.0,0.7754930854,0.0
1.0,0.7701289058,0.0
1.0,0.7647647262,0.0
1.0,0.7594005466,0.0
1.0,0.7540363073,0.0
1.0,0.7486721277,0.0
1.0,0.7433079481,0.0
1.0,0.7379437685,0.0
1.0,0.7325795889,0.0
1.0,0.7272154093,0.0
1.0,0.7218512297,0.0
1.0,0.7164870501,0.0
1.0,0.7111228108,0.0
1.0,0.7057586312,0.0
1.0,0.7003944516,0.0
1.0,0.695030272,0.0
1.0,0.6896660924,0.0
1.0,0.6843019128,0.0
1.0,0.6789377332,0.0
1.0,0.6735735536,0.0
1.0,0.6682093143,0.0
1.0,0.6628451347,0.0
1.0,0.6574809551,0.0
1.0,0.6521167755,0.0
1.0,0.6467525959,0.0
1.0,0.6413884163,0.0
1.0,0.6360242367,0.0
1.0,0.6306600571,0.0
1.0,0.6252958179,0.0
1.0,0.6199316382,0.0
1.0,0.6145674586,0.0
1.0,0.609203279,0.0
1.0,0.6038390994,0.0
1.0,0.5984749198,0.0
1.0,0.5931107402,0.0
1.0,0.5877465606,0.0
1.0,0.582382381,0.0
1.0,0.5770181417,0.0
1.0,0.5716539621,0.0
1.0,0.5662897825,0.0
1.0,0.5609256029,0.0
1.0,0.5555614233,0.0
1.0,0.5501972437,0.0
1.0,0.5448330641,0.0
1.0,0.5394688845,0.0
1.0,0.5341046453,0.0
1.0,0.5287404656,0.0
1.0,0.523376286,0.0
1.0,0.5180121064,0.0
1.0,0.5126479268,0.0
1.0,0.5072837472,0.0
1.0,0.5019195676,0.0
1.0,0.4965553582,0.0
1.0,0.4911911786,0.0
1.0,0.4858269989,0.0
1.0,0.4804627895,0.0
1.0,0.4750986099,0.0
1.0,0.4697344303,0.0
1.0,0.4643702507,0.0
1.0,0.4590060413,0.0
1.0,0.4536418617,0.0
