y,k
0,1e-10
0.00086769924,3.1640977e-07
0.0017874829,2.6342375e-06
0.0027624773,1.1477696e-05
0.0037959966,3.4804356e-05
0.0048915537,8.4507399e-05
0.0060528726,0.00017712712
0.0072839007,0.0003342259
0.0085888223,0.00058119679
0.0099720729,0.00094254958
0.011438354,0.0014327063
0.01299265,0.0020462541
0.014640245,0.0027566214
0.016386737,0.0035267081
0.018238064,0.0043228895
0.020200518,0.0051224287
0.022280771,0.0059133005
0.024485892,0.0066908492
0.026823378,0.0074545767
0.029301173,0.0082060159
0.0319277,0.0089475385
0.034711887,0.009681758
0.037663197,0.010411269
0.040791661,0.011138526
0.044107915,0.011865796
0.047623229,0.012595162
0.051349553,0.013328537
0.055299553,0.01406769
0.059486654,0.014814267
0.06392509,0.015569815
0.068629948,0.016335799
0.073617218,0.017113619
0.078903853,0.017904624
0.084507823,0.018710122
0.090448176,0.019531391
0.096745104,0.020369692
0.10342001,0.021226281
0.11049558,0.022102405
0.11799587,0.022999313
0.12594638,0.023918253
0.13437411,0.024860475
0.14330773,0.025827233
0.1527776,0.026819781
0.1628159,0.027839366
0.17345677,0.028887226
0.18473635,0.029964572
0.19669301,0.031072566
0.20936737,0.032212301
0.22280253,0.033384772
0.23704414,0.034590846
0.25214061,0.035831204
0.26814327,0.037106288
0.28510649,0.038416223
0.30308795,0.039760721
0.32214876,0.041138966
0.34235371,0.042549468
0.36377149,0.043989919
0.38647488,0.045456996
0.41054106,0.046946083
0.43605183,0.048450986
0.46309391,0.0499636
0.49175922,0.051473523
0.52214518,0.052967637
0.55435509,0.054429636
0.58849842,0.055839544
0.62469124,0.057173238
0.66305656,0.058401826
0.70372479,0.059491711
0.74683417,0.060405445
0.79253123,0.061101331
0.84097128,0.061533863
0.87299488,0.061610654
0.89232374,0.061657969
0.94676656,0.06143394
1.0044767,0.060814103
1.06565,0.059749688
1.1304945,0.058192624
1.1992303,0.056087757
1.2720909,0.053402136
1.3493237,0.050168557
1.4311909,0.046542041
1.5179707,0.042824266
1.6047488,0.039363906
1.6866113,0.036335163
1.7437929,0.034410019
1.7638596,0.033733855
1.8367875,0.031505477
1.9055761,0.029580136
1.9704609,0.027880957
2.0316638,0.026341849
2.0893941,0.024929366
2.1438492,0.023629228
2.1952152,0.022429718
2.2436676,0.021320265
2.289372,0.020291772
2.3324844,0.019336599
2.3731519,0.018448397
2.4115135,0.01762186
2.4477001,0.016852784
2.481835,0.016137935
2.5140348,0.015474712
2.5444093,0.014861156
2.573062,0.014295834
2.5828764,0.014107725
2.6000986,0.013777632
2.6256058,0.013306032
2.6496662,0.012880801
2.6723619,0.012501834
2.6937705,0.012169095
2.713965,0.011882484
2.7330143,0.011641752
2.7509836,0.011446307
2.7679341,0.011294973
2.7839236,0.011185937
2.7990067,0.011116689
2.8132348,0.011083944
2.8266564,0.01108363
2.8393174,0.011111142
2.8512607,0.011161497
2.8625272,0.011229371
2.8731552,0.011309417
2.8831809,0.01139655
2.8926385,0.011486102
2.9015602,0.011573956
2.9099764,0.011656619
2.9179158,0.011731241
2.9254053,0.011795602
2.9324705,0.011848047
2.9391354,0.011887421
2.9454227,0.011912968
2.9513538,0.011924247
2.956949,0.011921053
2.9622271,0.011903279
2.9672063,0.01187084
2.9719035,0.011823662
2.9763345,0.011761561
2.9805146,0.011684165
2.9844579,0.011590836
2.9881778,0.011480596
2.9916871,0.011352027
2.9949976,0.011203166
2.9981205,0.011031372
3.0010666,0.010833173
3.0038458,0.010604071
3.0064677,0.010338323
3.008941,0.010028687
3.0112742,0.0096661513
3.0134753,0.0092397094
3.0155518,0.0087362982
3.0175106,0.0081411776
3.0193585,0.007439233
3.0211018,0.0066182541
3.0227463,0.0056756503
3.0242977,0.0046297292
3.0257612,0.0035332123
3.0271418,0.0024773815
3.0284443,0.0015693297
3.029673,0.00088511171
3.0308321,0.0004368806
3.0319256,0.00018276212
3.0329571,6.0628606e-05
3.0339302,1.3938782e-05
3.0348483,1.6747564e-06
3.0357143,1e-10
