y,k
1.0002541,1e-10
1.0008359,4.4918414e-06
1.0014527,3.7373831e-05
1.0021064,0.0001625395
1.0027994,0.00049035366
1.0035339,0.0011755613
1.0043126,0.00239596
1.005138,0.0042859629
1.006013,0.0068363407
1.0069405,0.0098546352
1.0079236,0.013056093
1.0089658,0.016199207
1.0100705,0.019147087
1.0112415,0.021851501
1.0124829,0.024313003
1.0137987,0.02654935
1.0151935,0.028577813
1.0166721,0.030407809
1.0182393,0.032029816
1.0199007,0.03339235
1.0216618,0.034379372
1.0235286,0.034855487
1.0255075,0.034826352
1.0276052,0.034498905
1.0298287,0.034184013
1.0321858,0.034121773
1.0346843,0.03438638
1.0373328,0.034955613
1.0401402,0.035772689
1.0431162,0.036775147
1.0462709,0.03791124
1.0496148,0.039142292
1.0531596,0.040437282
1.0569171,0.041771974
1.0609001,0.0431276
1.0651222,0.044489577
1.0695978,0.045846449
1.074342,0.04718906
1.079371,0.048509938
1.0847018,0.049802831
1.0903526,0.05106237
1.0963427,0.052283821
1.1026923,0.053462892
1.109423,0.0545956
1.1165578,0.05567816
1.1241208,0.056706911
1.1321378,0.057678254
1.140636,0.058588607
1.1496443,0.059434377
1.1591934,0.060211931
1.1693157,0.060917586
1.1800455,0.061547586
1.1914194,0.0620981
1.2034761,0.062565207
1.2162565,0.062944891
1.229804,0.06323303
1.2441647,0.063425395
1.2593874,0.063517645
1.2755239,0.063505724
1.292629,0.063384845
1.3107609,0.063149766
1.3299811,0.062796138
1.350355,0.062319708
1.3719519,0.061716138
1.3948452,0.060981368
1.4191127,0.060111769
1.4448368,0.059104334
1.472105,0.057956908
1.5010101,0.056668446
1.5316502,0.055239301
1.5641295,0.053671552
1.5985584,0.051969348
1.6350539,0.050139286
1.67374,0.048190924
1.7147484,0.046135689
1.7582183,0.043986448
1.8042975,0.041763449
1.8531427,0.039489661
1.9049198,0.03718234
1.9598049,0.034858809
2.0179846,0.032567764
2.0761642,0.030415381
2.1310493,0.028478968
2.1828264,0.026752051
2.2316716,0.025202706
2.2777508,0.023804321
2.3212207,0.022535193
2.362229,0.021377882
2.4009152,0.020318484
2.4374107,0.019345839
2.4718395,0.018450872
2.5043188,0.017626203
2.5349589,0.016865807
2.5638639,0.016164715
2.5911321,0.015518812
2.6168562,0.014924677
2.6411237,0.014379442
2.6640169,0.013880681
2.6856138,0.013426314
2.7059877,0.013014518
2.7252079,0.012643641
2.7433397,0.012312128
2.7604448,0.012018447
2.7765813,0.011761017
2.791804,0.011538121
2.8061647,0.011347825
2.8197122,0.011187865
2.8324926,0.011056034
2.8445492,0.010950218
2.8559231,0.010868051
2.866653,0.010807086
2.8767752,0.010764916
2.8863243,0.010739254
2.8953326,0.010728004
2.9038308,0.010729292
2.9118478,0.010741542
2.9194108,0.010763481
2.9265456,0.010794074
2.9332763,0.010832533
2.9396259,0.010878316
2.9456159,0.010931082
2.9512667,0.010990645
2.9565976,0.011056922
2.9616265,0.01112988
2.9663707,0.011209476
2.9708463,0.011295567
2.9750684,0.011387807
2.9790514,0.011485564
2.9828089,0.011587829
2.9863536,0.011693114
2.9896976,0.011799343
2.9928523,0.011903746
2.9958282,0.012002748
2.9986357,0.012091861
3.0012842,0.012165592
3.0037827,0.012217317
3.0061397,0.012239303
3.0083633,0.012222562
3.010461,0.012156754
3.0124398,0.012030297
3.0143066,0.011830402
3.0160677,0.011543243
3.0177291,0.01115422
3.0192964,0.010647895
3.0207749,0.010009511
3.0221698,0.0092279957
3.0234856,0.0082994109
3.0247269,0.0072324076
3.0258979,0.0060554454
3.0270027,0.0048233483
3.0280448,0.003617124
3.029028,0.0025294934
3.0299554,0.0016367399
3.0308304,0.00097306159
3.0316558,0.00052612817
3.0324345,0.00025368329
3.0331691,0.00010498604
3.033862,3.4686277e-05
3.0345158,7.9651825e-06
3.0351325,9.5682761e-07
3.0357143,1e-10
