y,k
1.0002541,1e-10
1.0008359,2.0253123e-06
1.0014527,1.6853909e-05
1.0021064,7.3350451e-05
1.0027994,0.00022182381
1.0035339,0.00053534916
1.0043126,0.0011078226
1.005138,0.0020391766
1.006013,0.0033981289
1.0069405,0.0051739893
1.0079236,0.0072612449
1.0089658,0.0095043419
1.0100705,0.011766525
1.0112415,0.013968278
1.0124829,0.016083802
1.0137987,0.018118594
1.0151935,0.020074813
1.0166721,0.021915805
1.0182393,0.023588623
1.0199007,0.024997807
1.0216618,0.026008955
1.0235286,0.026648841
1.0255075,0.027134684
1.0276052,0.027653504
1.0298287,0.02827136
1.0321858,0.028988199
1.0346843,0.029796343
1.0373328,0.030699575
1.0401402,0.031700569
1.0431162,0.03279426
1.0462709,0.033968166
1.0496148,0.03520605
1.0531596,0.03649029
1.0569171,0.037804679
1.0609001,0.039135332
1.0651222,0.040470688
1.0695978,0.041801202
1.074342,0.043118973
1.079371,0.0444174
1.0847018,0.045690894
1.0903526,0.046934642
1.0963427,0.048144424
1.1026923,0.049316457
1.109423,0.050447274
1.1165578,0.051533619
1.1241208,0.052572363
1.1321378,0.053560434
1.140636,0.054494752
1.1496443,0.055372177
1.1591934,0.056189472
1.1693157,0.056943261
1.1800455,0.05763
1.1914194,0.058245952
1.2034761,0.058787169
1.2162565,0.059249476
1.229804,0.059628463
1.2441647,0.059919488
1.2593874,0.06011769
1.2755239,0.060218006
1.292629,0.060215631
1.3107609,0.060105154
1.3299811,0.059880497
1.350355,0.05953658
1.3719519,0.059068775
1.3948452,0.058472359
1.4191127,0.057743015
1.4448368,0.056876994
1.472105,0.055871317
1.5010101,0.054724013
1.5316502,0.053434406
1.5641295,0.052003445
1.5985584,0.050434081
1.6350539,0.048731706
1.67374,0.046904767
1.7147484,0.044963729
1.7582183,0.042920048
1.8042975,0.040792036
1.8531427,0.038603109
1.9049198,0.036372087
1.9598049,0.034116393
2.0179846,0.031884338
2.0761642,0.029781324
2.1310493,0.027885196
2.1828264,0.026191503
2.2316716,0.024670181
2.2777508,0.023295878
2.3212207,0.022047714
2.362229,0.020908751
2.4009152,0.019865386
2.4374107,0.018906645
2.4718395,0.018023529
2.5043188,0.017208644
2.5349589,0.016455914
2.5638639,0.015760298
2.5911321,0.015117599
2.6168562,0.014524323
2.6411237,0.01397755
2.6640169,0.013474839
2.6856138,0.01301413
2.7059877,0.012593668
2.7252079,0.012211922
2.7433397,0.011867507
2.7604448,0.011559122
2.7765813,0.011285474
2.791804,0.011045208
2.8061647,0.010836837
2.8197122,0.010658642
2.8324926,0.010508628
2.8445492,0.010384708
2.8559231,0.010284834
2.866653,0.010206885
2.8767752,0.010148666
2.8863243,0.010108054
2.8953326,0.010083056
2.9038308,0.010071726
2.9118478,0.010072286
2.9194108,0.010083302
2.9265456,0.010103695
2.9332763,0.010132539
2.9396259,0.010169012
2.9456159,0.010212492
2.9512667,0.010262496
2.9565976,0.010318645
2.9616265,0.010380646
2.9663707,0.010448123
2.9708463,0.010520534
2.9750684,0.010597224
2.9790514,0.010677307
2.9828089,0.010759586
2.9863536,0.010842467
2.9896976,0.010923887
2.9928523,0.011001232
2.9958282,0.01107125
2.9986357,0.011129963
3.0012842,0.011172559
3.0037827,0.011193316
3.0061397,0.011185494
3.0083633,0.011141162
3.010461,0.01105115
3.0124398,0.010904964
3.0143066,0.010690645
3.0160677,0.010394803
3.0177291,0.010002895
3.0192964,0.0094999313
3.0207749,0.0088719602
3.0221698,0.0081087509
3.0234856,0.0072098968
3.0247269,0.0061915472
3.0258979,0.0050917734
3.0270027,0.0039733669
3.0280448,0.0029166881
3.029028,0.0019997155
3.0299554,0.0012734415
3.0308304,0.00074868353
3.0316558,0.00040209021
3.0324345,0.00019319055
3.0331691,7.9822491e-05
3.033862,2.635632e-05
3.0345158,6.0512583e-06
3.0351325,7.268951e-07
3.0357143,1e-10
