y,R_0,R_1,R_2,R_3,R_4,R_5
0,6.6666667e-11,0,0,6.6666667e-11,0,6.6666667e-11
0.00086769924,6.5858565e-11,-3.5782537e-18,2.0972926e-38,6.5858565e-11,7.476024e-36,6.5858565e-11
0.0017874829,6.5019238e-11,-3.4824426e-18,1.2196526e-33,6.5019238e-11,4.8225141e-36,6.5019238e-11
0.0027624773,6.413551e-11,-3.379997e-18,9.8962928e-34,6.413551e-11,-1.3569478e-35,6.413551e-11
0.0037959966,6.3205452e-11,-3.2711831e-18,-1.0437405e-33,6.3205452e-11,-1.4316472e-35,6.3205452e-11
0.0048915537,6.222711e-11,-3.1565495e-18,-2.5813875e-33,6.222711e-11,5.4923097e-36,6.222711e-11
0.0060528726,6.1198518e-11,-3.0366507e-18,-1.5684317e-34,6.1198518e-11,3.4398278e-36,6.1198518e-11
0.0072839007,6.0117701e-11,-2.9120513e-18,-2.4969199e-33,6.0117701e-11,6.3234116e-36,6.0117701e-11
0.0085888223,5.8982699e-11,-2.7833274e-18,2.4441741e-33,5.8982699e-11,1.7876221e-35,5.8982699e-11
0.0099720729,5.7791574e-11,-2.6510678e-18,4.7372642e-33,5.7791574e-11,-5.6384373e-36,5.7791574e-11
0.011438354,5.6542435e-11,-2.5158753e-18,1.5578933e-34,5.6542435e-11,-3.1016776e-35,5.6542435e-11
0.01299265,5.5233461e-11,-2.3783665e-18,-9.4547717e-33,5.5233461e-11,-7.6559809e-36,5.5233461e-11
0.014640245,5.3862924e-11,-2.2391728e-18,-3.3125262e-33,5.3862924e-11,3.4135647e-35,5.3862924e-11
0.016386737,5.2429218e-11,-2.09894e-18,8.1103438e-33,5.2429218e-11,7.4403718e-36,5.2429218e-11
0.018238064,5.0930903e-11,-1.9583277e-18,-1.4954529e-39,5.0930903e-11,-1.1300208e-35,5.0930903e-11
0.020200518,4.9366734e-11,-1.8180086e-18,2.1105657e-33,4.9366734e-11,1.4865926e-35,4.9366734e-11
0.022280771,4.7735721e-11,-1.6786667e-18,8.3848051e-33,4.7735721e-11,2.2190292e-36,4.7735721e-11
0.024485892,4.6037171e-11,-1.5409949e-18,2.3889533e-33,4.6037171e-11,-2.3669288e-35,4.6037171e-11
0.026823378,4.427076e-11,-1.4056924e-18,-6.7013376e-33,4.427076e-11,-8.5850718e-36,4.427076e-11
0.029301173,4.2436599e-11,-1.2734603e-18,-2.2359336e-33,4.2436599e-11,7.0626243e-36,4.2436599e-11
0.0319277,4.0535318e-11,-1.144997e-18,-1.4873359e-33,4.0535318e-11,7.1024278e-36,4.0535318e-11
0.034711887,3.8568157e-11,-1.0209911e-18,2.6435212e-33,3.8568157e-11,5.9516913e-36,3.8568157e-11
0.037663197,3.6537074e-11,-9.0211608e-19,1.8655059e-33,3.6537074e-11,-7.4283089e-36,3.6537074e-11
0.040791661,3.4444868e-11,-7.8901998e-19,-2.8484729e-33,3.4444868e-11,-4.3661982e-36,3.4444868e-11
0.044107915,3.2295312e-11,-6.8231585e-19,-5.44901e-34,3.2295312e-11,3.2805438e-36,3.2295312e-11
0.047623229,3.0093313e-11,-5.8257102e-19,-1.004368e-34,3.0093313e-11,2.8536268e-37,3.0093313e-11
0.051349553,2.7845088e-11,-4.9029316e-19,-2.1109793e-34,2.7845088e-11,-2.2871086e-37,2.7845088e-11
0.055299553,2.5558367e-11,-4.059164e-19,-1.3832478e-34,2.5558367e-11,-1.0531396e-36,2.5558367e-11
0.059486654,2.3242617e-11,-3.2978631e-19,-7.2463651e-34,2.3242617e-11,-1.044397e-36,2.3242617e-11
0.06392509,2.0909304e-11,-2.6214277e-19,-4.518258e-34,2.0909304e-11,2.0152782e-36,2.0909304e-11
0.068629948,1.8572182e-11,-2.0310318e-19,8.9823993e-34,1.8572182e-11,1.2432229e-36,1.8572182e-11
0.073617218,1.6247622e-11,-1.5264578e-19,1.0852491e-34,1.6247622e-11,-3.9505716e-38,1.6247622e-11
0.078903853,1.3954988e-11,-1.1059358e-19,4.4441234e-34,1.3954988e-11,5.1818216e-37,1.3954988e-11
0.084507823,1.1717048e-11,-7.6601252e-20,1.5679455e-34,1.1717048e-11,-8.7684482e-37,1.1717048e-11
0.090448176,9.5604536e-12,-5.014606e-20,-2.9772995e-34,9.5604536e-12,-4.0799469e-37,9.5604536e-12
0.096745104,7.5162701e-12,-3.0525467e-20,-4.033256e-36,7.5162701e-12,2.724623e-37,7.5162701e-12
0.10342001,5.620574e-12,-1.6864824e-20,5.1857112e-36,5.620574e-12,-1.2808775e-37,5.620574e-12
0.11049558,3.9151282e-12,-8.1393295e-21,-4.1895464e-35,3.9151282e-12,-1.1321303e-37,3.9151282e-12
0.11799587,2.4481374e-12,-3.2157239e-21,-2.5751065e-35,2.4481374e-12,5.5229146e-38,2.4481374e-12
0.12594638,1.2751058e-12,-9.2104658e-22,1.5527124e-35,1.2751058e-12,2.7505489e-38,1.2751058e-12
0.13437411,4.5976412e-13,-1.4752201e-22,-5.4966318e-37,4.5976412e-13,-4.4478781e-39,4.5976412e-13
0.14330773,7.5344345e-14,-5.2856728e-24,7.5887851e-39,7.5344345e-14,3.1747349e-41,7.5344345e-14
0.1527776,6.6666667e-16,-2.017192e-28,-1.4239233e-43,6.6666667e-16,-1.4981053e-45,6.6666667e-16
0.1628159,6.6666667e-16,-1.9707647e-28,-8.8361907e-43,6.6666667e-16,-1.8753835e-45,6.6666667e-16
0.17345677,6.6666667e-16,-1.9248133e-28,-4.5966723e-43,6.6666667e-16,1.85114e-45,6.6666667e-16
0.18473635,6.6666667e-16,-1.8793437e-28,9.9676049e-43,6.6666667e-16,2.9358021e-45,6.6666667e-16
0.19669301,6.6666667e-16,-1.8343565e-28,4.031384e-43,6.6666667e-16,-9.2639088e-46,6.6666667e-16
0.20936737,6.6666667e-16,-1.789848e-28,-1.7530731e-43,6.6666667e-16,-9.639566e-46,6.6666667e-16
0.22280253,6.6666667e-16,-1.7458103e-28,5.9505329e-48,6.6666667e-16,2.4888232e-46,6.6666667e-16
0.23704414,6.6666667e-16,-1.702229e-28,3.1427173e-47,6.6666667e-16,-8.9428857e-50,6.6666667e-16
0.25214061,6.6666667e-16,-1.6590848e-28,8.0631254e-48,6.6666667e-16,2.3638159e-50,6.6666667e-16
0.26814327,6.6666667e-16,-1.6163524e-28,-2.6547575e-47,6.6666667e-16,1.3694045e-45,6.6666667e-16
0.28510649,6.6666667e-16,-1.5740005e-28,9.2630099e-43,6.6666667e-16,2.8710865e-45,6.6666667e-16
0.30308795,6.6666667e-16,-1.5319909e-28,4.5821542e-44,6.6666667e-16,-2.5137518e-45,6.6666667e-16
0.32214876,6.6666667e-16,-1.4902782e-28,-8.7697014e-43,6.6666667e-16,-2.7215823e-45,6.6666667e-16
0.34235371,6.6666667e-16,-1.4488087e-28,2.4747844e-47,6.6666667e-16,1.2840232e-45,6.6666667e-16
0.36377149,6.6666667e-16,-1.4075208e-28,2.8360144e-48,6.6666667e-16,-5.1485851e-50,6.6666667e-16
0.38647488,6.6666667e-16,-1.3663435e-28,-2.0267043e-47,6.6666667e-16,-1.0339864e-49,6.6666667e-16
0.41054106,6.6666667e-16,-1.3251952e-28,-1.6819672e-47,6.6666667e-16,2.3836436e-45,6.6666667e-16
0.43605183,6.6666667e-16,-1.2839833e-28,1.6332346e-42,6.6666667e-16,7.5905597e-45,6.6666667e-16
0.46309391,6.6666667e-16,-1.2426032e-28,6.9520698e-44,6.6666667e-16,-4.2534519e-45,6.6666667e-16
0.49175922,6.6666667e-16,-1.2009365e-28,-1.5431364e-42,6.6666667e-16,-7.1753345e-45,6.6666667e-16
0.52214518,6.6666667e-16,-1.1588503e-28,-4.2715581e-47,6.6666667e-16,2.1814304e-45,6.6666667e-16
0.55435509,6.6666667e-16,-1.1161954e-28,-2.1697985e-47,6.6666667e-16,-8.5816363e-50,6.6666667e-16
0.58849842,6.6666667e-16,-1.0728051e-28,-1.5718545e-47,6.6666667e-16,-1.1511923e-49,6.6666667e-16
0.62469124,6.6666667e-16,-1.0284935e-28,-2.3087546e-47,6.6666667e-16,-2.584523e-49,6.6666667e-16
0.66305656,6.6666667e-16,-9.8305452e-29,-6.2547677e-47,6.6666667e-16,2.1493319e-46,6.6666667e-16
0.70372479,6.6666667e-16,-9.3625957e-29,1.9997103e-43,6.6666667e-16,2.19997e-45,6.6666667e-16
0.74683417,6.6666667e-16,-8.8785705e-29,2.1821661e-44,6.6666667e-16,-2.385358e-46,6.6666667e-16
0.79253123,6.6666667e-16,-8.3757256e-29,-2.0109342e-43,6.6666667e-16,-2.1799136e-45,6.6666667e-16
