y,U_0,U_1,U_2
0.44812952,0,0,0
0.44812952,0,0,0
0.4488926,0.0075477253,0.0058473155,-1.7532589e-18
0.44970147,0.015319881,0.01186951,1.2072092e-18
0.45055887,0.023441572,0.018134851,-8.2730538e-19
0.45146771,0.031915281,0.024648393,-1.9130172e-18
0.45243108,0.040742935,0.03140998,1.9220794e-16
0.45345225,0.049920439,0.038413191,-4.1872746e-17
0.45453469,0.059428962,0.045639566,-6.4115496e-16
0.45568207,0.069219724,0.05304739,1.3721167e-16
0.45689828,0.079191527,0.060554352,4.5797508e-16
0.45818745,0.089166595,0.068019013,-1.2395279e-16
0.45955396,0.098883681,0.075235885,-2.3430454e-16
0.46100243,0.10803514,0.081964668,1.4074889e-17
0.46253779,0.11635087,0.08799557,2.1121366e-16
0.46416524,0.12368244,0.093214111,-2.0980845e-20
0.4658903,0.1300285,0.097620042,5.1245343e-19
0.46771881,0.13549549,0.1012963,4.4379636e-17
0.46965699,0.14023656,0.1043614,-3.0954331e-17
0.4717114,0.14440602,0.10693421,-4.3026779e-17
0.473889,0.14813781,0.10911728,8.5435112e-17
0.47619717,0.15154021,0.11099284,-5.1478375e-17
0.47864373,0.15469817,0.11262458,-1.2028391e-17
0.48123697,0.15767774,0.11406121,5.5332977e-17
0.48398567,0.16053056,0.11533988,-3.7922213e-17
0.48689914,0.16329752,0.11648909,-3.1115614e-17
0.48998725,0.16601158,0.11753081,-1.0140223e-17
0.49326043,0.16869983,0.11848219,1.9768891e-17
0.49672978,0.17138508,0.11935665,6.5786758e-18
0.50040702,0.17408694,0.12016479,8.0640894e-18
0.50430459,0.17682272,0.12091502,3.5682765e-18
0.50843566,0.179608,0.12161402,1.2584471e-19
0.5128142,0.18245716,0.12226705,-3.3119452e-18
0.517455,0.18538372,0.12287827,2.19524e-17
0.52237373,0.18840067,0.12345085,9.6712556e-19
0.527587,0.19152067,0.12398716,-3.7534146e-17
0.5331124,0.19475627,0.12448884,-7.0421701e-19
0.53896857,0.19812008,0.1249569,1.6215638e-17
0.54517525,0.20162493,0.12539174,9.7344609e-21
0.55175335,0.20528395,0.12579316,-7.8796522e-18
0.55872505,0.20911079,0.12616043,-4.387668e-19
0.5661138,0.21311963,0.12649227,7.5787395e-18
0.57394447,0.21732539,0.12678689,1.6949261e-19
0.58224338,0.22174398,0.12704167,2.8364531e-17
0.59103844,0.2263929,0.12725238,-1.5218926e-19
0.60035916,0.23129033,0.127415,-4.1835972e-17
0.61023684,0.2364587,0.12753507,2.1883211e-19
0.6207046,0.24195879,0.12763038,1.6215147e-17
0.63179751,0.24789805,0.12772435,2.0970932e-19
0.64355271,0.25436912,0.12784084,-2.2278018e-18
0.65600953,0.26143094,0.12799298,8.0150374e-20
0.66920959,0.26914039,0.12817993,-1.3163806e-19
0.68319698,0.2775602,0.12839711,-4.0154953e-20
0.69801835,0.28675592,0.12863962,-3.3630888e-18
0.71372308,0.29679563,0.12890059,-1.8992183e-17
0.73036343,0.30774977,0.12917023,3.2323232e-18
0.74799473,0.31969019,0.1294357,2.0364679e-17
0.76667551,0.33268879,0.12968092,1.0831548e-19
0.78646771,0.34681589,0.12988641,1.1853e-19
0.80743687,0.36213848,0.13002921,2.4094756e-19
0.82965231,0.37871807,0.13008298,9.6225206e-18
0.85318737,0.39660842,0.13001823,5.9777228e-19
0.87811963,0.41585291,0.12980276,-1.2924293e-17
0.90453112,0.43648173,0.12940266,-1.9937591e-17
0.93250859,0.45851019,0.12878381,2.0821032e-18
0.96214378,0.48193886,0.12791281,1.9337836e-17
0.99353365,0.50674608,0.12675819,8.9163736e-20
1.0139885,0.52282014,0.12585948,1.5866534e-19
1.0267827,0.5328848,0.12528828,1.9370205e-19
1.0620005,0.56026567,0.12347405,4.2420781e-19
1.0992983,0.58874751,0.12130158,-5.2933035e-20
1.1387972,0.61817669,0.11876299,1.0747699e-19
1.1806248,0.64836511,0.11586025,1.0558844e-17
1.2249162,0.6790877,0.1126038,1.2451878e-18
1.271814,0.7100835,0.10901109,-5.5144158e-19
1.3214686,0.741061,0.10510402,1.2590511e-18
1.3740391,0.77170788,0.10090615,-1.0247281e-17
1.4296932,0.80170668,0.096440111,1.3634234e-17
1.488608,0.83075661,0.091726292,7.9727808e-18
1.5509705,0.85860158,0.086783499,-1.3557277e-17
1.6169779,0.88506205,0.081624651,-5.532302e-18
1.6868383,0.91005092,0.076283713,1.8205685e-20
1.7607711,0.93342017,0.070912318,1.055164e-20
1.8345812,0.95446528,0.0658216,2.7408839e-20
1.9041009,0.97253327,0.061213029,-1.3929439e-20
1.9695866,0.98770808,0.057053213,3.0056931e-20
2.0312786,1.0003342,0.053284663,-7.1013196e-21
2.089402,1.0107828,0.049865325,-5.5059268e-20
2.0951839,1.0117094,0.049535516,-5.3132267e-20
2.1441708,1.0195499,0.046733821,-9.7776979e-19
2.1957799,1.0270896,0.043843639,-1.2861541e-17
2.244415,1.0336433,0.041176429,3.0371956e-17
2.2902505,1.039336,0.038728629,2.9086521e-17
2.3334504,1.0442581,0.036478211,-8.0950507e-17
2.3741686,1.0484759,0.034405851,-1.3079623e-17
2.4125499,1.0520396,0.032493529,5.2894343e-17
2.4487301,1.0549905,0.030724283,-2.0781385e-17
2.4828372,1.0573613,0.02908315,-1.0450903e-17
2.5149913,1.0591769,0.027557044,1.7353212e-17
2.5453056,1.0604551,0.026134422,1.1338025e-17
2.5738865,1.0612074,0.024805146,7.4131556e-18
2.600834,1.0614394,0.023560279,3.3167233e-17
2.6262423,1.0611511,0.022391911,-3.5131232e-17
2.6502002,1.0603378,0.021293003,-3.3066009e-17
2.672791,1.0589906,0.020257265,3.5102456e-17
2.6940934,1.0570977,0.01927905,-1.3630354e-17
2.7141814,1.0546451,0.018353277,3.7787876e-19
2.7331246,1.0516187,0.017475362,5.8909404e-17
2.7509888,1.0480054,0.016641136,4.6420861e-17
2.7678357,1.0437958,0.015846895,-1.5960298e-19
2.7837236,1.0389849,0.015089289,-1.8215097e-16
2.7987073,1.0335733,0.014365244,-4.4274767e-17
2.8128386,1.0275685,0.013672063,1.4875408e-16
2.8261662,1.0209865,0.013007352,-1.1377118e-16
2.8387359,1.0138507,0.012368972,-3.6252806e-17
2.8505912,1.006191,0.011755035,8.4714319e-17
2.8617726,0.99804321,0.011163882,1.2953029e-17
2.8723186,0.98944687,0.010594052,-2.7166116e-17
2.8822656,0.98044391,0.010044262,-4.581927e-17
2.8916476,0.97107678,0.0095133887,2.6272065e-16
2.9004967,0.96138698,0.0090004539,4.3463771e-17
2.9088434,0.95141372,0.0085046186,-6.4744571e-17
2.9167163,0.94119271,0.0080251835,1.2826741e-17
2.9241422,0.93075517,0.0075615916,-1.7863927e-16
2.9311467,0.92012693,0.0071134303,-2.8275325e-16
2.9377537,0.9093277,0.0066804261,1.5779247e-16
2.9439858,0.89837044,0.0062624277,3.051274e-16
2.9498644,0.88726097,0.0058593772,-1.7639347e-16
2.9554094,0.87599758,0.0054712699,-1.5783538e-17
2.96064,0.86457108,0.0050981178,6.1058607e-17
2.9655739,0.85296513,0.0047399297,4.5853804e-17
2.9702279,0.84115618,0.0043966875,-4.8330497e-17
2.9746181,0.82911346,0.0040683349,-6.4574384e-17
2.9787593,0.81679909,0.00375478,-1.1703596e-18
2.9826657,0.80416803,0.0034558938,2.0132771e-17
2.9863507,0.79116785,0.0031715137,5.2615158e-17
2.9898267,0.77773829,0.0029014482,1.2605514e-20
2.9931057,0.76381079,0.0026454812,-6.4692728e-21
2.9961989,0.74930767,0.0024033707,-1.0826655e-20
2.9991167,0.73414132,0.0021748354,1.548453e-16
3.0018692,0.71821307,0.0019595308,-2.4153764e-16
3.0044656,0.70140125,0.0017573679,-7.5183517e-17
3.006915,0.68353838,0.001568226,2.4226464e-16
3.0092255,0.66442461,0.0013919453,6.0678383e-17
3.0114051,0.64387136,0.0012284757,-9.9993544e-18
3.0134611,0.62171004,0.0010775144,1.0262014e-17
3.0154007,0.59778052,0.00093867273,-1.1560232e-17
3.0172304,0.57193286,0.00081154945,-1.707093e-16
3.0189564,0.54403612,0.0006957291,-7.4656371e-17
3.0205847,0.51398608,0.00059071593,-7.9066857e-16
3.0221207,0.48165792,0.00049591023,1.307677e-16
3.0235696,0.44690951,0.00041059619,8.4796921e-16
3.0249365,0.40976752,0.00033430984,7.0423862e-23
3.026226,0.37057144,0.00026687768,7.1780492e-16
3.0274424,0.3299609,0.0002081022,-5.679804e-18
3.0285899,0.28877583,0.00015777439,-7.2421846e-16
3.0296723,0.24786829,0.0001155871,-4.5961954e-17
3.0306935,0.2079159,8.1089543e-05,2.3228742e-16
3.0316569,0.16934115,5.3695005e-05,9.650608e-17
3.0325656,0.13234364,3.2725899e-05,-2.2094456e-16
3.0334229,0.096980612,1.7513363e-05,-3.9514682e-17
3.0342316,0.063238027,7.524652e-06,2.3372285e-16
3.0349946,0.031073391,2.6093404e-06,8.5106529e-17
3.0357143,0,0,0
3.0357143,0,0,0
