y,U_0,U_1,U_2
0,0,0,0
0.00086769924,1.3811306e-18,-1.0845812e-21,-1.3690025e-37
0.0017874829,2.8226996e-18,-3.8970823e-21,6.3209896e-36
0.0027624773,4.3471423e-18,-8.9828517e-21,-4.1751654e-37
0.0037959966,5.9575214e-18,-1.6680325e-20,-7.1127721e-36
0.0048915537,7.6569841e-18,-2.7385677e-20,3.3632123e-41
0.0060528726,9.4487621e-18,-4.1562581e-20,1.9627077e-35
0.0072839007,1.1336174e-17,-5.9735961e-20,-1.1777273e-36
0.0085888223,1.3322627e-17,-8.2492014e-20,-2.0778511e-35
0.0099720729,1.5411623e-17,-1.1048445e-19,-2.4785434e-42
0.011438354,1.7606757e-17,-1.4444171e-19,5.5751975e-35
0.01299265,1.9911728e-17,-1.8517428e-19,-3.2602325e-36
0.014640245,2.2330335e-17,-2.3358235e-19,-5.9033684e-35
0.016386737,2.4866493e-17,-2.9066407e-19,-5.8139131e-41
0.018238064,2.7524228e-17,-3.5752432e-19,-3.0336705e-35
0.020200518,3.030769e-17,-4.3538412e-19,1.9433376e-36
0.022280771,3.3221162e-17,-5.2559053e-19,-1.3645065e-35
0.024485892,3.6269061e-17,-6.2962719e-19,2.5647352e-36
0.026823378,3.9455957e-17,-7.491254e-19,2.8474078e-35
0.029301173,4.2786576e-17,-8.8587571e-19,1.3125526e-36
0.0319277,4.6265817e-17,-1.0418401e-18,2.1309533e-35
0.034711887,4.9898761e-17,-1.2191646e-18,-1.6297407e-40
0.037663197,5.3690691e-17,-1.4201923e-18,1.2941752e-40
0.040791661,5.7647105e-17,-1.6474771e-18,-2.5182175e-36
0.044107915,6.1773735e-17,-1.903797e-18,1.3124104e-37
0.047623229,6.6076565e-17,-2.192169e-18,-2.4220296e-34
0.051349553,7.0561859e-17,-2.5158624e-18,1.4738099e-35
0.055299553,7.5236177e-17,-2.8784141e-18,7.9353824e-35
0.059486654,8.0106406e-17,-3.2836425e-18,1.0090927e-35
0.06392509,8.5179784e-17,-3.7356617e-18,8.7548062e-35
0.068629948,9.0463935e-17,-4.2388958e-18,5.9460232e-36
0.073617218,9.5966896e-17,-4.7980925e-18,1.0562461e-34
0.078903853,1.0169716e-16,-5.4183366e-18,-1.6113504e-35
0.084507823,1.076637e-16,-6.1050618e-18,7.3213799e-37
0.090448176,1.1387601e-16,-6.8640634e-18,2.8467219e-35
0.096745104,1.2034417e-16,-7.7015083e-18,-7.8140312e-35
0.10342001,1.2707887e-16,-8.6239451e-18,-7.6409768e-36
0.11049558,1.3409144e-16,-9.6383115e-18,8.014496e-35
0.11799587,1.4139394e-16,-1.0751941e-17,3.9917613e-34
0.12594638,1.4899917e-16,-1.1972565e-17,-2.2785316e-35
0.13437411,1.5692077e-16,-1.3308319e-17,-4.2057953e-34
0.14330773,1.6517326e-16,-1.4767732e-17,-8.4523973e-39
0.1527776,1.7377206e-16,-1.6359727e-17,-3.4737358e-34
0.1628159,1.8273363e-16,-1.8093607e-17,6.3328858e-34
0.17345677,1.9207548e-16,-1.9979036e-17,6.5675497e-34
0.18473635,2.0181624e-16,-2.2026013e-17,-6.7523929e-34
0.19669301,2.1197578e-16,-2.4244838e-17,4.4814516e-34
0.20936737,2.2257523e-16,-2.6646064e-17,-2.6104658e-35
0.22280253,2.3363704e-16,-2.9240437e-17,-8.2622127e-34
0.23704414,2.4518511e-16,-3.2038812e-17,-5.0762974e-38
0.25214061,2.5724478e-16,-3.5052064e-17,-1.2773547e-38
0.26814327,2.6984292e-16,-3.8290956e-17,-7.9507655e-39
0.28510649,2.8300796e-16,-4.1765992e-17,7.73169e-34
0.30308795,2.9676988e-16,-4.5487233e-17,-4.0185614e-35
0.32214876,3.1116022e-16,-4.9464067e-17,-7.9619038e-34
0.34235371,3.2621201e-16,-5.3704945e-17,-4.4681673e-38
0.36377149,3.4195966e-16,-5.8217055e-17,-5.9389052e-38
0.38647488,3.5843882e-16,-6.3005935e-17,2.0363424e-33
0.41054106,3.7568607e-16,-6.8075024e-17,-3.0349161e-35
0.43605183,3.9373858e-16,-7.3425126e-17,-1.5838892e-33
0.46309391,4.1263359e-16,-7.9053784e-17,1.2401838e-33
0.49175922,4.3240775e-16,-8.4954559e-17,-5.2032371e-34
0.52214518,4.5309621e-16,-9.1116189e-17,-1.0106867e-33
0.55435509,4.7473144e-16,-9.7521635e-17,-3.2423669e-35
0.58849842,4.9734175e-16,-1.0414699e-16,-3.5981718e-34
0.62469124,5.2094938e-16,-1.1096023e-16,-1.1562086e-33
0.66305656,5.4556806e-16,-1.1791991e-16,7.0918794e-35
0.70372479,5.7120007e-16,-1.2497359e-16,1.1065292e-33
0.74683417,5.978324e-16,-1.3205631e-16,-1.4443197e-36
0.79253123,6.2543222e-16,-1.3908893e-16,-1.3072542e-36
0.84097128,6.5394125e-16,-1.4597646e-16,-6.0812335e-37
0.87300938,6.7223137e-16,-1.5011127e-16,-7.2002431e-37
0.89232374,6.832706e-16,-1.5261149e-16,-7.466167e-37
0.94676658,7.1329241e-16,-1.588662e-16,-2.0804308e-33
1.0044767,7.4382452e-16,-1.6458176e-16,1.1367472e-34
1.0656501,7.7462638e-16,-1.6958837e-16,2.3524686e-33
1.1304946,8.0538484e-16,-1.7369779e-16,-2.049123e-33
1.1992304,8.3570098e-16,-1.7670574e-16,-1.1293757e-33
1.272091,8.6507636e-16,-1.7839578e-16,1.2042216e-33
1.3493238,8.9289939e-16,-1.7854518e-16,8.2803382e-34
1.4311911,9.1843273e-16,-1.7693169e-16,7.3390428e-34
1.5179708,9.4055548e-16,-1.734069e-16,-4.0609621e-37
1.6047489,9.5767574e-16,-1.6813429e-16,-9.5790106e-37
1.6866115,9.6902707e-16,-1.61601e-16,3.8107733e-37
1.7437698,9.7340216e-16,-1.5615414e-16,1.9692215e-37
1.7638597,9.7495941e-16,-1.5423183e-16,1.0845574e-37
1.8367876,9.7605962e-16,-1.4631873e-16,-2.5829714e-36
1.9055763,9.7287547e-16,-1.381028e-16,-6.6457878e-37
1.970461,9.6594936e-16,-1.2977276e-16,-2.2527053e-33
2.0316639,9.5578782e-16,-1.2147556e-16,1.0129498e-34
2.0893942,9.4285706e-16,-1.1332367e-16,2.1526123e-33
2.1438493,9.2758111e-16,-1.0540122e-16,4.1200207e-33
2.1952153,9.1034201e-16,-9.7769426e-17,1.9443113e-33
2.2436677,8.9148126e-16,-9.0471008e-17,-4.2314978e-33
2.289372,8.7130211e-16,-8.3533923e-17,-1.9229163e-33
2.3324844,8.5007219e-16,-7.697443e-17,-1.3432878e-37
2.373152,8.2802657e-16,-7.0799605e-17,4.9362508e-33
2.4115136,8.0537064e-16,-6.5009395e-17,9.7465619e-35
2.4477001,7.8228314e-16,-5.9598293e-17,-8.84126e-33
2.4818351,7.5891888e-16,-5.4556683e-17,1.0903402e-33
2.5140349,7.3541142e-16,-4.987194e-17,3.9232166e-33
2.5444093,7.1187543e-16,-4.5529307e-17,-1.2351043e-33
2.573062,6.8840897e-16,-4.1512591e-17,-1.8987395e-37
2.5828748,6.799462e-16,-4.0167378e-17,1.4205878e-33
2.6000986,6.6509235e-16,-3.7803616e-17,3.9116728e-33
2.6256058,6.4199775e-16,-3.4385724e-17,1.8305988e-34
2.6496662,6.1918633e-16,-3.1241953e-17,-3.7157977e-33
2.6723619,5.9670768e-16,-2.8354827e-17,7.9259119e-38
2.6937705,5.7460284e-16,-2.5707252e-17,1.6501389e-38
2.7139649,5.5290545e-16,-2.3282666e-17,2.2506452e-33
2.7330143,5.3164271e-16,-2.1065149e-17,-7.7414143e-34
2.7509836,5.1083627e-16,-1.9039495e-17,-2.7987521e-34
2.7679341,4.9050296e-16,-1.7191258e-17,-2.9217708e-33
2.7839236,4.706555e-16,-1.5506784e-17,-1.2084052e-33
2.7990067,4.5130306e-16,-1.3973215e-17,4.1294819e-33
2.8132348,4.3245173e-16,-1.2578486e-17,-1.2669347e-33
2.8266564,4.1410502e-16,-1.1311312e-17,1.7243307e-33
2.8393173,3.962642e-16,-1.0161171e-17,1.0007488e-33
2.8512607,3.7892862e-16,-9.1182689e-18,-2.1414113e-33
2.8625272,3.6209605e-16,-8.1735162e-18,-1.4708924e-33
2.8731552,3.4576285e-16,-7.3184913e-18,-2.98687e-35
2.8831809,3.2992428e-16,-6.5454065e-18,1.1047338e-33
2.8926385,3.1457457e-16,-5.8470727e-18,-3.6157765e-38
2.9015602,2.9970718e-16,-5.2168634e-18,1.7433694e-33
2.9099764,2.853149e-16,-4.64868e-18,1.065406e-34
2.9179157,2.7138994e-16,-4.1369168e-18,-2.4596709e-33
2.9254053,2.5792406e-16,-3.676428e-18,1.2511593e-33
2.9324704,2.4490869e-16,-3.2624952e-18,1.1217738e-33
2.9391353,2.3233492e-16,-2.8907974e-18,-1.2225515e-33
2.9454227,2.2019365e-16,-2.5573809e-18,2.3514617e-34
2.9513538,2.0847561e-16,-2.2586324e-18,2.1015927e-35
2.956949,1.9717139e-16,-1.9912525e-18,1.0473734e-34
2.9622271,1.8627153e-16,-1.7522315e-18,3.8845852e-35
2.9672063,1.7576649e-16,-1.5388261e-18,-5.5071053e-34
2.9719035,1.6564675e-16,-1.3485384e-18,1.6976997e-34
2.9763345,1.5590279e-16,-1.1790955e-18,1.1194412e-35
2.9805146,1.4652513e-16,-1.0284313e-18,-1.6202076e-34
2.9844579,1.3750432e-16,-8.946687e-19,4.4899582e-34
2.9881778,1.2883103e-16,-7.7610417e-19,-4.0004248e-34
2.9916871,1.2049597e-16,-6.7119271e-19,-4.5007657e-34
2.9949975,1.1248997e-16,-5.7853419e-19,6.5191438e-34
2.9981205,1.0480396e-16,-4.9686079e-19,4.9318186e-34
3.0010666,9.7429004e-17,-4.2502537e-19,-2.0559615e-34
3.0038458,9.0356263e-17,-3.6199079e-19,-2.349196e-35
3.0064677,8.3577043e-17,-3.0682015e-19,2.42329e-35
3.008941,7.7082785e-17,-2.5866772e-19,-2.2458934e-34
3.0112742,7.0865069e-17,-2.1677072e-19,-2.693868e-34
3.0134753,6.4915616e-17,-1.8044175e-19,-1.865098e-34
3.0155518,5.9226298e-17,-1.4906183e-19,1.0131093e-33
3.0175106,5.3789132e-17,-1.220741e-19,4.3307814e-35
3.0193585,4.8596286e-17,-9.8978057e-20,-4.9627317e-34
3.0211017,4.3640084e-17,-7.9324188e-20,-3.4897023e-34
3.0227463,3.8912997e-17,-6.2709214e-20,-2.211606e-34
3.0242977,3.4407655e-17,-4.8771676e-20,3.4096821e-34
3.0257612,3.011684e-17,-3.7187935e-20,-4.6352976e-34
3.0271418,2.6033488e-17,-2.7668524e-20,-2.6130732e-35
3.0284443,2.2150689e-17,-1.9954843e-20,4.3740879e-34
3.029673,1.8461688e-17,-1.3816088e-20,-1.808274e-40
3.0308321,1.495988e-17,-9.0463317e-21,-2.6448928e-41
3.0319256,1.163881e-17,-5.4620196e-21,-2.5160457e-34
3.0329571,8.4921739e-18,-2.901594e-21,-1.4008504e-35
3.0339302,5.5138133e-18,-1.2272738e-21,3.2391321e-34
3.0348483,2.6977188e-18,-3.2154495e-22,5.9332491e-35
3.0357143,0,0,0
