y,k
0,1e-10
0.00048240845,2.8356502e-07
0.00098049384,4.3607376e-07
0.0014947656,1.6717291e-06
0.0020257498,4.8150665e-06
0.0025739895,1.115411e-05
0.0031400454,2.2331277e-05
0.0037244966,4.0365097e-05
0.0043279408,6.7683366e-05
0.0049509953,0.00010715006
0.0055942973,0.00016207168
0.0062585048,0.00023616362
0.0069442972,0.00033345054
0.007652376,0.00045807045
0.0083834654,0.00061395753
0.0091383131,0.00080440115
0.0099176913,0.0010315255
0.010722397,0.0012957963
0.011553254,0.0015957094
0.012411111,0.0019278015
0.013296846,0.0022870315
0.014211364,0.0026674387
0.015155603,0.0030628869
0.016130526,0.0034676977
0.017137132,0.0038770583
0.018176449,0.0042871889
0.019249542,0.0046953232
0.020357507,0.0050995804
0.021501477,0.0054987927
0.022682624,0.0058923324
0.023902154,0.0062799625
0.025161316,0.0066617159
0.026461397,0.0070378047
0.027803728,0.0074085537
0.02918968,0.0077743543
0.030620672,0.0081356318
0.032098167,0.0084928246
0.033623676,0.00884637
0.03519876,0.0091966956
0.03682503,0.0095442143
0.03850415,0.0098893215
0.040237836,0.010232394
0.042027862,0.010573789
0.043876059,0.010913848
0.045784317,0.011252893
0.047754588,0.011591231
0.049788888,0.011929155
0.051889297,0.012266943
0.054057963,0.012604864
0.056297104,0.012943172
0.058609012,0.013282115
0.06099605,0.013621932
0.06346066,0.013962855
0.066005363,0.014305109
0.068632762,0.014648912
0.071345544,0.014994483
0.074146484,0.015342031
0.077038447,0.015691767
0.08002439,0.016043898
0.083107369,0.01639863
0.086290535,0.016756167
0.089577146,0.017116716
0.092970562,0.017480481
0.096474255,0.017847669
0.10009181,0.018218489
0.10382692,0.018593148
0.10768342,0.018971861
0.11166524,0.019354842
0.11577645,0.01974231
0.12002127,0.020134485
0.12440404,0.020531595
0.12892923,0.020933869
0.13360148,0.021341543
0.13842557,0.021754855
0.14340642,0.02217405
0.14854914,0.022599378
0.15385898,0.023031092
0.15934138,0.023469454
0.16500194,0.023914727
0.17084645,0.024367183
0.17688089,0.024827095
0.18311143,0.025294742
0.18954445,0.025770406
0.19618653,0.026254374
0.20304445,0.026746933
0.21012524,0.027248371
0.21743614,0.027758975
0.22498461,0.028279031
0.23277839,0.02880882
0.24082545,0.029348615
0.24913402,0.029898679
0.25771259,0.030459262
0.26656994,0.031030596
0.27571513,0.031612891
0.28515751,0.032206323
0.29490674,0.032811035
0.3049728,0.033427123
0.31536597,0.03405463
0.3260969,0.034693538
0.33717655,0.035343748
0.34861625,0.036005073
0.36042772,0.036677218
0.37262303,0.037359762
0.38521464,0.038052137
0.39821546,0.038753604
0.41163876,0.039463228
0.42549828,0.040179846
0.4398082,0.04090204
0.45458315,0.041628115
0.46983824,0.042356063
0.48558908,0.043083515
0.50185179,0.043807685
0.51864298,0.044525982
0.53597984,0.04523903
0.5538801,0.045948911
0.57236207,0.046647841
0.59144465,0.047315315
0.61114736,0.047926058
0.63149036,0.048455713
0.65249445,0.048883443
0.67418111,0.049190918
0.69657252,0.0493622
0.7196916,0.049387787
0.74356198,0.049256971
0.76820808,0.048956972
0.79365511,0.048480341
0.8199291,0.047823501
0.84705692,0.046987941
0.87506632,0.045981361
0.90398595,0.044818466
0.93384539,0.04352124
0.96467517,0.042118541
0.99650683,0.040644935
1.0293729,0.039138691
1.0633071,0.037638949
1.098344,0.036182209
1.1345196,0.034798588
1.1718707,0.033508627
1.2104356,0.032321544
1.2502538,0.031235457
1.291366,0.030239303
1.3338142,0.02931454
1.3776419,0.02844081
1.4228938,0.027603116
1.4696163,0.026790745
1.5178571,0.025997059
1.566098,0.02522403
1.6128205,0.024474949
1.6580724,0.023747571
1.7019001,0.023038945
1.7443483,0.022347471
1.7854605,0.021672009
1.8252786,0.021011888
1.8638436,0.020367022
1.9011947,0.019737831
1.9373703,0.019125027
1.9724072,0.018529414
2.0063413,0.017951743
2.0392075,0.017392636
2.0710391,0.01685254
2.1018689,0.016331721
2.1317283,0.015830272
2.160648,0.015348127
2.1886574,0.014885088
2.2157852,0.014440844
2.2420592,0.014014997
2.2675062,0.013607084
2.2921523,0.013216592
2.3160227,0.012842976
2.3391418,0.012485673
2.3615332,0.012144126
2.3832198,0.011817781
2.4042239,0.011506089
2.4245669,0.01120852
2.4442696,0.010924566
2.4633522,0.010653747
2.4818342,0.010395607
2.4997344,0.010149724
2.5170713,0.0099157047
2.5338625,0.0096931866
2.5501252,0.0094818398
2.565876,0.0092813636
2.5811311,0.0090914877
2.5959061,0.0089119698
2.610216,0.0087425941
2.6240755,0.0085831702
2.6374988,0.0084335303
2.6504996,0.008293527
2.6630913,0.008163031
2.6752866,0.0080419283
2.687098,0.0079301169
2.6985377,0.0078275044
2.7096174,0.0077340047
2.7203483,0.0076495347
2.7307415,0.0075740116
2.7408075,0.0075073495
2.7505568,0.0074494571
2.7599992,0.0074002346
2.7691443,0.0073595719
2.7780017,0.007327346
2.7865803,0.0073034198
2.7948888,0.0072876599
2.8029359,0.0072798982
2.8107297,0.0072799096
2.8182781,0.0072874891
2.825589,0.0073024349
2.8326698,0.007324508
