y,R_0,R_1,R_2,R_3,R_4,R_5
0,6.6666667e-11,0,0,6.6666667e-11,0,6.6666667e-11
0.00048240845,1.5585826e-07,5.8569261e-11,-4.1701585e-29,1.5585829e-07,4.7474473e-26,1.5585827e-07
0.00098049384,2.323666e-07,5.7766998e-10,-7.9462159e-34,2.323673e-07,8.9911108e-26,2.3236695e-07
0.0014947656,8.8767967e-07,4.7386637e-09,-5.0917699e-32,8.8768793e-07,8.8097592e-32,8.876838e-07
0.0020257498,2.5560628e-06,2.4013528e-08,1.3720308e-31,2.556118e-06,-5.7107213e-31,2.5560904e-06
0.0025739895,5.9209177e-06,8.8070858e-08,-1.9634103e-30,5.9211733e-06,-3.7647331e-30,5.9210455e-06
0.0031400454,1.1854261e-05,2.5916214e-07,-3.9567929e-30,1.1855182e-05,3.449321e-29,1.1854721e-05
0.0037244966,2.1428558e-05,6.5146611e-07,3.9634476e-29,2.1431331e-05,3.130192e-29,2.1429944e-05
0.0043279408,3.5935588e-05,1.4555885e-06,1.243986e-29,3.5942896e-05,-5.49925e-29,3.5939242e-05
0.0049509953,5.6903508e-05,2.9675437e-06,9.4007565e-29,5.6920874e-05,5.0192718e-28,5.6912191e-05
0.0055942973,8.6105622e-05,5.6197225e-06,8.8542048e-28,8.614362e-05,1.0173959e-27,8.6124621e-05
0.0062585048,0.00012555212,1.0008085e-05,1.9685059e-27,0.00012562984,-6.514739e-28,0.00012559098
0.0069442972,0.00017745263,1.6904688e-05,1.8630755e-27,0.00017760286,-1.6440458e-27,0.00017752775
0.007652376,0.0002441346,2.7237984e-05,3.4992877e-27,0.00024441124,-1.3062671e-27,0.00024427294
0.0083834654,0.00032790226,4.2017423e-05,3.0307095e-27,0.00032839054,-2.9757905e-27,0.00032814643
0.0091383131,0.00043082808,6.2179694e-05,4.1977099e-27,0.00043165788,-1.5314084e-26,0.00043124302
0.0099176913,0.0005544862,8.8350607e-05,-2.0404568e-26,0.00055584851,-1.889742e-26,0.0005551674
0.010722397,0.00069966619,0.00012055682,-2.3384361e-26,0.00070183197,4.4114924e-26,0.00070074909
0.011553254,0.00086613652,0.0001579767,5.2189377e-26,0.00086947654,3.9068828e-26,0.00086780645
0.012411111,0.0010525408,0.00019885551,2.2340837e-26,0.0010575437,-6.1023615e-26,0.001055042
0.013296846,0.0012564846,0.00024068013,-4.3685507e-26,0.001263771,-2.9397766e-26,0.0012601273
0.014211364,0.0014748111,0.00028059947,-1.6687096e-26,0.0014851393,2.4829862e-26,0.0014799745
0.015155603,0.0017039914,0.00031594932,-2.95507e-26,0.0017182556,-3.8184902e-26,0.0017111227
0.016130526,0.001940524,0.00034468639,-1.7941812e-25,0.0019597434,-6.1729445e-26,0.0019501329
0.017137132,0.0021812485,0.00036559899,-2.3937493e-25,0.0022065508,2.1071478e-25,0.002193899
0.018176449,0.0024235317,0.00037827935,5.5146786e-25,0.0024561334,3.7977545e-25,0.0024398321
0.019249542,0.0026653289,0.00038294117,1.089517e-24,0.0027065157,-1.0981551e-25,0.0026859222
0.020357507,0.0029051553,0.00038018832,3.1051014e-25,0.0029562646,-3.2832707e-25,0.0029307101
0.021501477,0.0031420067,0.00037080693,2.8524e-25,0.0032044137,1.4384824e-25,0.0031732107
0.022682624,0.0033752629,0.00035561876,1.4499874e-24,0.0034503701,8.0179367e-26,0.0034128171
0.023902154,0.0036045938,0.00033539147,8.2337955e-25,0.0036938239,-4.0140929e-25,0.0036492096
0.025161316,0.0038298788,0.00031079637,-4.6493313e-25,0.0039346707,-5.8753744e-25,0.0038822756
0.026461397,0.0040511426,0.00028239926,-2.8655039e-24,0.0041729487,-2.4320165e-25,0.0041120465
0.027803728,0.0042685061,0.0002506603,-2.2212921e-24,0.004408792,4.815944e-25,0.0043386498
0.02918968,0.0044821515,0.00021594569,1.551317e-26,0.004642396,3.1251036e-25,0.0045622745
0.030620672,0.0046922968,0.00017854595,-6.0074933e-25,0.0048739928,2.2657852e-25,0.0047831456
0.032098167,0.0048991787,0.0001386845,2.1732277e-24,0.0051038341,4.7682163e-25,0.0050015071
0.033623676,0.0051030406,9.6529792e-05,3.4246303e-24,0.0053321797,-3.5282322e-25,0.0052176108
0.03519876,0.005304125,5.2211088e-05,-1.4362259e-24,0.0055592902,-3.5114892e-25,0.0054317082
0.03682503,0.0055026692,5.8220329e-06,9.5718821e-25,0.0057854219,4.572864e-25,0.0056440461
0.03850415,0.0056989023,-4.2572806e-05,3.3196118e-24,0.0060108238,2.1011063e-25,0.0058548634
0.040237836,0.0058930432,-9.2930239e-05,3.3231612e-24,0.0062357361,-1.1198178e-25,0.00606439
0.042027862,0.0060853006,-0.00014522545,2.6175519e-24,0.0064603894,2.6855086e-25,0.0062728454
0.043876059,0.006275873,-0.00019944864,7.1584701e-24,0.0066850048,6.2620452e-25,0.0064804393
0.045784317,0.0064649491,-0.00025560125,9.9916394e-24,0.0069097931,-4.4878995e-25,0.0066873714
0.047754588,0.0066527077,-0.00031369447,8.0340837e-25,0.0071349566,-1.4985335e-24,0.0068938324
0.049788888,0.0068393192,-0.00037374911,-9.3166564e-24,0.0073606883,-2.1880551e-25,0.007100004
0.051889297,0.0070249466,-0.00043579721,-1.1519106e-24,0.0075871733,6.7386135e-25,0.0073060602
0.054057963,0.0072097457,-0.00049987272,-1.2493102e-24,0.0078145891,-2.6626425e-25,0.0075121674
0.056297104,0.0073938653,-0.00056601107,-4.0911336e-24,0.0080431059,-3.0105043e-25,0.0077184858
0.058609012,0.0075774505,-0.00063425984,-6.1997827e-24,0.0082728882,-1.0748904e-24,0.0079251696
0.06099605,0.0077606414,-0.0007046687,-2.1736537e-23,0.0085040942,1.1492596e-24,0.008132368
0.06346066,0.0079435743,-0.00077729103,2.2904516e-23,0.008736877,3.0814443e-24,0.0083402258
0.066005363,0.0081263829,-0.00085218181,1.9942681e-23,0.008971385,-1.2362332e-24,0.0085488841
0.068632762,0.0083091987,-0.00092940135,-3.7359496e-24,0.009207762,-3.872492e-25,0.0087584804
0.071345544,0.0084921517,-0.0010090154,1.7692484e-23,0.0094461476,1.6907259e-24,0.0089691496
0.074146484,0.008675371,-0.0010910878,1.8073957e-23,0.0096866778,2.7579704e-25,0.0091810243
0.077038447,0.0088589856,-0.0011756897,1.8377863e-23,0.0099294857,-7.2623165e-25,0.0093942356
0.08002439,0.0090431258,-0.0012628921,8.5446667e-25,0.010174702,-9.300677e-25,0.0096089135
0.083107369,0.0092279222,-0.0013527703,3.2060521e-24,0.010422452,-3.6036507e-25,0.009825187
0.086290535,0.0094135067,-0.0014454025,-1.4516708e-23,0.010672861,-1.2041905e-25,0.010043184
0.089577146,0.0096000152,-0.0015408641,6.6217206e-24,0.010926052,1.7792399e-24,0.010263034
0.092970562,0.0097875851,-0.0016392424,1.994808e-23,0.011182144,-3.1778298e-24,0.010484864
0.096474255,0.009976357,-0.0017406227,-6.9122717e-23,0.011441255,-8.6212954e-24,0.010708806
0.10009181,0.010166476,-0.0018450877,-1.0332085e-22,0.0117035,-1.4512253e-24,0.010934988
0.10382692,0.01035809,-0.0019527336,-1.8722101e-23,0.011968996,4.5667801e-24,0.011163543
0.10768342,0.010551355,-0.0020636507,-8.4159106e-25,0.012237853,-3.2847216e-25,0.011394604
0.11166524,0.010746429,-0.0021779337,-2.0365845e-23,0.012510183,-2.524225e-24,0.011628306
0.11577645,0.010943477,-0.0022956829,-2.9109256e-23,0.012786095,-4.0281548e-24,0.011864786
0.12002127,0.011142671,-0.0024169922,-7.5682481e-23,0.013065698,-4.3882404e-24,0.012104185
0.12440404,0.011344188,-0.0025419673,-4.1566143e-23,0.013349098,7.8315349e-24,0.012346644
0.12892923,0.011548215,-0.0026707132,1.2549302e-22,0.013636401,1.7884075e-23,0.012592308
0.13360148,0.011754942,-0.002803331,1.850101e-22,0.01392771,6.5250316e-24,0.012841326
0.13842557,0.011964569,-0.0029399352,5.8593673e-23,0.014223129,-7.7569063e-24,0.013093849
0.14340642,0.012177305,-0.0030806395,-3.3332271e-23,0.014522758,-1.1121627e-23,0.013350031
0.14854914,0.012393365,-0.0032255524,-1.0985505e-22,0.014826698,-1.0774526e-23,0.013610031
0.15385898,0.012612974,-0.0033747843,-9.175783e-23,0.015135048,-3.482578e-24,0.01387401
0.15934138,0.012836364,-0.0035284543,-5.5761216e-23,0.015447905,-1.9499021e-24,0.014142134
0.16500194,0.013063777,-0.0036866799,-4.2655002e-23,0.015765366,3.4462123e-24,0.014414571
0.17084645,0.013295462,-0.0038495761,8.9611269e-23,0.016087525,1.2570361e-23,0.014691494
0.17688089,0.01353168,-0.0040172667,6.4948549e-23,0.016414476,-2.8616076e-24,0.014973078
0.18311143,0.013772698,-0.0041898668,-4.855304e-23,0.016746308,-1.2887469e-23,0.015259503
0.18954445,0.014018789,-0.004367497,-7.9367942e-23,0.017083112,-7.7388381e-24,0.01555095
0.19618653,0.014270234,-0.0045502805,-6.356218e-23,0.017424973,-9.2158332e-24,0.015847603
0.20304445,0.014527326,-0.0047383263,-1.5188962e-22,0.017771976,-2.1537329e-23,0.016149651
0.21012524,0.014790357,-0.0049317534,-1.5165712e-22,0.018124202,-1.8970558e-23,0.016457279
