y,U_0,U_1,U_2
1.0002443,0,0,0
1.0005678,0.010784267,1.6023697e-05,5.885565e-22
1.0009018,0.022004458,2.3129137e-05,4.6544468e-22
1.0012466,0.033752758,1.9884908e-05,-1.0045554e-21
1.0016026,0.046050573,6.5217811e-06,5.317771e-22
1.0019702,0.058927157,-1.6459074e-05,1.1373208e-21
1.0023498,0.072413415,-4.8758801e-05,-3.7225989e-22
1.0027416,0.08654147,-8.9923223e-05,-4.1370472e-22
1.0031463,0.10134391,-0.00013932511,-4.3250491e-22
1.003564,0.11685241,-0.00019616465,2.0835606e-22
1.0039954,0.13309547,-0.0002594629,-6.7460675e-22
1.0044407,0.15009473,-0.00032806501,-1.1076886e-21
1.0049006,0.16785956,-0.00040064493,9.1167282e-22
1.0053753,0.18637971,-0.0004756877,1.8683797e-21
1.0058655,0.20561648,-0.0005515154,1.6158058e-21
1.0063717,0.22549373,-0.00062631449,-1.1649282e-21
1.0068943,0.24589143,-0.00069814114,-7.132907e-22
1.0074338,0.26664653,-0.00076493209,2.1841419e-22
1.0079909,0.28756477,-0.00082450673,-2.4409993e-21
1.0085661,0.30843992,-0.00087460272,5.1447396e-22
1.00916,0.32907427,-0.00091291641,1.8197755e-21
1.0097732,0.3492953,-0.00093714885,-4.5029518e-23
1.0104064,0.36896529,-0.00094510954,2.4942618e-22
1.0110601,0.38798289,-0.00093479934,-8.0102342e-22
1.011735,0.40627891,-0.0009044861,-1.7288924e-22
1.0124319,0.42380965,-0.00085280422,-3.1834834e-22
1.0131514,0.44055008,-0.00077879961,-1.8412886e-21
1.0138943,0.45648845,-0.00068194807,1.4673591e-21
1.0146613,0.47162245,-0.00056217268,1.8265655e-21
1.0154533,0.48595694,-0.00041981481,-2.6512645e-22
1.016271,0.49950268,-0.00025557042,-1.2016337e-21
1.0171153,0.51227563,-7.0420222e-05,-1.468922e-21
1.017987,0.52429569,0.00013441563,1.3444434e-21
1.0188871,0.5355866,0.00035753986,3.9139411e-22
1.0198164,0.54617681,0.00059746983,-9.0334052e-22
1.0207759,0.55609852,0.00085270488,5.8080006e-22
1.0217666,0.56538635,0.0011217766,4.2444525e-22
1.0227894,0.57407656,0.0014032808,4.5804074e-22
1.0238456,0.58220646,0.0016959076,2.322096e-22
1.024936,0.58981377,0.0019984715,-8.8343382e-22
1.0260619,0.59693606,0.0023099264,-5.9162582e-22
1.0272243,0.60361001,0.0026293722,4.7177285e-22
1.0284246,0.60987118,0.0029560638,6.2600597e-23
1.0296638,0.61575333,0.0032893912,-4.3973497e-22
1.0309433,0.62128829,0.0036288693,1.1529866e-22
1.0322644,0.62650625,0.0039741427,8.4278056e-22
1.0336284,0.63143548,0.0043249624,-1.7193881e-23
1.0350368,0.63610203,0.0046811704,-4.380288e-22
1.0364909,0.64052986,0.0050426929,1.2244823e-23
1.0379923,0.64474096,0.0054095288,-7.5676591e-23
1.0395424,0.64875547,0.0057817381,-4.3286106e-23
1.041143,0.65259181,0.0061594319,-1.6464736e-23
1.0427955,0.65626681,0.0065427659,7.6963434e-23
1.0445018,0.65979588,0.0069319334,-2.1583335e-22
1.0462635,0.66319309,0.0073271577,-9.2852003e-23
1.0480825,0.66647132,0.007728687,3.0850301e-22
1.0499605,0.66964238,0.0081367904,1.789715e-22
1.0518996,0.67271711,0.008551754,-1.8781071e-22
1.0539017,0.67570541,0.0089738763,-6.2643372e-23
1.0559689,0.67861643,0.0094034651,2.4390023e-22
1.0581033,0.68145858,0.009840837,-8.1135124e-23
1.060307,0.68423961,0.010286313,-3.5778713e-22
1.0625823,0.6869667,0.010740219,1.4363905e-22
1.0649316,0.68964648,0.011202877,1.0036863e-22
1.0673572,0.69228513,0.011674609,-1.7018755e-22
1.0698616,0.6948884,0.012155734,1.7575719e-22
1.0724475,0.69746167,0.01264656,1.6082448e-22
1.0751173,0.70000995,0.01314739,3.9137068e-23
1.077874,0.70253797,0.013658511,-8.6201465e-23
1.0807202,0.70505017,0.014180199,-1.7234975e-22
1.0836589,0.70755073,0.014712711,7.591085e-23
1.0866931,0.71004362,0.015256283,-2.041831e-22
1.0898259,0.7125326,0.01581113,-8.1488522e-23
1.0930605,0.71502124,0.01637744,1.6044659e-22
1.0964002,0.71751296,0.016955372,7.489427e-23
1.0998485,0.72001103,0.017545054,4.5119888e-23
1.1034088,0.72251858,0.018146579,-8.0531516e-23
1.1070848,0.72503866,0.018760002,7.6424165e-23
1.1108803,0.72757419,0.019385336,6.032529e-23
1.1147991,0.73012803,0.02002255,1.1004026e-22
1.1188453,0.73270295,0.020671566,-2.95736e-23
1.1230229,0.73530169,0.021332254,-8.1297477e-23
1.1273364,0.73792692,0.022004432,-1.886908e-23
1.13179,0.7405813,0.022687861,-5.2269578e-23
1.1363883,0.74326745,0.02338224,-1.0304922e-22
1.141136,0.74598801,0.024087209,3.5009895e-23
1.1460381,0.7487456,0.024802342,2.0828969e-22
1.1510994,0.75154288,0.025527144,-1.9100418e-23
1.1563253,0.75438253,0.026261051,-1.5017347e-22
1.1617209,0.75726728,0.027003429,-8.6291031e-23
1.1672919,0.76019991,0.027753571,9.3225966e-23
1.173044,0.7631833,0.028510695,1.6601173e-22
1.1789829,0.76622038,0.029273945,-4.0612625e-23
1.1851149,0.76931422,0.030042391,-5.3667389e-23
1.1914461,0.772468,0.030815028,1.1978171e-23
1.1979831,0.77568503,0.031590777,-8.5681001e-23
1.2047325,0.77896881,0.032368492,-4.1480169e-23
1.2117013,0.78232298,0.033146954,3.9969179e-23
1.2188965,0.78575141,0.033924883,6.8178602e-23
1.2263255,0.78925818,0.034700936,-1.7216583e-23
1.233996,0.79284761,0.035473719,-3.232399e-23
1.2419157,0.79652431,0.036241788,7.3320863e-23
1.2500928,0.80029316,0.037003661,8.574847e-23
1.2585357,0.80415936,0.037757824,-4.4255719e-23
1.2672529,0.80812845,0.038502745,-6.2643365e-23
1.2762534,0.81220635,0.039236886,-3.9765866e-23
1.2855463,0.81639937,0.039958712,-7.0586214e-23
1.2951413,0.82071422,0.040666712,-5.1655032e-24
1.3050481,0.82515805,0.041359408,8.254121e-23
1.3152768,0.82973845,0.042035376,-3.6188417e-23
1.3258379,0.83446347,0.042693264,-3.9243211e-23
1.3367423,0.83934166,0.043331811,4.9913951e-23
1.3480009,0.84438202,0.043949866,-4.0873667e-23
1.3596255,0.849594,0.044546404,-2.845457e-23
1.3716278,0.85498751,0.045120548,5.1531358e-23
1.3840202,0.86057288,0.045671587,3.9573106e-23
1.3968153,0.86636078,0.046198986,3.0489267e-23
1.4100262,0.87236221,0.046702404,2.4149698e-23
1.4236664,0.87858839,0.047181696,-1.6132832e-23
1.4377499,0.88505066,0.047636916,2.2424801e-24
1.452291,0.89176039,0.04806832,2.9312407e-23
1.4673047,0.89872879,0.048476357,-3.762249e-23
1.4828063,0.90596677,0.048861631,-1.6329736e-23
1.4988117,0.91348475,0.049224885,2.2365583e-23
1.5153371,0.9212925,0.049566962,-3.404259e-23
1.5323996,0.92939897,0.049888757,-4.826298e-23
1.5500166,0.93781302,0.05019135,-1.6614203e-23
