y,k,kMean,pPrime2Mean,kPrime2Mean,nutMean,pMean
0.4481146,1e-10,1e-10,3.6329145,-1.6821794e-33,0,0.14905167
0.44853879,8.4352672e-07,2.7967707e-06,3.6217397,2.6505113e-10,1.8076863e-11,0.14909011
0.44897681,4.4552297e-07,8.2952267e-07,3.596017,6.833324e-12,3.784573e-11,0.14920265
0.44942906,1.3482615e-06,1.6384985e-06,3.5653369,4.0265148e-12,2.05056e-10,0.14937918
0.44989599,3.7809354e-06,4.346241e-06,3.5323721,2.4168546e-11,9.9379887e-10,0.14959477
0.4503781,8.6648134e-06,9.9133477e-06,3.4991077,1.1943179e-10,3.659916e-09,0.14981405
0.45087586,1.7185819e-05,1.9722616e-05,3.4665461,4.5476234e-10,1.0913199e-08,0.15000715
0.4513898,3.0770164e-05,3.547247e-05,3.4351337,1.4261054e-09,2.7880505e-08,0.15016161
0.45192042,5.1107269e-05,5.9163648e-05,3.4051062,3.8586128e-09,6.3423114e-08,0.15028085
0.45246829,8.0035551e-05,9.3088125e-05,3.3764684,9.2904472e-09,1.3185714e-07,0.15037082
0.45303395,0.00011950313,0.00013979065,3.349067,2.032092e-08,2.5512576e-07,0.15043365
0.45361798,0.00017148099,0.00020200386,3.3227331,4.0988319e-08,4.6545935e-07,0.15046789
0.45422098,0.00023787008,0.00028256661,3.2972874,7.7046176e-08,8.0842278e-07,0.15047473
0.45484357,0.00032089774,0.00038433832,3.272602,1.3600988e-07,1.3451063e-06,0.15046278
0.45548638,0.00042261688,0.00050999215,3.2485641,2.2675956e-07,2.1547108e-06,0.15043175
0.45615006,0.00054430144,0.00066180293,3.2250122,3.5865576e-07,3.3357247e-06,0.15037243
0.45683531,0.00068746115,0.00084131123,3.2017148,5.3897595e-07,5.0045456e-06,0.15029023
0.4575428,0.00085390755,0.0010491438,3.1784043,7.7112113e-07,7.2962071e-06,0.15019833
0.45827328,0.0010446058,0.0012853527,3.1548866,1.0557972e-06,1.0360481e-05,0.15010951
0.45902747,0.0012593527,0.0015495529,3.131036,1.3916554e-06,1.4341453e-05,0.15002845
0.45980616,0.0014972551,0.00184068,3.1067613,1.7749985e-06,1.9375985e-05,0.14994879
0.46061014,0.0017566228,0.0021567432,3.0819949,2.1965952e-06,2.5627069e-05,0.14987645
0.46144023,0.0020349259,0.0024951136,3.056672,2.6406306e-06,3.3233089e-05,0.14981993
0.46229727,0.0023297352,0.0028531589,3.0307071,3.0910725e-06,4.2271938e-05,0.14977818
0.46318214,0.0026392994,0.0032282284,3.0039917,3.5360229e-06,5.2859384e-05,0.14975519
0.46409575,0.002962441,0.0036175685,2.9764042,3.9671538e-06,6.5084844e-05,0.14973779
0.46503902,0.0032988503,0.0040187817,2.9477451,4.3739069e-06,7.8939168e-05,0.14972122
0.46601292,0.0036500383,0.0044300002,2.9179155,4.7481392e-06,9.4485377e-05,0.14971297
0.46701845,0.0040186485,0.0048496789,2.8869637,5.0935845e-06,0.00011174589,0.14971357
0.46805662,0.004408617,0.0052762236,2.8548483,5.4123675e-06,0.00013084863,0.14973174
0.46912849,0.0048257705,0.0057086821,2.8215154,5.7004914e-06,0.00015171796,0.14976096
0.47023517,0.0052761088,0.006146558,2.7868563,5.9531922e-06,0.00017416365,0.14976887
0.47137778,0.005764094,0.0065891922,2.7506939,6.1698517e-06,0.00019847784,0.14972699
0.47255748,0.0062910924,0.0070363148,2.7130749,6.3560027e-06,0.00022463617,0.14963801
0.47377548,0.0068536637,0.0074875487,2.6743031,6.5191431e-06,0.00025263247,0.14952201
0.47503301,0.0074451995,0.0079424546,2.6348127,6.6598605e-06,0.00028241742,0.14939585
0.47633137,0.0080562434,0.0084009862,2.5947888,6.7750843e-06,0.00031421817,0.14926711
0.47767188,0.0086753501,0.0088633177,2.5542284,6.8695104e-06,0.00034804114,0.14913801
0.47905589,0.0092919405,0.0093294327,2.5133426,6.9504572e-06,0.00038373102,0.14902157
0.48048483,0.0098988047,0.0097993955,2.4723818,7.0231787e-06,0.00042154346,0.14894347
0.48196014,0.01049518,0.010273366,2.4314399,7.0917828e-06,0.00046123999,0.1489256
0.48348334,0.011086459,0.010750977,2.3905463,7.1522816e-06,0.00050302262,0.14897659
0.48505597,0.011662462,0.011231494,2.349628,7.1901611e-06,0.00054751739,0.14908523
0.48667964,0.012183881,0.011715133,2.3085535,7.2047403e-06,0.00059414993,0.14923516
0.48835599,0.01264516,0.012201935,2.2674928,7.1978467e-06,0.00064261209,0.14941115
0.49008674,0.013094774,0.01269155,2.2266013,7.1766076e-06,0.00069388827,0.14960721
0.49187366,0.013559665,0.013183675,2.1855549,7.1468642e-06,0.00074835537,0.14982036
0.49371855,0.014034481,0.013676547,2.1439352,7.0981643e-06,0.0008065022,0.15002079
0.4956233,0.014521267,0.014168671,2.1017855,7.0202075e-06,0.00086895827,0.15014976
0.49758984,0.015029681,0.014659609,2.0594845,6.9083447e-06,0.00093576971,0.15018744
0.49962018,0.015554683,0.015149111,2.0172656,6.7725739e-06,0.0010070678,0.15015691
0.50171638,0.016083365,0.015637044,1.9752053,6.6308626e-06,0.0010837696,0.15004664
0.50388058,0.016610715,0.016123005,1.9337796,6.4812418e-06,0.0011650894,0.14986684
0.50611498,0.017146526,0.016607057,1.8936873,6.3074113e-06,0.0012494751,0.14969682
0.50842185,0.01769753,0.017088526,1.8548034,6.1042993e-06,0.0013411702,0.14959702
0.51080353,0.018249426,0.017566368,1.8163794,5.8765082e-06,0.001441099,0.14954405
0.51326245,0.018798891,0.018041693,1.7782864,5.6403758e-06,0.0015457199,0.14951177
0.51580111,0.019359746,0.018515108,1.7408545,5.4085156e-06,0.0016581996,0.14954779
0.51842208,0.019949685,0.018985431,1.70438,5.1754116e-06,0.0017793289,0.14970541
0.52112804,0.020545639,0.019452314,1.6694831,4.9335257e-06,0.0019072109,0.14992858
0.52392172,0.021110725,0.019916619,1.6368222,4.6922536e-06,0.0020404797,0.15012904
0.52680597,0.021663623,0.020377571,1.6067907,4.4502962e-06,0.0021822829,0.15025616
0.52978371,0.0222295,0.020834005,1.5794197,4.1871366e-06,0.0023352226,0.15032219
0.53285797,0.022815146,0.021285991,1.5541785,3.9039957e-06,0.0024999802,0.1504104
0.53603187,0.023430143,0.021732597,1.530243,3.6227642e-06,0.0026784707,0.15051181
0.53930862,0.024097308,0.022174741,1.506968,3.358178e-06,0.0028638663,0.15051667
0.54269156,0.02473305,0.022614516,1.4838479,3.1184818e-06,0.0030550595,0.15040828
0.54618412,0.025256184,0.023051158,1.4603569,2.9014895e-06,0.0032610709,0.15025545
0.54978982,0.025868915,0.023483703,1.4367955,2.6973682e-06,0.0034809806,0.1501154
0.55351233,0.026493363,0.023911989,1.4140099,2.4965052e-06,0.0037113991,0.14995911
0.55735543,0.026894018,0.024335104,1.3918388,2.2882875e-06,0.0039596492,0.14972963
0.561323,0.027179846,0.024754201,1.369339,2.0842303e-06,0.0042193346,0.14946482
0.56541906,0.027438651,0.025171623,1.345498,1.9035723e-06,0.0044811616,0.14920377
0.56964776,0.027706691,0.025586801,1.3194236,1.743804e-06,0.004757021,0.14896824
0.57177618,0.027863904,0.025787393,1.3053546,1.6715982e-06,0.0048990163,0.148859
0.57401366,0.028027619,0.025998349,1.2903948,1.5957957e-06,0.0050482769,0.14873925
0.57852116,0.028364921,0.026406012,1.2578868,1.4568908e-06,0.0053505549,0.14845845
0.58317458,0.028681552,0.026809825,1.2214763,1.3256665e-06,0.0056701362,0.14810828
0.5879786,0.029038942,0.027210066,1.1807359,1.2012692e-06,0.0060047133,0.14772416
0.5929381,0.029359498,0.027607739,1.1352179,1.0860456e-06,0.0063484933,0.14732777
0.59805807,0.029570776,0.02800332,1.0846659,9.8094806e-07,0.0066975642,0.146924
0.60334368,0.029766649,0.028396561,1.0292583,8.8528543e-07,0.0070536205,0.14656583
0.60880029,0.02998866,0.028786921,0.96949078,7.9748191e-07,0.0074304476,0.14624346
0.61443337,0.030217735,0.029174105,0.90610152,7.156003e-07,0.0078361918,0.1458636
0.62024863,0.030459412,0.029559463,0.84007052,6.3977511e-07,0.0082407503,0.14541587
0.62625192,0.030730396,0.029944877,0.77247503,5.7044151e-07,0.0086367651,0.1449463
0.63244929,0.031007841,0.030330845,0.70437829,5.0600826e-07,0.0090342666,0.14443051
0.63884698,0.031288197,0.030717771,0.63684655,4.4564426e-07,0.0094254471,0.1438451
0.64545143,0.031589031,0.031106968,0.57086042,3.90499e-07,0.0098093833,0.14321384
0.65226929,0.031914252,0.03149973,0.50737443,3.4120907e-07,0.010171002,0.14251503
0.65930742,0.032255371,0.031896818,0.44738306,2.9798827e-07,0.010504536,0.14171277
0.66657289,0.032612632,0.032299136,0.391855,2.6110091e-07,0.0108006,0.14083471
0.67407299,0.032984223,0.032707451,0.34157542,2.3034721e-07,0.01106073,0.13993448
0.68181526,0.033367508,0.033121915,0.29693544,2.0495494e-07,0.01129405,0.13901941
0.68980747,0.03376389,0.033542705,0.25790689,1.8439545e-07,0.011499999,0.13806768
0.69805763,0.034171356,0.033969608,0.22421168,1.6787424e-07,0.011683527,0.13708355
0.70657401,0.034586678,0.034402276,0.19544602,1.5444246e-07,0.011841729,0.13609109
0.71536515,0.035009044,0.034840544,0.17112001,1.4357347e-07,0.011966767,0.13510693
0.72443983,0.035438351,0.035284142,0.15072464,1.3486025e-07,0.012057261,0.13413781
0.73380715,0.035874058,0.035732509,0.13374464,1.2795338e-07,0.012117061,0.13318442
0.74347646,0.03631551,0.03618471,0.11965144,1.2263274e-07,0.012150717,0.13224079
0.75345743,0.036762569,0.036639319,0.10793429,1.1871e-07,0.012166808,0.13129844
0.76376001,0.037214277,0.037094414,0.09814052,1.1596733e-07,0.012171721,0.13035007
0.77439449,0.03766729,0.037547658,0.089883427,1.1412336e-07,0.012169616,0.12938932
0.78537146,0.038117121,0.037996364,0.082838109,1.1286508e-07,0.012163678,0.12840897
0.79670186,0.038559905,0.038437503,0.076744361,1.1188876e-07,0.012158065,0.12740157
0.80839697,0.03899282,0.038867723,0.07140163,1.1093647e-07,0.012155359,0.12636107
0.8204684,0.039414022,0.039283421,0.066657157,1.0981849e-07,0.012154821,0.1252826
0.83292817,0.039822174,0.039680771,0.062395154,1.0841265e-07,0.012155526,0.12416158
0.84578863,0.040215662,0.040055724,0.058527728,1.0666852e-07,0.012157528,0.12299286
0.85906255,0.04059177,0.040404026,0.054987849,1.046108e-07,0.012159997,0.12177122
0.87276307,0.040946092,0.040721226,0.051724008,1.0232504e-07,0.012162263,0.12049229
0.88690376,0.041272326,0.041002698,0.048696279,9.9934325e-08,0.012164799,0.1191524
0.9014986,0.041562791,0.04124367,0.045873284,9.7578603e-08,0.012168293,0.11774863
0.91656202,0.041809542,0.041439286,0.043229941,9.5400464e-08,0.012173486,0.11627912
0.93210888,0.04200511,0.041584683,0.040745851,9.3530189e-08,0.012180723,0.11474305
0.94815452,0.042142714,0.041675053,0.038404054,9.2072191e-08,0.012189382,0.11314071
0.96471474,0.042216666,0.0417057,0.036190334,9.1095131e-08,0.012198911,0.1114733
0.98180582,0.04222248,0.041672089,0.034092824,9.0629166e-08,0.012209078,0.10974271
0.99944458,0.042156273,0.041569908,0.032101568,9.0666554e-08,0.012219681,0.10795146
1.0176483,0.042014473,0.041395147,0.030208253,9.1161462e-08,0.012230646,0.10610265
1.0364349,0.041793912,0.041144185,0.028405987,9.2033816e-08,0.012241677,0.10420029
1.0558227,0.041491808,0.040813875,0.026689064,9.3176539e-08,0.012252287,0.10224922
1.0758308,0.041105767,0.040401653,0.025052818,9.4456899e-08,0.012262463,0.10025466
1.0964785,0.040633891,0.039905664,0.023493426,9.571616e-08,0.012272533,0.098222365
1.1177862,0.040074901,0.039324917,0.022007797,9.677521e-08,0.012282769,0.096158799
1.1397745,0.039428314,0.038659431,0.02059347,9.744352e-08,0.012293603,0.094071027
1.1624649,0.038694723,0.037910403,0.019248494,9.7530525e-08,0.012305763,0.091966455
1.1858794,0.037876057,0.037080365,0.017971322,9.6856837e-08,0.012320251,0.089852672
1.2100408,0.036975731,0.036173331,0.016760741,9.5267687e-08,0.01233838,0.087737358
1.2349723,0.035998763,0.03519491,0.015615753,9.2653414e-08,0.01236181,0.085628135
1.2606983,0.034951905,0.034152372,0.014535422,8.8969362e-08,0.012392597,0.083532436
1.2872435,0.0338437,0.033054635,0.013518816,8.4248132e-08,0.012433142,0.081457265
1.3146335,0.032684438,0.031912157,0.012564974,7.8605037e-08,0.012486186,0.079409007
1.3209788,0.032415408,0.031648277,0.01236509,7.717537e-08,0.012501483,0.078956033
1.3428965,0.031485813,0.030736545,0.011672441,7.2235416e-08,0.012555421,0.077388781
1.3720585,0.030261188,0.029540758,0.010840411,6.5395728e-08,0.012643559,0.075405781
1.4021469,0.029024517,0.028338056,0.010067672,5.8371838e-08,0.012753434,0.07346555
1.4331904,0.027789854,0.027141529,0.0093526345,5.1446221e-08,0.012887675,0.071571425
