y,U_0,U_1,U_2,UMean_0,UMean_1,UMean_2
1.0002443,0,0,0,0,0,0
1.0005678,0.014666314,2.5214869e-05,6.1593809e-22,0.026940556,4.5676862e-05,4.1698109e-22
1.0009018,0.029848624,4.1124152e-05,4.8732071e-22,0.054672832,8.4850095e-05,2.8513076e-22
1.0012466,0.045686246,4.8750574e-05,-5.5220305e-22,0.083445507,0.00011813446,-5.0859308e-22
1.0016026,0.06217125,4.5596969e-05,5.8563509e-22,0.11328043,0.00014285255,4.0993557e-22
1.0019702,0.07932123,3.1139233e-05,1.6602698e-21,0.14419594,0.0001595407,1.2539275e-21
1.0023498,0.097170434,5.4366297e-06,-8.8859076e-22,0.17619503,0.00017017305,-5.9634823e-22
1.0027416,0.11574919,-3.1192614e-05,-1.2613564e-21,0.20923866,0.0001771078,-8.1858435e-22
1.0031463,0.13508315,-7.8140233e-05,-2.3210349e-22,0.24321834,0.00018253855,-1.6113056e-22
1.003564,0.15519005,-0.00013458003,-1.7687218e-22,0.27793444,0.00018799896,-1.6546481e-22
1.0039954,0.17607469,-0.00019942272,-9.7772217e-22,0.31309735,0.00019423669,-6.1569934e-22
1.0044407,0.19772218,-0.00027145475,-2.1258791e-21,0.34835963,0.00020131642,-1.0828168e-21
1.0049006,0.22009002,-0.00034945059,1.4698104e-21,0.38336548,0.00020914049,6.5626782e-22
1.0053753,0.24310036,-0.00043216343,4.4467931e-21,0.41779272,0.00021800464,2.4700586e-21
1.0058655,0.26663517,-0.00051823873,2.1292697e-21,0.45137323,0.00022868921,1.3649089e-21
1.0063717,0.29053684,-0.00060578897,-1.8708292e-21,0.48389561,0.0002423237,-9.4380104e-22
1.0068943,0.31461608,-0.0006926477,-9.9165033e-22,0.51519989,0.00026064408,-3.7828643e-22
1.0074338,0.33866626,-0.00077694536,-1.7732916e-23,0.54517178,0.00028567667,-1.3631301e-22
1.0079909,0.36248187,-0.00085687795,-3.7253692e-21,0.57373832,0.00031900502,-1.9290742e-21
1.0085661,0.3858758,-0.00092980704,-2.773265e-22,0.6008641,0.00036194117,-1.0385918e-22
1.00916,0.40869146,-0.00099387314,2.0310212e-21,0.62654692,0.00041561442,1.377725e-21
1.0097732,0.43080772,-0.0010481749,1.7455757e-22,0.65081147,0.00048093325,9.3626205e-23
1.0104064,0.45213737,-0.001090797,2.5216839e-22,0.67370097,0.00055936898,2.1170565e-23
1.0110601,0.4726224,-0.0011213649,-8.6415323e-22,0.69526969,0.000652316,-3.9861442e-22
1.011735,0.49222759,-0.0011395643,1.0731714e-21,0.71557762,0.0007606354,1.0500684e-22
1.0124319,0.5109342,-0.0011437971,-5.5882726e-22,0.73468673,0.00088567773,-3.3588442e-22
1.0131514,0.52873635,-0.001133198,-3.5082696e-21,0.75265805,0.001026511,-1.4957594e-21
1.0138943,0.54563737,-0.0011074101,2.7099363e-21,0.76955006,0.001183138,1.3128672e-21
1.0146613,0.5616468,-0.0010664669,2.9047522e-21,0.78541826,0.0013565943,1.5118823e-21
1.0154533,0.57677929,-0.0010106406,-6.3961038e-22,0.80031493,0.0015462261,-2.7014241e-22
1.016271,0.59105382,-0.00094039143,-1.7832584e-21,0.81429019,0.0017515559,-1.0363774e-21
1.0171153,0.60449352,-0.0008558747,-2.6276591e-21,0.82739257,0.0019716409,-1.2543319e-21
1.017987,0.61712544,-0.00075714914,2.3898871e-21,0.83966941,0.0022060311,1.2126221e-21
1.0188871,0.62898039,-0.00064490664,5.0494313e-22,0.85116586,0.0024539694,2.9184071e-22
1.0198164,0.64009236,-0.00052048369,-1.7023815e-21,0.86192436,0.0027144215,-9.3131587e-22
1.0207759,0.65049786,-0.00038510361,1.5997996e-21,0.87198522,0.0029863241,7.4236697e-22
1.0217666,0.66023533,-0.00023952517,7.7271535e-22,0.88138695,0.0032687657,3.8203334e-22
1.0227894,0.66934394,-8.4718131e-05,4.4459795e-22,0.89016626,0.0035614497,1.7421628e-22
1.0238456,0.67786277,7.8811311e-05,4.5666613e-22,0.8983575,0.0038642543,2.7030918e-22
1.024936,0.6858308,0.00025100215,-1.4529078e-21,0.90599275,0.0041767376,-6.6614235e-22
1.0260619,0.69328713,0.00043104046,-1.2698371e-21,0.91310178,0.0044978475,-6.2649703e-22
1.0272243,0.70027159,0.00061850551,1.0286682e-21,0.91971188,0.0048266048,4.930188e-22
1.0284246,0.70682085,0.00081308423,1.793687e-22,0.92584787,0.0051621721,1.3946371e-22
1.0296638,0.71296929,0.0010150485,-8.1303398e-22,0.93153229,0.0055038281,-4.9490172e-22
1.0309433,0.7187493,0.0012249565,9.3729387e-25,0.93678559,0.0058510804,-3.10629e-24
1.0322644,0.72418922,0.0014421797,1.1073275e-21,0.94162624,0.0062038614,7.3677806e-22
1.0336284,0.72931619,0.0016665972,3.8663919e-22,0.94607051,0.0065618997,1.8294196e-22
1.0350368,0.73415571,0.0018991065,-6.8408158e-22,0.95013252,0.006924635,-4.1317678e-22
1.0364909,0.73873013,0.0021390121,1.4102292e-22,0.95382444,0.0072914961,1.0426932e-23
1.0379923,0.74305707,0.0023813206,-6.2886054e-23,0.9571565,0.0076620001,-4.3203122e-23
1.0395424,0.74715204,0.0026245789,-3.6299139e-23,0.96013742,0.0080356768,-2.9863923e-23
1.041143,0.75103199,0.0028709842,-1.5437363e-22,0.96277491,0.0084113835,-6.4709889e-23
1.0427955,0.75471401,0.0031193809,-4.4905261e-23,0.9650753,0.0087880598,2.3344795e-23
1.0445018,0.75821681,0.003371536,-2.2714837e-22,0.96704346,0.0091649894,-2.2147386e-22
1.0462635,0.76156065,0.0036281152,-4.5359872e-22,0.96868323,0.0095412295,-2.3770874e-22
1.0480825,0.76476522,0.0038927888,4.4680749e-22,0.96999725,0.0099154678,3.6879222e-22
1.0499605,0.76784662,0.0041672929,4.7453878e-22,0.97098717,0.010286744,2.9997634e-22
1.0518996,0.77081938,0.0044515322,-1.7387013e-22,0.97165394,0.01065415,-1.7836958e-22
1.0539017,0.77369757,0.0047472279,5.4193599e-23,0.97199789,0.011016342,-1.9153503e-23
1.0559689,0.77649045,0.0050492633,3.0672943e-22,0.97201888,0.011371948,2.4880314e-22
1.0581033,0.77920473,0.0053588835,-1.7613933e-22,0.97171627,0.011719672,-1.4827779e-22
1.060307,0.78184641,0.0056777045,-6.8954934e-22,0.97108934,0.012058169,-4.5185582e-22
1.0625823,0.78442298,0.0060064299,1.6738154e-23,0.97013717,0.012385401,1.4760454e-22
1.0649316,0.78693865,0.0063452128,2.3323392e-22,0.96885885,0.0126993,1.2107725e-22
1.0673572,0.78939631,0.0066917698,-2.6606403e-22,0.967254,0.012998041,-2.3138313e-22
1.0698616,0.7917982,0.0070457312,2.6810061e-22,0.96532256,0.013279574,2.1572667e-22
1.0724475,0.79414408,0.0074052522,2.8837574e-22,0.96306485,0.013541974,2.2826727e-22
1.0751173,0.79643452,0.0077691834,1.1237198e-22,0.96048197,0.013783033,6.8065403e-23
1.077874,0.79867291,0.0081373014,2.6770881e-24,0.95757589,0.014000669,-5.609252e-23
1.0807202,0.80086527,0.0085099987,-2.5239786e-22,0.95434934,0.014192339,-2.1449239e-22
1.0836589,0.80301723,0.0088872947,-1.5997501e-23,0.95080634,0.014355713,3.9989334e-23
1.0866931,0.80513409,0.0092689152,-4.1705403e-22,0.94695207,0.014488549,-3.0160625e-22
1.0898259,0.80722065,0.0096545607,-3.7763727e-23,0.94279313,0.014588546,-7.250675e-23
1.0930605,0.80928133,0.010044198,2.3870948e-22,0.93833868,0.014653378,2.0801323e-22
1.0964002,0.81131958,0.010437779,7.7420582e-23,0.93360025,0.014680739,9.5507938e-23
1.0998485,0.81333779,0.010834533,9.9641397e-23,0.92859181,0.014669245,7.2490434e-23
1.1034088,0.81533784,0.011233623,-1.3698106e-22,0.92333069,0.0146175,-1.233069e-22
1.1070848,0.81732065,0.011634142,2.657517e-22,0.91783731,0.014523842,1.7046656e-22
1.1108803,0.81928829,0.012035495,3.9502565e-23,0.91213539,0.01438736,6.6832052e-23
1.1147991,0.82124419,0.012437414,6.0975233e-23,0.90625253,0.01420798,1.2899239e-22
1.1188453,0.82319115,0.012839573,-4.244693e-23,0.90021978,0.013985941,-4.1980991e-23
1.1230229,0.82513171,0.013241795,-5.2812886e-23,0.89407175,0.013721195,-1.0098618e-22
1.1273364,0.82706792,0.013643758,-5.3217143e-23,0.88784702,0.013414161,-3.6436868e-23
1.13179,0.82900161,0.014045178,-4.6842335e-23,0.88158816,0.013066783,-7.5417066e-23
1.1363883,0.8309337,0.014445336,-6.6755106e-23,0.87534278,0.012682127,-1.4937481e-22
1.141136,0.83286687,0.014844253,1.869314e-23,0.86916515,0.01226431,5.3210806e-23
1.1460381,0.83480526,0.015242514,3.1215051e-22,0.86311574,0.011818085,3.5623612e-22
1.1510994,0.83675218,0.015640112,-1.3759604e-22,0.85725979,0.011350555,-5.3507242e-23
1.1563253,0.83871122,0.016037134,-1.957908e-22,0.85166634,0.010871019,-2.5988513e-22
1.1617209,0.84068613,0.016433614,-1.0270329e-22,0.8464074,0.010389054,-1.5052524e-22
1.1672919,0.84268078,0.016829549,1.6358581e-22,0.84155776,0.0099149035,1.6590537e-22
1.173044,0.84469931,0.017224925,2.7524514e-22,0.83719384,0.0094614113,2.9991149e-22
1.1789829,0.84674601,0.017619697,-1.3140474e-22,0.83339229,0.0090446315,-6.8550414e-23
1.1851149,0.84882535,0.018013812,-9.0273823e-23,0.83022729,0.0086792324,-9.2700096e-23
1.1914461,0.85094166,0.018407022,-5.8464862e-24,0.82776456,0.0083787031,5.8038228e-24
1.1979831,0.85309937,0.01879891,-1.4968572e-22,0.82605547,0.0081575981,-1.5689884e-22
1.2047325,0.85530332,0.019189127,-9.2853633e-24,0.82512861,0.008028702,-4.9191979e-23
1.2117013,0.85755837,0.019577295,5.9412468e-23,0.82498063,0.0079999568,6.0262233e-23
1.2188965,0.85986943,0.019963018,6.7810691e-23,0.8255708,0.0080713293,9.2642957e-23
1.2263255,0.86224067,0.020345662,3.3214737e-24,0.82682159,0.0082364057,-1.8442183e-23
1.233996,0.86467748,0.020724732,-3.4557993e-23,0.82863102,0.0084854536,-3.5670783e-23
1.2419157,0.86718757,0.021100137,1.2012348e-22,0.830893,0.0088050964,1.0214225e-22
1.2500928,0.86977816,0.021471565,1.6191308e-22,0.83351711,0.0091823087,1.1682471e-22
1.2585357,0.87245646,0.021838625,-6.1800185e-23,0.8364459,0.0096082315,-4.7688755e-23
1.2672529,0.87522997,0.022200894,-8.7110974e-23,0.83966265,0.010080395,-8.9887449e-23
1.2762534,0.87810476,0.022557517,-5.7349048e-23,0.84317047,0.010603618,-4.880638e-23
1.2855463,0.88108692,0.022907779,-1.2865959e-22,0.84695208,0.011177803,-8.295971e-23
1.2951413,0.88418248,0.023250982,-1.837321e-23,0.85095458,0.011789539,-1.1342282e-23
1.3050481,0.88739738,0.023586453,1.0343566e-22,0.85511511,0.012420501,9.0237646e-23
1.3152768,0.89073774,0.023913719,-5.5308035e-23,0.85938968,0.013056572,-4.0979494e-23
1.3258379,0.89420893,0.024232156,-2.4941888e-23,0.86375801,0.013690265,-2.9819198e-23
1.3367423,0.89781558,0.024541072,6.6649073e-23,0.86821466,0.014318971,5.8014023e-23
1.3480009,0.90156171,0.024839798,-7.246766e-23,0.8727596,0.014942409,-4.7639452e-23
1.3596255,0.90545071,0.025127708,-2.8699327e-23,0.87739351,0.015560653,-2.0924261e-23
1.3716278,0.90948515,0.025404158,8.3864004e-23,0.88211645,0.016172891,3.7883234e-23
1.3840202,0.91366674,0.025668479,7.1341259e-23,0.88692915,0.016778848,3.9092354e-23
1.3968153,0.91799582,0.025919937,3.2380975e-23,0.8918339,0.017378711,2.7569536e-23
1.4100262,0.92247148,0.026157897,2.1680639e-23,0.89683449,0.017972499,9.465345e-24
1.4236664,0.92709157,0.026381724,-8.4098354e-24,0.901937,0.018560552,7.4480365e-24
1.4377499,0.93185269,0.026590673,-4.2979985e-25,0.90714839,0.019142457,1.3818632e-23
1.452291,0.93675041,0.026783993,2.184071e-23,0.91247525,0.01971749,7.5831947e-24
1.4673047,0.9417792,0.026960949,-4.5298316e-23,0.91792389,0.020285465,-3.2699934e-23
1.4828063,0.94693196,0.027120756,-2.9002468e-23,0.9234981,0.020845754,-2.1012284e-23
1.4988117,0.95219998,0.027262631,4.5756195e-23,0.92919695,0.021396799,1.9443212e-23
1.5153371,0.95757349,0.027385884,-4.7759483e-23,0.93501631,0.021937108,-3.393717e-23
1.5323996,0.96304208,0.027489885,-4.8274614e-23,0.9409511,0.022464705,-2.3494294e-23
1.5500166,0.96859451,0.027573986,3.63032e-24,0.94699474,0.022977175,7.1478213e-24
1.5682061,0.97421623,0.027636761,-4.860022e-23,0.95313944,0.023471792,-2.4909341e-23
1.5869867,0.97989475,0.02767759,-6.2608248e-24,0.95937581,0.023945541,-9.8523309e-25
1.6063776,0.98562123,0.027697031,3.2131544e-23,0.9656891,0.024396509,1.2066428e-23
1.6263987,0.99138447,0.027694928,-1.3240094e-23,0.97205921,0.024821833,-1.0025863e-23
1.6470703,0.99717252,0.02767094,-1.9218832e-23,0.97847169,0.025217073,-6.9748373e-24
1.6684138,1.0029731,0.027624715,1.1232392e-23,0.98491629,0.025579184,2.3837868e-24
1.6904508,1.0087733,0.027555795,-1.0845484e-23,0.99137823,0.025906212,-2.983653e-24
1.713204,1.0145599,0.027463693,-3.0476565e-23,0.99784102,0.026195649,-1.1231031e-23
1.7366966,1.0203199,0.027347885,3.9004963e-24,1.0042876,0.02644485,8.7538406e-25
1.7609526,1.0260406,0.027207801,-3.3245986e-24,1.0107001,0.02665144,6.0406231e-25
1.7859969,1.0317099,0.027042829,1.5068941e-23,1.0170613,0.026813717,6.0388509e-24
1.8118551,1.0373164,0.026852324,1.0288948e-23,1.0233565,0.026930281,1.2672316e-24
1.8385535,1.0428491,0.026635634,-1.0280641e-23,1.0295767,0.026999469,-5.0624498e-24
1.8661196,1.0482985,0.026392115,7.5948247e-24,1.0357164,0.027019138,5.4421234e-24
1.8945815,1.0536574,0.026121109,-1.9272075e-24,1.0417681,0.026987007,3.0305825e-24
1.9239683,1.0589221,0.02582178,-3.9303328e-24,1.047722,0.026900981,-2.5531669e-24
1.9543101,1.0640961,0.025492662,1.8199564e-24,1.0535725,0.026758807,1.0544835e-26
1.9856379,1.0691937,0.02513103,-3.8447709e-24,1.0593242,0.026557785,8.4364621e-25
2.0179838,1.074201,0.024737569,-4.2437167e-25,1.064949,0.02629835,5.5099679e-25
2.0503297,1.0790143,0.024321122,3.681969e-24,1.0703271,0.02598828,3.955262e-24
2.0816574,1.0835117,0.023889562,5.346256e-24,1.0753332,0.025637207,6.4359898e-24
2.1119992,1.0876543,0.023443225,8.8468151e-26,1.0799352,0.02525054,5.6326053e-24
2.141386,1.0914571,0.022981599,-9.496345e-24,1.0841547,0.024832436,-2.8547654e-24
2.1698478,1.0949434,0.022506886,-5.3301521e-24,1.0880186,0.024388137,1.4597068e-24
2.1974138,1.0981359,0.022022539,1.1053476e-23,1.0915539,0.023923343,-1.2741029e-25
2.2241121,1.1010556,0.021532188,3.6278863e-24,1.0947853,0.023443535,-4.9039056e-24
2.2499702,1.1037206,0.021039225,-8.1734359e-25,1.0977352,0.022953461,3.237642e-24
2.2750144,1.1061466,0.020546641,2.1622661e-24,1.1004226,0.022456987,5.9816763e-24
2.2992703,1.1083472,0.020056814,-2.5574546e-24,1.1028638,0.021957309,-2.400524e-24
2.3227628,1.1103351,0.019571319,-9.9308956e-24,1.1050731,0.021457108,-5.3723941e-24
2.3455158,1.1121247,0.019091618,-3.4902882e-24,1.1070639,0.020958471,2.0804366e-24
2.3675527,1.1137287,0.018617058,1.0062606e-23,1.1088494,0.020462836,3.407803e-24
2.388896,1.115154,0.018145018,-2.0198691e-24,1.1104407,0.019970228,-3.4816144e-24
2.4095676,1.1164045,0.017674161,-2.1320066e-24,1.111845,0.019479789,1.0728382e-24
2.4295885,1.1174823,0.017204105,9.7253913e-25,1.1130673,0.018991122,2.1879829e-24
2.4489793,1.1183856,0.016738341,-2.2275057e-24,1.1141102,0.01850564,-3.0574356e-24
2.4677597,1.1191157,0.016284422,3.2965385e-24,1.1149751,0.018027335,9.167136e-24
2.4859491,1.1196781,0.015841999,-1.6355791e-24,1.1156666,0.017558759,-8.4620661e-24
2.5035659,1.120074,0.015406117,-2.1725574e-24,1.1161882,0.017096847,-7.3047083e-24
2.5206283,1.1203028,0.014976511,-3.5168143e-26,1.1165403,0.016638855,7.7343107e-24
2.5371536,1.1203706,0.014555315,-3.2512933e-24,1.1167242,0.016186055,-5.3674731e-24
2.5531588,1.1202866,0.014142863,1.4418556e-24,1.116746,0.015740229,-4.1866608e-24
2.5686602,1.1200508,0.013739221,2.7166637e-24,1.1166099,0.015302617,5.6597413e-24
2.5836738,1.1196603,0.01334554,-1.2767466e-24,1.1163147,0.014874307,1.9711755e-24
2.5982148,1.1191139,0.012963242,1.1250086e-24,1.1158586,0.014457372,2.4180803e-25
2.6122981,1.1184087,0.012590328,1.4746774e-26,1.1152404,0.014051665,-3.3099155e-25
2.6259382,1.117541,0.012224412,7.587002e-25,1.1144589,0.013655335,-5.4078554e-24
2.6391489,1.1165096,0.011869219,-1.8472756e-24,1.1135133,0.013268609,-3.1996263e-24
2.6519439,1.1153149,0.011526471,-3.6833541e-24,1.1124031,0.012892201,4.6602684e-24
2.6643361,1.1139572,0.011194741,1.9244411e-24,1.111127,0.012525292,1.8357042e-24
2.6763383,1.1124362,0.010872946,1.8494995e-24,1.1096843,0.01216683,-1.7948284e-24
2.6879627,1.1107521,0.010559237,3.2585699e-24,1.108074,0.011815425,6.5644651e-24
2.6992213,1.1089036,0.010252469,4.7108133e-25,1.1062953,0.011470146,-2.9333998e-24
