y,U_0,U_1,U_2
0.44811458,0,0,0
0.44853872,9.3496522e-05,-7.5477957e-05,-4.0240984e-22
0.44897673,0.00019133553,-0.00015275328,6.2846758e-21
0.44942898,0.00029054348,-0.00023164347,-1.3637644e-21
0.44989591,0.0003885017,-0.00031083117,-1.6090524e-21
0.45037802,0.00048288937,-0.0003887087,-4.4479433e-22
0.45087578,0.00057139441,-0.00046288157,3.3617186e-21
0.45138972,0.0006510552,-0.00053084087,5.2440187e-21
0.45192035,0.00071847908,-0.00058986744,-2.4632376e-21
0.45246821,0.00076999021,-0.00063687633,-8.4542192e-21
0.45303387,0.00080138645,-0.00066865523,4.9364446e-21
0.4536179,0.00080814503,-0.00068161219,1.3974401e-20
0.4542209,0.00078546688,-0.00067182327,-2.8808147e-21
0.45484349,0.00072823848,-0.00063507967,-9.1845016e-21
0.4554863,0.00063061022,-0.00056742125,3.7971787e-21
0.45614998,0.00048655714,-0.00046425216,-5.1283201e-21
0.45683523,0.00029042392,-0.00031947409,-5.6819305e-21
0.45754272,3.5524073e-05,-0.00012801154,1.7731167e-21
0.4582732,-0.00028473392,0.00011534228,-6.2812575e-21
0.45902739,-0.0006762289,0.00041628918,9.0424907e-21
0.45980608,-0.0011456829,0.00077883037,3.8804414e-21
0.46061006,-0.0016990676,0.0012083176,-8.5805565e-21
0.46144015,-0.0023419797,0.0017107604,6.8747808e-21
0.46229719,-0.0030811583,0.0022900053,7.2014168e-21
0.46318206,-0.0039227133,0.0029497272,-8.9686137e-21
0.46409567,-0.0048703976,0.0036953481,2.3026559e-21
0.46503894,-0.0059275506,0.0045311123,1.0244273e-20
0.46601284,-0.0070981795,0.005458268,-1.285709e-20
0.46701837,-0.0083845219,0.0064778488,3.0053392e-21
0.46805654,-0.0097867772,0.0075906615,1.3107763e-21
0.46912841,-0.011303759,0.0087957876,-1.9029525e-21
0.47023509,-0.012932338,0.010090544,7.4551483e-21
0.4713777,-0.01466676,0.011471188,-2.8022214e-21
0.4725574,-0.016499031,0.01293235,-3.6824062e-21
0.4737754,-0.018418517,0.014467301,-6.7541052e-21
0.47503293,-0.020412602,0.016067139,1.5427695e-21
0.47633129,-0.022469972,0.017717065,-4.1872478e-21
0.4776718,-0.02457603,0.019402821,5.2340161e-22
0.47905581,-0.026710109,0.021115131,4.9398602e-21
0.48048475,-0.028853539,0.022840746,2.2495661e-21
0.48196006,-0.030990166,0.024562898,6.2743009e-21
0.48348326,-0.033102406,0.026267559,1.6192162e-21
0.48505589,-0.035173569,0.027941577,-3.3186087e-21
0.48667956,-0.037189144,0.029571779,6.6163527e-21
0.48835591,-0.039135362,0.031147543,-4.1673463e-21
0.49008666,-0.040999373,0.032661013,-1.7820809e-20
0.49187358,-0.042771409,0.034104621,-5.636097e-21
0.49371847,-0.044444765,0.035471337,9.768171e-21
0.49562322,-0.046014267,0.036756438,5.747945e-21
0.49758976,-0.04747696,0.037956131,5.0153176e-21
0.4996201,-0.048831407,0.039067953,-2.8658449e-21
0.5017163,-0.050076676,0.040091696,-1.1882608e-20
0.5038805,-0.051213313,0.041027572,2.0829559e-21
0.5061149,-0.052242617,0.041876717,8.1211753e-21
0.50842177,-0.053166719,0.042640417,5.218254e-23
0.51080345,-0.053988517,0.043319759,-8.8162104e-21
0.51326237,-0.054710218,0.043917576,3.609192e-21
0.51580103,-0.055335407,0.044436065,6.4370882e-21
0.518422,-0.055870282,0.044875043,-4.0262921e-21
0.52112796,-0.056320174,0.045236648,5.2813793e-21
0.52392164,-0.056688911,0.045527094,2.7928988e-21
0.52680589,-0.056981545,0.045751905,-5.7570228e-21
0.52978363,-0.057203585,0.04591012,-5.6711902e-21
0.53285789,-0.057361073,0.04599978,1.8238991e-21
0.53603179,-0.057462935,0.046034486,3.2247395e-21
0.53930855,-0.057505127,0.046035945,2.3246084e-21
0.54269148,-0.057474376,0.0459644,8.4404942e-21
0.54618404,-0.057371491,0.045801766,-7.9851034e-22
0.54978974,-0.057205423,0.045580648,-5.8411004e-21
0.55351226,-0.056983467,0.04530038,-1.3217187e-21
0.55735535,-0.056709695,0.044958266,-1.6204146e-21
0.56132292,-0.056385733,0.044554374,-5.2584958e-21
0.56541898,-0.056012968,0.044088695,1.9413547e-21
0.56964768,-0.055593335,0.043560195,3.3003514e-21
0.57177824,-0.055366455,0.043271043,2.6914435e-21
0.57401358,-0.055133446,0.042967928,2.0487145e-21
0.57852108,-0.05463612,0.042309749,4.337987e-21
0.5831745,-0.054099945,0.041582041,-9.4647132e-22
0.58797853,-0.053527419,0.040781715,-1.4637595e-21
0.59293802,-0.052920572,0.03990641,-2.8700291e-21
0.59805799,-0.052281893,0.038953792,1.1597484e-21
0.60334361,-0.0516149,0.03792085,6.1325178e-22
0.60880021,-0.050924128,0.036804144,-4.9201099e-22
0.6144333,-0.050215294,0.035600266,-6.1433648e-22
0.62024856,-0.049495697,0.034305993,-3.8500686e-21
0.62625185,-0.048773951,0.032917396,4.0073928e-21
0.63244922,-0.04805875,0.031429951,9.8685337e-22
0.63884691,-0.047352409,0.029837564,3.7631596e-21
0.64545136,-0.046637468,0.028126033,1.3975571e-21
0.65226923,-0.045872535,0.026269483,-5.9268546e-21
0.65930735,-0.045000981,0.024236533,-5.0970003e-21
0.66657282,-0.043964616,0.021997217,9.2157239e-22
