y,R_0,R_1,R_2,R_3,R_4,R_5
0,6.6666667e-11,0,0,6.6666667e-11,0,6.6666667e-11
0.00048240845,1.4552758e-07,5.1823314e-11,-2.7697241e-29,1.4552761e-07,-1.8055483e-27,1.4552759e-07
0.00098049384,1.9874309e-07,4.7866515e-10,-3.9567545e-34,1.9874375e-07,1.278234e-33,1.9874343e-07
0.0014947656,7.512457e-07,3.9005139e-09,-3.6197067e-32,7.5125339e-07,-2.8162327e-34,7.5124958e-07
0.0020257498,2.1614502e-06,1.9738098e-08,1.2724421e-31,2.1615014e-06,-2.0913087e-31,2.1614761e-06
0.0025739895,5.0064416e-06,7.2325738e-08,-1.7075259e-30,5.0066787e-06,-1.5452676e-30,5.0065607e-06
0.0031400454,1.0023759e-05,2.1266837e-07,-3.0531246e-30,1.0024617e-05,-1.3054439e-30,1.0024187e-05
0.0037244966,1.8121168e-05,5.3424954e-07,3.3591099e-29,1.8123747e-05,-5.5304497e-30,1.8122456e-05
0.0043279408,3.0393262e-05,1.1931096e-06,1.1487513e-29,3.0400032e-05,-2.3255003e-29,3.0396651e-05
0.0049509953,4.8137355e-05,2.4318026e-06,8.8253412e-29,4.8153376e-05,-2.3910789e-30,4.8145395e-05
0.0055942973,7.2863734e-05,4.605549e-06,7.4544036e-28,7.2898671e-05,2.9626744e-29,7.2881297e-05
0.0062585048,0.0001062937,8.2065567e-06,1.6456375e-27,0.0001063651,-5.6471251e-29,0.00010632956
0.0069442972,0.00015033622,1.3878733e-05,1.5862299e-27,0.00015047424,7.9790734e-29,0.00015040543
0.007652376,0.00020703136,2.2409839e-05,2.9501812e-27,0.00020728573,1.3470453e-28,0.00020715862
0.0083834654,0.00027844753,3.46829e-05,2.407186e-27,0.00027889692,-1.8718718e-29,0.00027867186
0.0091383131,0.00036652322,5.156689e-05,3.381981e-27,0.00036728698,-2.1412865e-27,0.00036690408
0.0099176913,0.00047285469,7.3735263e-05,-1.6883121e-26,0.00047410941,-2.1658878e-27,0.00047347957
0.010722397,0.00059845169,0.00010142691,-1.9682665e-26,0.00060044712,5.2450909e-27,0.00059944503
0.011553254,0.00074350935,0.00013420672,4.4103792e-26,0.00074658298,5.422309e-27,0.00074504209
0.012411111,0.00090726301,0.00017082318,1.9078569e-26,0.00091186383,2.8930525e-27,0.00090956185
0.013296846,0.0010879871,0.00020926168,-3.6852511e-26,0.0010946972,2.7149196e-27,0.0010913421
0.014211364,0.0012831606,0.00024702618,-1.5100725e-26,0.0012926997,-3.5633213e-29,0.00128793
0.015155603,0.0014897647,0.0002815758,-2.6835636e-26,0.0015029879,-4.9073542e-29,0.0014963756
0.016130526,0.0017046322,0.00031076398,-1.570049e-25,0.0017225246,-5.4813307e-27,0.0017135775
0.017137132,0.0019247626,0.00033312637,-2.0991997e-25,0.0019484262,2.1989383e-26,0.0019365935
0.018176449,0.0021475414,0.00034795201,4.7909389e-25,0.0021781776,3.1330659e-26,0.0021628588
0.019249542,0.0023708498,0.00035517868,9.4908446e-25,0.0024097399,-2.9390826e-26,0.0023902943
0.020357507,0.0025930804,0.00035520165,2.7532295e-25,0.0026415671,-2.3295185e-26,0.0026173235
0.021501477,0.0028130912,0.000348674,2.6518922e-25,0.002872563,3.8223158e-26,0.0028428271
0.022682624,0.0030301292,0.00033634446,1.3077947e-24,0.0031020079,3.2827541e-26,0.0030660687
0.023902154,0.0032437463,0.00031894951,7.4521419e-25,0.0033294785,-2.9306239e-26,0.0032866127
0.025161316,0.0034537226,0.0002971567,-4.1807226e-25,0.0035547736,-3.5380235e-26,0.0035042485
0.026461397,0.0036600009,0.00027154063,-2.5983087e-24,0.0037778516,7.7655223e-27,0.0037189267
0.027803728,0.0038626369,0.0002425769,-2.0071154e-24,0.0039987818,4.1458671e-26,0.0039307097
0.02918968,0.00406176,0.00021065018,1.5407146e-26,0.004217707,1.7169825e-26,0.0041397339
0.030620672,0.0042575464,0.00017606513,-5.5205549e-25,0.0044348171,-1.6607895e-26,0.004346182
0.032098167,0.0044501988,0.00013905975,1.9891118e-24,0.0046503293,3.7921056e-26,0.0045502643
0.033623676,0.0046399336,9.9819502e-05,3.1231045e-24,0.0048644758,3.1302374e-26,0.0047522049
