y,k
0,1e-10
0.00048240845,2.1829139e-07
0.00098049384,2.9811514e-07
0.0014947656,1.1268744e-06
0.0020257498,3.2422141e-06
0.0025739895,7.509841e-06
0.0031400454,1.5036281e-05
0.0037244966,2.7183684e-05
0.0043279408,4.5594976e-05
0.0049509953,7.2218093e-05
0.0055942973,0.00010932195
0.0062585048,0.00015949434
0.0069442972,0.00022560815
0.007652376,0.00031073793
0.0083834654,0.00041800778
0.0091383131,0.00055035612
0.0099176913,0.00071021936
0.010722397,0.00089916755
0.011553254,0.0011175631
0.012411111,0.0013643428
0.013296846,0.0016370132
0.014211364,0.0019318951
0.015155603,0.0022445635
0.016130526,0.0025703663
0.017137132,0.0029048903
0.018176449,0.0032442882
0.019249542,0.0035854415
0.020357507,0.0039259852
0.021501477,0.0042642406
0.022682624,0.0045991031
0.023902154,0.0049299191
0.025161316,0.0052563727
0.026461397,0.00557839
0.027803728,0.0058960646
0.02918968,0.0062096008
0.030620672,0.006519273
0.032098167,0.0068253965
0.033623676,0.0071283074
0.03519876,0.0074283489
0.03682503,0.007725863
0.03850415,0.0080211841
0.040237836,0.0083146365
0.042027862,0.0086065319
0.043876059,0.0088971693
0.045784317,0.0091868347
0.047754588,0.0094758012
0.049788888,0.0097643304
0.051889297,0.010052673
0.054057963,0.010341068
0.056297104,0.010629748
0.058609012,0.010918934
0.06099605,0.011208844
0.06346066,0.011499686
0.066005363,0.011791665
0.068632762,0.012084978
0.071345544,0.012379821
0.074146484,0.012676387
0.077038447,0.012974865
0.08002439,0.013275442
0.083107369,0.013578306
0.086290535,0.013883642
0.089577146,0.014191637
0.092970562,0.014502479
0.096474255,0.014816356
0.10009181,0.015133457
0.10382692,0.015453975
0.10768342,0.015778101
0.11166524,0.016106033
0.11577645,0.016437969
0.12002127,0.016774112
0.12440404,0.017114668
0.12892923,0.017459849
0.13360148,0.017809869
0.13842557,0.018164947
0.14340642,0.018525307
0.14854914,0.018891178
0.15385898,0.019262795
0.15934138,0.019640396
0.16500194,0.020024225
0.17084645,0.020414533
0.17688089,0.020811574
0.18311143,0.021215605
0.18954445,0.021626889
0.19618653,0.022045694
0.20304445,0.022472287
0.21012524,0.022906939
