y,U_0,U_1,U_2
0.44812903,0,0,0
0.44889212,0.0065225606,0.0050548022,-0.0014409494
0.44970101,0.013263513,0.010274264,-0.002918807
0.45055843,0.02033269,0.015721224,-0.004453483
0.45146729,0.027736864,0.02140229,-0.0060438398
0.45243069,0.035482389,0.027320186,-0.0076875061
0.45345189,0.043570594,0.033472433,-0.0093799328
0.45453435,0.051989996,0.039846063,-0.011112647
0.45568175,0.060702444,0.046407346,-0.01287037
0.45689799,0.069622233,0.05308569,-0.014627056
0.45818719,0.078592909,0.05975588,-0.016342322
0.45955373,0.087379088,0.066232192,-0.017962089
0.46100224,0.095698734,0.072294007,-0.019427953
0.46253763,0.10330023,0.077745826,-0.020694238
0.46416512,0.11004136,0.082478085,-0.021742384
0.46589022,0.11591446,0.086485773,-0.022582293
0.46771878,0.12101116,0.089840423,-0.023241967
0.469657,0.12546661,0.092646637,-0.023754991
0.47171146,0.12941793,0.095009906,-0.024152457
0.47388911,0.13298453,0.09702145,-0.024459832
0.47619733,0.13626329,0.098754532,-0.024696771
0.47864395,0.13933047,0.100266,-0.024878035
0.48123725,0.14224569,0.1015994,-0.025014615
0.48398601,0.14505581,0.102788,-0.025114708
0.48689955,0.14779818,0.10385735,-0.025184464
0.48998772,0.15050311,0.1048272,-0.025228534
0.49326098,0.15319576,0.10571291,-0.025250467
0.49673041,0.15589748,0.10652654,-0.025252988
0.50040773,0.15862682,0.10727762,-0.025238207
0.50430538,0.16140033,0.10797367,-0.025207761
0.50843655,0.16423307,0.10862063,-0.025162922
0.51281518,0.16713907,0.10922321,-0.025104671
0.51745609,0.17013172,0.10978506,-0.025033762
0.52237492,0.17322395,0.11030896,-0.02495076
0.52758831,0.17642854,0.11079693,-0.024856074
0.53311382,0.17975826,0.11125036,-0.024749985
0.53897011,0.18322605,0.11167001,-0.024632659
0.54517693,0.18684517,0.11205611,-0.024504164
0.55175517,0.19062933,0.11240834,-0.024364478
0.55872701,0.19459281,0.11272588,-0.024213498
0.56611591,0.19875064,0.11300741,-0.024051044
0.57394674,0.20311859,0.11325112,-0.023876917
0.58224582,0.20771366,0.11345431,-0.023690869
0.59104105,0.21255487,0.11361253,-0.023492385
0.60036195,0.21766133,0.11372319,-0.023281003
0.61023982,0.22306165,0.11379515,-0.023055234
0.62070778,0.22883184,0.11384914,-0.022810329
0.6318009,0.23508778,0.11391123,-0.022539039
0.64355631,0.24191982,0.1140063,-0.022235684
0.65601336,0.24938784,0.11414593,-0.021897001
0.66921366,0.25755238,0.11432844,-0.021520372
0.68320129,0.26647815,0.11454985,-0.021103285
0.69802291,0.2762318,0.11480537,-0.020643455
0.7137279,0.28688179,0.11508777,-0.020138964
0.73036852,0.29849807,0.11538668,-0.01958837
0.74800009,0.31115098,0.11568848,-0.01899085
0.76668116,0.32491,0.11597618,-0.01834635
0.78647365,0.3398423,0.11622925,-0.017655736
0.80744311,0.35601113,0.11642372,-0.016920939
0.82965885,0.37347416,0.11653235,-0.016145062
0.85319423,0.3922815,0.11652495,-0.015332466
0.8781268,0.41247364,0.11636926,-0.014488776
0.90453861,0.43408016,0.11603229,-0.013620762
0.9325164,0.4571203,0.11548119,-0.012736106
0.96215191,0.48159705,0.1146844,-0.011843368
0.99354209,0.50748348,0.11361212,-0.010952076
1.0138329,0.5241223,0.11277709,-0.010427263
1.0267912,0.53473154,0.112236,-0.01007195
1.0620088,0.56326085,0.11053183,-0.0092126189
1.0993064,0.59294179,0.10849054,-0.0083835114
1.138805,0.62363091,0.10611077,-0.0075922559
1.1806323,0.65514742,0.10340036,-0.0068449609
1.2249235,0.68726961,0.10037507,-0.0061459233
1.2718209,0.71973486,0.0970559,-0.0054974098
1.3214753,0.7522431,0.093465945,-0.0048995537
1.3740454,0.78446623,0.089627033,-0.0043504094
1.4296992,0.81606526,0.085557095,-0.0038461663
1.4886137,0.84671648,0.081269672,-0.0033815342
1.5509759,0.87614556,0.076776897,-0.0029502884
1.6169829,0.90416703,0.07208595,-0.0025458155
1.6868429,0.93070535,0.067229317,-0.0021620313
1.7607754,0.9557778,0.062337598,-0.0017937556
1.8345852,0.97852133,0.057747065,-0.0014488642
1.9041045,0.99809053,0.053652992,-0.0011359742
