Points:0	Points:1	abs_DELTA_TAU4	DELTA_TAU4
9.0	3.036	0.0	0.0
8.90909	3.036	0.0	0.0
8.81818	3.036	0.0	0.0
8.72727	3.036	0.0	0.0
8.63636	3.036	0.0	0.0
8.54545	3.036	0.0	0.0
8.45455	3.036	0.0	0.0
8.36364	3.036	0.0	0.0
8.27273	3.036	0.0	0.0
8.18182	3.036	0.0	0.0
8.09091	3.036	0.0	0.0
8.0	3.036	0.0	0.0
7.90909	3.036	0.0	0.0
7.81818	3.036	0.0	0.0
7.72727	3.036	0.0	0.0
7.63636	3.036	0.0	0.0
7.54545	3.036	0.0	0.0
7.45455	3.036	0.0	0.0
7.36364	3.036	0.0	0.0
7.27273	3.036	0.0	0.0
7.18182	3.036	0.0	0.0
7.09091	3.036	0.0	0.0
7.0	3.036	0.0	0.0
6.90909	3.036	0.0	0.0
6.81818	3.036	0.0	0.0
6.72727	3.036	0.0	0.0
6.63636	3.036	0.0	0.0
6.54545	3.036	0.0	0.0
6.45455	3.036	0.0	0.0
6.36364	3.036	0.0	0.0
6.27273	3.036	0.0	0.0
6.18182	3.036	0.0	0.0
6.09091	3.036	0.0	0.0
6.0	3.036	0.0	0.0
5.90909	3.036	0.0	0.0
5.81818	3.036	0.0	0.0
5.72727	3.036	0.0	0.0
5.63636	3.036	0.0	0.0
5.54545	3.036	0.0	0.0
5.45455	3.036	0.0	0.0
5.36364	3.036	0.0	0.0
5.27273	3.036	0.0	0.0
5.18182	3.036	0.0	0.0
5.09091	3.036	0.0	0.0
5.0	3.036	0.0	0.0
4.90909	3.036	0.0	0.0
4.81818	3.036	0.0	0.0
4.72727	3.036	0.0	0.0
4.63636	3.036	0.0	0.0
4.54545	3.036	0.0	0.0
4.45455	3.036	0.0	0.0
4.36364	3.036	0.0	0.0
4.27273	3.036	0.0	0.0
4.18182	3.036	0.0	0.0
4.09091	3.036	0.0	0.0
4.0	3.036	0.0	0.0
3.90909	3.036	0.0	0.0
3.81818	3.036	0.0	0.0
3.72727	3.036	0.0	0.0
3.63636	3.036	0.0	0.0
3.54545	3.036	0.0	0.0
3.45455	3.036	0.0	0.0
3.36364	3.036	0.0	0.0
3.27273	3.036	0.0	0.0
3.18182	3.036	0.0	0.0
3.09091	3.036	0.0	0.0
3.0	3.036	0.0	0.0
2.90909	3.036	0.0	0.0
2.81818	3.036	0.0	0.0
2.72727	3.036	0.0	0.0
2.63636	3.036	0.0	0.0
2.54545	3.036	0.0	0.0
2.45455	3.036	0.0	0.0
2.36364	3.036	0.0	0.0
2.27273	3.036	0.0	0.0
2.18182	3.036	0.0	0.0
2.09091	3.036	0.0	0.0
2.0	3.036	0.0	0.0
1.90909	3.036	0.0	0.0
1.81818	3.036	0.0	0.0
1.72727	3.036	0.0	0.0
1.63636	3.036	0.0	0.0
1.54545	3.036	0.0	0.0
1.45455	3.036	0.0	0.0
1.36364	3.036	0.0	0.0
1.27273	3.036	0.0	0.0
1.18182	3.036	0.0	0.0
1.09091	3.036	0.0	0.0
1.0	3.036	0.0	0.0
0.909091	3.036	0.0	0.0
0.818182	3.036	0.0	0.0
0.727273	3.036	0.0	0.0
0.636364	3.036	0.0	0.0
0.545455	3.036	0.0	0.0
0.454545	3.036	0.0	0.0
0.363636	3.036	0.0	0.0
0.272727	3.036	0.0	0.0
0.181818	3.036	0.0	0.0
0.0909091	3.036	0.0	0.0
0.0	3.036	0.0	0.0
9.0	3.032	1.65365e-33	1.65365e-33
8.90909	3.032	8.41755e-33	8.41755e-33
8.81818	3.032	3.62886e-31	3.62886e-31
8.72727	3.032	2.75002e-30	2.75002e-30
8.63636	3.032	5.73304e-31	5.73304e-31
8.54545	3.032	1.70386e-30	-1.70386e-30
8.45455	3.032	1.19237e-31	1.19237e-31
8.36364	3.032	2.74174e-33	2.74174e-33
8.27273	3.032	1.52604e-29	-1.52604e-29
8.18182	3.032	1.4566e-29	-1.4566e-29
8.09091	3.032	2.58095e-29	2.58095e-29
8.0	3.032	5.6147e-29	5.6147e-29
7.90909	3.032	3.08364e-29	3.08364e-29
7.81818	3.032	4.32658e-29	4.32658e-29
7.72727	3.032	1.60057e-29	-1.60057e-29
7.63636	3.032	5.6065e-29	-5.6065e-29
7.54545	3.032	3.38558e-29	-3.38558e-29
7.45455	3.032	4.5422200000000004e-29	-4.5422200000000004e-29
7.36364	3.032	7.52048e-30	-7.52048e-30
7.27273	3.032	6.912310000000001e-29	-6.912310000000001e-29
7.18182	3.032	6.26157e-30	6.26157e-30
7.09091	3.032	7.58203e-29	7.58203e-29
7.0	3.032	2.1655e-31	-2.1655e-31
6.90909	3.032	5.38843e-34	-5.38843e-34
6.81818	3.032	5.2361e-29	5.2361e-29
6.72727	3.032	5.19647e-29	5.19647e-29
6.63636	3.032	3.98744e-29	3.98744e-29
6.54545	3.032	7.21468e-30	7.21468e-30
6.45455	3.032	3.0923700000000003e-29	3.0923700000000003e-29
6.36364	3.032	7.837670000000001e-29	7.837670000000001e-29
6.27273	3.032	3.30067e-29	3.30067e-29
6.18182	3.032	9.98122e-31	-9.98122e-31
6.09091	3.032	9.86201e-29	-9.86201e-29
6.0	3.032	6.98352e-29	-6.98352e-29
5.90909	3.032	1.14348e-29	-1.14348e-29
5.81818	3.032	2.6596700000000003e-29	-2.6596700000000003e-29
5.72727	3.032	2.8548700000000002e-30	-2.8548700000000002e-30
5.63636	3.032	2.74979e-30	-2.74979e-30
5.54545	3.032	5.86944e-30	-5.86944e-30
5.45455	3.032	2.1998000000000002e-29	2.1998000000000002e-29
5.36364	3.032	2.45349e-29	2.45349e-29
5.27273	3.032	5.457650000000001e-32	-5.457650000000001e-32
5.18182	3.032	2.25744e-30	2.25744e-30
5.09091	3.032	4.7228200000000004e-30	4.7228200000000004e-30
5.0	3.032	1.1704400000000001e-29	-1.1704400000000001e-29
4.90909	3.032	1.08555e-29	-1.08555e-29
