y,k,kMean,pPrime2Mean,kPrime2Mean,nutMean,pMean
1.0002443,1e-10,1e-10,6568322.8,2.1064859e-35,0,-0.036238822
1.0002443,1e-10,1e-10,6568322.8,2.1064859e-35,0,-0.036238822
1.0005678,1.201523e-07,4.3658997e-05,6568281.6,1.3385464e-06,8.4489574e-10,-0.036242936
1.0009018,9.6463264e-07,0.00031630301,6568193.1,5.4278755e-05,1.5904454e-08,-0.036249925
1.0012466,4.0271258e-06,0.0010245265,6568048.3,0.00040473073,9.6686423e-08,-0.036264045
1.0016026,1.1660779e-05,0.0020616977,6567859.3,0.0013143585,3.1668644e-07,-0.036301823
1.0019702,2.6992207e-05,0.0031827288,6567635,0.0027671458,7.2210155e-07,-0.036377411
1.0023498,5.3931039e-05,0.0042948404,6567373.7,0.0046434991,1.3157851e-06,-0.036489905
1.0027416,9.7210654e-05,0.0053970461,6567073.7,0.0069027174,2.0827989e-06,-0.036605041
1.0031463,0.00016241655,0.0065062759,6566731.2,0.0095637103,3.0148877e-06,-0.036696324
1.003564,0.0002559656,0.0076281522,6566341.9,0.012557586,4.1340949e-06,-0.036739059
1.0039954,0.00038498862,0.0087429301,6565902.5,0.01559506,5.5239222e-06,-0.036712368
1.0044407,0.00055705349,0.0098490711,6565410,0.018613924,7.2929102e-06,-0.036696197
1.0049006,0.00077966062,0.01097718,6564860.5,0.021849785,9.5579177e-06,-0.036775892
1.0053753,0.0010594666,0.012126916,6564248.1,0.025125306,1.249111e-05,-0.03689548
1.0058655,0.001401267,0.013267537,6563565,0.028063327,1.6283136e-05,-0.036987162
1.0063717,0.0018068971,0.014378119,6562802.4,0.030519198,2.1085457e-05,-0.037029988
1.0068943,0.0022743436,0.015473964,6561953.6,0.032633231,2.7030567e-05,-0.037049852
1.0074338,0.0027974194,0.016580912,6561011.9,0.034692911,3.4253475e-05,-0.036982286
1.0079909,0.0033662183,0.017696782,6559970.6,0.036758744,4.2908348e-05,-0.036675838
1.0085661,0.0039682618,0.018815102,6558822.6,0.038780542,5.3078348e-05,-0.036164143
1.00916,0.0045900835,0.019928623,6557559.8,0.040734049,6.463518e-05,-0.035655794
1.0097732,0.0052187763,0.021022201,6556173.4,0.042645559,7.7600602e-05,-0.035271386
1.0104064,0.0058430605,0.0220792,6554654.1,0.04455844,9.2091266e-05,-0.035007823
1.0110601,0.0064539229,0.02309779,6552991.9,0.046492346,0.00010806036,-0.034849462
1.011735,0.0070448079,0.024089899,6551176.2,0.048487519,0.00012542407,-0.034643456
1.0124319,0.0076113959,0.025053855,6549195.6,0.050516724,0.0001440674,-0.034234805
1.0131514,0.008151265,0.025985144,6547037.9,0.052547883,0.00016399621,-0.033667594
1.0138943,0.008663547,0.026885597,6544689.7,0.05458783,0.00018518853,-0.033063159
1.0146613,0.0091486361,0.027744624,6542136.9,0.056538826,0.0002075945,-0.03249933
1.0154533,0.0096079585,0.028552783,6539364.4,0.058321173,0.00023142168,-0.031996542
1.016271,0.010043742,0.029323644,6536356.1,0.060038199,0.00025671398,-0.031531309
1.0171153,0.010458788,0.030071939,6533094.8,0.061795082,0.00028323683,-0.031151987
1.017987,0.01085628,0.030797453,6529561.9,0.063596266,0.00031092799,-0.030918019
1.0188871,0.01123964,0.031489722,6525737.8,0.065353773,0.00034020245,-0.030743317
1.0198164,0.011612441,0.032138948,6521601.5,0.066948034,0.00037124217,-0.030531099
1.0207759,0.011978364,0.032750729,6517130.9,0.0683773,0.00040404623,-0.030271015
1.0217666,0.012341197,0.033338239,6512302.3,0.069719916,0.00043870923,-0.029991488
1.0227894,0.012704773,0.033911432,6507090.4,0.071028976,0.00047534432,-0.029771258
1.0238456,0.013072852,0.034474904,6501468.4,0.072310711,0.00051358331,-0.029649895
1.024936,0.013449026,0.035028549,6495407.7,0.073553234,0.00055336558,-0.029581965
1.0260619,0.013836674,0.03557342,6488877.9,0.074775933,0.00059540596,-0.029540245
1.0272243,0.014238909,0.03611632,6481846.8,0.076031556,0.00063995661,-0.029525364
1.0284246,0.014658508,0.036661505,6474280.2,0.07733216,0.00068677991,-0.029577821
1.0296638,0.01509787,0.037209997,6466141.5,0.078666554,0.00073565675,-0.029732007
1.0309433,0.015558984,0.037762899,6457392.1,0.080036255,0.00078706362,-0.029932929
1.0322644,0.016043426,0.038319703,6447991.2,0.081445244,0.00084123955,-0.030119641
1.0336284,0.016552384,0.038880275,6437895.2,0.082894335,0.00089822553,-0.030320628
1.0350368,0.017086692,0.039444936,6427058.3,0.084366831,0.00095822642,-0.030544047
1.0364909,0.017646864,0.040012274,6415431.7,0.085840671,0.0010210727,-0.030738781
1.0379923,0.018233102,0.040581573,6402963.8,0.087301124,0.0010875775,-0.030945809
1.0395424,0.018845311,0.04115269,6389600.6,0.088735342,0.0011579768,-0.031248025
1.041143,0.019483097,0.041724684,6375284.4,0.09013376,0.0012318366,-0.031680067
1.0427955,0.020145782,0.042297748,6359954.9,0.09149158,0.0013090956,-0.032193987
1.0445018,0.020832429,0.042871308,6343548.3,0.092796544,0.0013901363,-0.032675869
1.0462635,0.021541873,0.043444017,6325997.6,0.094034115,0.0014766022,-0.033053081
1.0480825,0.022272739,0.044014361,6307232.3,0.095189021,0.0015685848,-0.033305147
1.0499605,0.023023458,0.044580609,6287178.5,0.096242144,0.0016650775,-0.033452425
1.0518996,0.023792271,0.045141269,6265758.8,0.097177383,0.0017664652,-0.033532352
1.0539017,0.024577282,0.045695618,6242892.1,0.097983435,0.0018739746,-0.033552382
1.0559689,0.025376498,0.046242709,6218493.5,0.09864253,0.0019883526,-0.033501725
1.0581033,0.026187838,0.04678055,6192474.8,0.099132512,0.0021097799,-0.033407966
1.060307,0.027009149,0.047307247,6164744,0.099435533,0.0022384803,-0.03332162
1.0625823,0.027838209,0.047820795,6135205.6,0.099534235,0.0023743809,-0.033272905
1.0649316,0.028672727,0.048319011,6103760.8,0.099410977,0.0025179574,-0.033269614
1.0673572,0.029510397,0.048799903,6070307.5,0.099050228,0.0026700902,-0.033300567
1.0698616,0.030348925,0.049261237,6034740.1,0.098437088,0.0028311046,-0.033346777
1.0724475,0.031186049,0.049700825,5996950.4,0.097557567,0.0030007141,-0.033384767
1.0751173,0.03201957,0.050116757,5956827.5,0.096399481,0.0031793892,-0.033396869
1.077874,0.032847355,0.050506983,5914258.3,0.094952421,0.0033683687,-0.033376066
1.0807202,0.033667326,0.050869314,5869127.6,0.093208576,0.0035682498,-0.033321391
1.0836589,0.034477479,0.051201609,5821318.8,0.091163355,0.0037793388,-0.033235865
1.0866931,0.035275908,0.051501906,5770714.5,0.08881533,0.0040021317,-0.033121358
1.0898259,0.036060815,0.051768526,5717197,0.086166484,0.0042372073,-0.03297677
1.0930605,0.036830514,0.052,5660649.3,0.083222769,0.0044851628,-0.032799599
1.0964002,0.037583441,0.052194842,5600955.7,0.079994014,0.004747612,-0.032590728
1.0998485,0.038318158,0.052351759,5538003.1,0.076494528,0.0050253874,-0.032356407
1.1034088,0.03903336,0.052469793,5471681.1,0.072743473,0.0053170194,-0.032104124
