y,U_0,U_1,U_2,UMean_0,UMean_1,UMean_2
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.00048240845,-0.0055159323,5.8138333e-06,2.2241207e-26,-0.0051771319,3.6460375e-06,1.555341e-25
0.00098049384,-0.011148692,1.7274098e-05,1.3504684e-26,-0.010473034,1.2866608e-05,1.6105857e-25
0.0014947656,-0.016941407,3.5201214e-05,-1.0055944e-28,-0.015928181,2.8377374e-05,-4.2159983e-28
0.0020257498,-0.022895635,6.0734103e-05,1.952711e-26,-0.021545588,5.090001e-05,5.9017644e-26
0.0025739895,-0.029013526,9.4279136e-05,2.2385292e-26,-0.027329144,8.0667778e-05,2.6117359e-25
0.0031400454,-0.035297115,0.00013640148,4.2378035e-27,-0.03328233,0.00011810511,2.7330532e-25
0.0037244966,-0.041748097,0.00018759582,2.896875e-26,-0.039407915,0.00016360162,2.8472665e-25
0.0043279408,-0.048367504,0.00024830189,5.0024885e-27,-0.045707484,0.00021753345,1.9020442e-26
0.0049509953,-0.055155234,0.00031895879,-1.6838794e-26,-0.052180773,0.00028026934,-1.3526965e-25
0.0055942973,-0.062109408,0.00040001578,9.624847e-27,-0.058824743,0.00035215324,1.2857786e-26
0.0062585048,-0.069225505,0.00049185449,3.9140352e-26,-0.065632389,0.00043349331,2.7276607e-25
0.0069442972,-0.076495269,0.0005947493,3.4343575e-26,-0.072591311,0.00052453832,2.5244828e-25
0.007652376,-0.083905343,0.00070896981,3.1079149e-27,-0.079682151,0.00062546592,1.360454e-25
0.0083834654,-0.091435657,0.00083473897,3.1076928e-27,-0.08687715,0.00073634924,1.3595277e-25
0.0091383131,-0.099057689,0.0009721421,3.8929814e-31,-0.094139118,0.00085712228,3.3417768e-28
0.0099176913,-0.10673292,0.0011211011,-5.2298102e-26,-0.10142122,0.00098751893,-2.7385115e-25
0.010722397,-0.11441187,0.0012812839,-5.9605134e-26,-0.10866785,0.0011270782,-2.6304188e-25
0.011553254,-0.12203413,0.0014521168,-5.805661e-26,-0.11581671,0.0012751358,-2.4253419e-25
0.012411111,-0.12953008,0.0016328152,-5.0623369e-26,-0.12280191,0.0014308392,-2.5319131e-25
0.013296846,-0.13682429,0.0018222749,-7.2603216e-27,-0.12955784,0.0015932325,-2.1596519e-25
0.014211364,-0.14384065,0.0020191308,4.01783e-26,-0.13602331,0.0017613382,3.6124628e-26
0.015155603,-0.15050837,0.002221923,4.7055741e-26,-0.14214539,0.0019340971,2.1429471e-25
0.016130526,-0.15676783,0.0024291809,-4.4361486e-27,-0.14788262,0.0021103332,-4.0848123e-26
0.017137132,-0.16257494,0.0026395206,-5.3724412e-26,-0.15320688,0.0022889117,-3.0132131e-25
0.018176449,-0.16790355,0.0028517156,-3.3756503e-26,-0.15810401,0.0024688328,5.5086571e-26
0.019249542,-0.17274528,0.0030647322,1.5783022e-26,-0.16257292,0.0026492536,3.5280637e-25
0.020357507,-0.17710754,0.0032777446,1.4868317e-26,-0.16662368,0.0028294882,2.519155e-25
0.021501477,-0.18101035,0.003490126,1.1044715e-26,-0.17027502,0.0030090125,2.2085486e-25
0.022682624,-0.18448249,0.0037014394,-6.9579083e-26,-0.1735515,0.0031874634,-2.4898368e-25
0.023902154,-0.18755778,0.0039114231,-6.5673429e-26,-0.17648097,0.0033646137,-2.1800526e-25
0.025161316,-0.19027207,0.0041199594,4.6809123e-26,-0.17909247,0.003540354,3.814813e-26
0.026461397,-0.19266103,0.0043270482,5.8984778e-26,-0.18141468,0.0037146713,1.437565e-25
0.027803728,-0.19475866,0.0045327812,-5.4249966e-28,-0.18347497,0.0038876232,-7.3524516e-26
0.02918968,-0.19659636,0.0047373106,-1.299585e-26,-0.18529875,0.0040593083,-1.8035954e-25
0.030620672,-0.19820254,0.0049408179,2.8564258e-31,-0.18690914,0.0042298682,5.0267242e-29
0.032098167,-0.19960245,0.0051435212,0,-0.18832696,0.0043994804,0
0.033623676,-0.20081822,0.0053456656,5.5891633e-27,-0.1895707,0.0045683171,-1.1371177e-26
0.03519876,-0.20186915,0.0055474781,5.1317616e-27,-0.19065669,0.0047365653,-5.3870161e-26
0.03682503,-0.20277196,0.0057491981,9.7903538e-26,-0.1915993,0.0049044125,3.7568925e-25
0.03850415,-0.20354109,0.0059510484,1.7845012e-25,-0.19241113,0.00507203,5.7902131e-25
0.040237836,-0.20418901,0.0061531292,8.0082565e-26,-0.19310317,0.0052395841,1.6026412e-25
0.042027862,-0.20472647,0.0063555225,0,-0.19368505,0.0054072282,0
0.043876059,-0.2051627,0.0065583566,-7.3457441e-31,-0.19416517,0.0055751028,-6.2540406e-29
0.045784317,-0.20550568,0.0067617508,5.374586e-31,-0.19455082,0.005743336,3.3988647e-30
0.047754588,-0.20576223,0.0069658564,1.8442158e-27,-0.19484834,0.0059120528,-6.9797838e-26
0.049788888,-0.20593823,0.0071708698,6.2308508e-26,-0.1950632,0.0060813564,7.1284271e-26
0.051889297,-0.20603871,0.0073769839,1.6658601e-25,-0.19520015,0.0062513334,5.7969452e-25
0.054057963,-0.20606801,0.0075842667,9.5328773e-26,-0.19526327,0.0064220541,4.5869772e-25
0.056297104,-0.20602981,0.0077926932,-1.1006379e-25,-0.19525608,0.0065935747,-2.7367995e-25
0.058609012,-0.20592726,0.0080022502,-9.9898518e-26,-0.19518157,0.0067659496,-2.5581901e-26
0.06099605,-0.20576302,0.0082128882,-1.2076602e-27,-0.19504229,0.0069392122,2.6461102e-25
0.06346066,-0.2055393,0.0084245534,9.8900696e-27,-0.1948404,0.0071133774,2.4550095e-25
0.066005363,-0.20525799,0.0086373345,9.8251213e-27,-0.19457768,0.0072884518,2.4467167e-25
0.068632762,-0.20492073,0.0088512725,-7.1193589e-27,-0.19425558,0.0074644233,-2.3230902e-25
0.071345544,-0.20452886,0.0090661685,-7.0639061e-27,-0.19387527,0.0076412645,-2.3118885e-25
0.074146484,-0.20408342,0.0092818984,-1.8051713e-26,-0.19343764,0.0078189408,-2.5512268e-25
0.077038447,-0.20358515,0.0094984571,-1.8200322e-26,-0.19294333,0.0079973984,-2.5548125e-25
0.08002439,-0.20303454,0.0097157642,1.3457225e-25,-0.19239273,0.0081765655,6.1365529e-26
0.083107369,-0.2024318,0.0099336128,1.2978614e-25,-0.19178604,0.0083563518,4.8277598e-25
0.086290535,-0.20177704,0.010151799,-2.9194784e-26,-0.19112322,0.0085366513,3.0840853e-25
0.089577146,-0.20107026,0.010370248,2.2398893e-27,-0.19040406,0.0087173383,-7.6060483e-25
0.092970562,-0.20031122,0.010588844,1.3807826e-25,-0.18962814,0.0088982693,-1.9696384e-25
0.096474255,-0.19949955,0.01080757,1.323348e-25,-0.18879486,0.0090792815,2.0548361e-25
0.10009181,-0.19863469,0.011026168,2.3409461e-26,-0.18790344,0.0092601935,-2.4331994e-25
0.10382692,-0.19771583,0.011244073,-6.6005018e-26,-0.18695291,0.0094408003,6.0651995e-25
0.10768342,-0.19674212,0.011461036,-7.16355e-26,-0.18594213,0.0096208761,4.8389456e-25
0.11166523,-0.19571263,0.011676854,1.1264677e-25,-0.1848698,0.009800175,-6.620011e-26
0.11577645,-0.19462621,0.011891178,1.3376355e-25,-0.1837344,0.0099784262,5.7130748e-25
