y,U_0,U_1,U_2,UMean_0,UMean_1,UMean_2
0.44811093,0,0,0,0,0,0
0.44832402,-2.5942969e-05,5.6811276e-06,1.5914226e-20,5.3101427e-06,6.2978172e-05,4.0139069e-21
0.44854057,-3.3347858e-05,7.2498966e-06,1.3019731e-20,-5.8619414e-05,0.00012714857,8.4980323e-23
0.44876059,-3.3031759e-05,4.7643813e-06,-3.8261616e-20,-0.00013808631,0.00019312402,-4.2979741e-21
0.44898414,-2.8800753e-05,-2.0817399e-06,2.8151082e-20,-0.00021735857,0.00025748436,6.4853955e-21
0.44921128,-2.0363935e-05,-1.311971e-05,3.0894656e-20,-0.00029561909,0.0003210953,1.1728096e-21
0.44944207,-7.6474785e-06,-2.8457277e-05,-1.7121138e-20,-0.00037276522,0.00038389237,-3.0473152e-21
0.44967656,9.4274667e-06,-4.8192019e-05,-3.2556821e-20,-0.00044869266,0.00044580042,-1.76029e-21
0.44991482,3.0938804e-05,-7.241839e-05,-1.2522073e-20,-0.00052329432,0.00050673582,3.7495599e-22
0.45015691,5.6963031e-05,-0.00010122813,6.3349465e-20,-0.00059645699,0.00056661145,4.6778771e-21
0.45040288,8.7573408e-05,-0.00013471184,2.9940223e-20,-0.0006680613,0.00062533668,9.6927109e-21
0.4506528,0.0001228393,-0.00017295907,2.9573811e-20,-0.0007379829,0.00068281789,9.9242688e-21
0.45090673,0.00016282663,-0.00021605719,3.3591371e-20,-0.00080609198,0.00073895844,-3.2954511e-21
0.45116474,0.00020759781,-0.0002640911,-9.5851383e-20,-0.00087225329,0.00079365643,-2.217802e-20
0.4514269,0.00025721122,-0.00031714287,-3.5021497e-20,-0.00093632623,0.0008468063,-5.1495901e-21
0.45169326,0.000311721,-0.00037529161,5.4423339e-21,-0.00099816525,0.00089829986,5.4437384e-21
0.4519639,0.00037117641,-0.00043861327,1.3542486e-20,-0.0010576205,0.00094802465,7.0756339e-21
0.45223888,0.00043562195,-0.00050718065,5.0352401e-20,-0.0011145377,0.00099586562,9.8427609e-21
0.45251828,0.00050509694,-0.0005810627,-3.3576692e-20,-0.0011687594,0.001041705,-9.009235e-21
0.45280216,0.00057963475,-0.00066032438,-2.7890235e-20,-0.0012201249,0.0010854229,-1.984848e-21
0.4530906,0.00065926269,-0.0007450263,2.3640495e-20,-0.0012684705,0.0011268987,5.4394123e-21
0.45338368,0.00074400173,-0.00083522452,2.5408309e-20,-0.0013136305,0.0011660092,-9.1187131e-22
0.45368145,0.00083386583,-0.00093096998,-1.6682472e-20,-0.0013554378,0.0012026309,-1.0101757e-21
0.45398401,0.00092886167,-0.0010323084,-1.8817511e-20,-0.001393725,0.00123664,2.332117e-21
0.45429143,0.0010289885,-0.0011392799,-4.1123948e-20,-0.001428325,0.0012679133,-8.1145936e-21
0.45460378,0.0011342373,-0.0012519185,-5.4241771e-20,-0.0014590715,0.0012963288,-1.4040538e-20
0.45492114,0.0012445903,-0.0013702518,8.6138339e-20,-0.0014858001,0.0013217664,1.4630767e-20
0.4552436,0.001360021,-0.0014943008,8.8600831e-20,-0.0015083501,0.0013441093,9.8684898e-21
0.45557124,0.0014804936,-0.0016240794,-1.5075516e-20,-0.0015265649,0.0013632433,-2.4516657e-21
0.45590413,0.0016059619,-0.0017595937,-3.546409e-20,-0.0015402932,0.0013790594,-2.351836e-21
0.45624237,0.0017363699,-0.0019008422,-4.2468321e-20,-0.0015493902,0.0013914533,-1.1487516e-20
0.45658604,0.0018716505,-0.002047815,1.0303249e-19,-0.0015537187,0.0014003267,1.4116341e-20
