x,wallShearStress_0,wallShearStress_1,wallShearStress_2
0.025867183,-0.0040155388,-5.9147613e-06,2.7811111e-21
0.095543034,-0.0049008587,8.3140817e-05,2.5682242e-21
0.12328439,-0.0051267897,0.00018366061,9.1450829e-21
0.15194195,-0.0051127457,0.00029237105,7.2774999e-21
0.21062418,-0.0035029459,0.00044598994,-8.9560526e-20
0.24108689,-0.0023784582,0.00041193011,-1.8170119e-19
0.25540541,-0.001677124,0.00028408488,-1.5371525e-19
0.26969801,-0.00097705948,0.0001564711,-1.2577997e-19
0.31282512,0.00078096179,-0.0003612948,7.3702004e-21
0.36595983,0.0018979415,-0.00095326406,2.2187204e-19
0.43377139,0.0017827353,-0.0011345078,-3.8069102e-20
0.53523828,0.0012997103,-0.0010181864,-4.9223765e-19
0.67276172,0.00092506354,-0.00078440442,-7.6526483e-20
0.79640239,0.00073279177,-0.0005977821,1.4377709e-19
0.9934234,0.00071385322,-0.00055403575,2.824304e-20
1.1902548,0.00087589631,-0.00064830592,1.3364537e-19
1.3312855,0.00095320477,-0.00062402585,1.5556742e-20
1.5256354,0.00096903445,-0.00044256629,5.3226953e-21
1.6801984,0.00095048164,-0.00027047149,-9.778286e-20
1.8216544,0.00091183989,-0.00011282674,-3.1422805e-20
1.8644841,0.00091961393,-6.859176e-05,-3.1674817e-20
1.9209813,0.0010632343,-2.1925709e-05,-1.3254075e-21
2.01948,0.0014655399,-1.8227967e-06,2.2572609e-24
2.08992,0.0016357748,-1.429738e-06,-1.4262645e-24
2.18839,0.001781989,-1.152505e-06,-3.6538891e-24
2.27274,0.0018542497,-9.9697212e-07,8.6093225e-25
2.37115,0.0018986836,-8.5100583e-07,-5.4363699e-23
2.51158,0.0019070398,-6.7197391e-07,3.3276365e-25
2.69409,0.001848424,-4.5921775e-07,-1.1340561e-23
2.89047,0.0017243282,-2.5437129e-07,2.3305644e-23
3.0589,0.0015845168,-1.0078925e-07,5.4241877e-23
3.25525,0.0013973111,4.8760057e-08,-2.0210335e-25
3.39549,0.0012549814,1.3569267e-07,-1.4684522e-22
3.64782,0.00099392312,2.5329083e-07,1.3613521e-22
3.85813,0.00078068255,3.17933e-07,1.5069186e-25
4.06847,0.00057754529,3.5813428e-07,7.6953195e-23
4.25082,0.0004125053,3.7721388e-07,4.8854159e-27
4.40498,0.00028172451,3.8516177e-07,6.858877e-23
4.69,6.416444e-05,3.7525093e-07,-6.4557579e-23
4.82574,-2.7003348e-05,3.6492091e-07,5.7010615e-23
5.12031,-0.00019946199,3.3796458e-07,-5.8186089e-25
5.41486,-0.0003380822,3.0453982e-07,-1.3943766e-24
5.72352,-0.00044695181,2.6477409e-07,-4.1850597e-23
6.00423,-0.00051174935,2.2422403e-07,-3.3829948e-23
6.38315,-0.00053572221,1.5502538e-07,-1.339694e-17
6.56566,-0.00051096739,1.0389923e-07,-9.2497146e-25
6.77635,-0.00043215525,5.478278e-09,6.8227796e-25
6.93084,-0.00031664056,-1.4198774e-07,-2.8320562e-24
7.01519,-0.00021648015,-4.5742948e-07,1.7625525e-22
7.0574164,-0.00014730425,-1.0649695e-06,8.6840283e-21
7.1140945,-6.4979829e-05,-2.8640717e-06,3.8310326e-20
7.199339,-5.8463416e-05,-9.6060618e-06,-5.0613391e-21
7.3100834,-0.00012936315,-3.7815184e-05,-7.8029208e-20
7.4964281,-0.00035688824,-0.00017572609,-7.2957952e-20
7.6477811,-0.00070772119,-0.00045455095,1.1042607e-19
7.774441,-0.0011661958,-0.00084409783,7.1108948e-20
7.9112787,-0.0017757273,-0.0013525085,-9.3322659e-20
8.0527671,-0.0023521938,-0.0018274379,2.1718935e-19
8.1924628,-0.0030537883,-0.0024692079,-2.0053652e-20
8.2306601,-0.0033161744,-0.0027197203,-9.8587757e-20
8.305346,-0.0040668418,-0.0034211563,-1.1165375e-20
8.3421638,-0.0046073984,-0.0038828064,5.2953323e-20
8.3538795,-0.0047933518,-0.0040370119,5.9815492e-20
8.4281121,-0.0062679082,-0.005074482,-2.7643621e-20
8.4529311,-0.0068916732,-0.0054275976,-2.2528398e-20
8.4915464,-0.0079799266,-0.0059584077,3.3988114e-20
8.5034319,-0.0083337865,-0.0061185411,5.9219796e-20
8.5736343,-0.010893137,-0.0067520556,4.4955641e-20
8.6200319,-0.012654683,-0.0066383744,-5.9654663e-20
8.6895113,-0.013550872,-0.004900539,-6.3685847e-20
8.7257144,-0.012779933,-0.0035792621,-1.0089464e-19
8.758302,-0.011406902,-0.0023901136,-5.0399673e-20
8.7771454,-0.010459581,-0.0018779874,-5.5321532e-20
8.8091369,-0.0088156134,-0.0010611828,-6.9538713e-20
8.8678091,-0.0059582311,-0.00031240977,-1.3075166e-20
8.9095841,-0.0045542707,-6.9112381e-05,3.7713713e-21
8.909824,-0.0045472518,-6.8702248e-05,3.7604711e-21
