y,k
0,1e-10
0.00086769924,6.7084467e-07
0.0017874829,5.5846474e-06
0.0027624773,2.4325809e-05
0.0037959966,7.3702645e-05
0.0048915537,0.0001785944
0.0060528726,0.00037267867
0.0072839007,0.00069690229
0.0085888223,0.0011918275
0.0099720729,0.0018810887
0.011438354,0.0027529384
0.01299265,0.0037582718
0.014640245,0.0048323768
0.016386737,0.0059212717
0.018238064,0.0069926324
0.020200518,0.0080324204
0.022280771,0.0090375308
0.024485892,0.010010132
0.026823378,0.010954459
0.029301173,0.011875251
0.0319277,0.012777088
0.034711887,0.013664143
0.037663197,0.014540132
0.040791661,0.015408336
0.044107915,0.016271661
0.047623229,0.01713269
0.051349553,0.017993743
0.055299553,0.018856921
0.059486654,0.019724152
0.06392509,0.020597223
0.068629948,0.021477809
0.073617218,0.022367499
0.078903853,0.023267815
0.084507823,0.024180229
0.090448176,0.02510618
0.096745104,0.026047086
0.10342001,0.027004352
0.11049558,0.02797938
0.11799587,0.028973577
0.12594638,0.029988359
0.13437411,0.031025155
0.14330773,0.032085411
0.1527776,0.033170583
0.1628159,0.03428214
0.17345677,0.035421555
0.18473635,0.036590291
0.19669301,0.037789793
0.20936737,0.039021453
0.22280253,0.040286592
0.23704414,0.04158641
0.25214061,0.042921939
0.26814327,0.044293968
0.28510649,0.045702956
0.30308795,0.047148922
0.32214876,0.048631297
0.34235371,0.050148752
0.36377149,0.051698973
0.38647488,0.053278393
0.41054106,0.054881863
0.43605183,0.056502265
0.46309391,0.058130046
0.49175922,0.059752699
0.52214518,0.061354163
0.55435509,0.062914182
0.58849842,0.064407659
0.62469124,0.065804062
0.66305656,0.067066974
0.70372479,0.068153905
0.74683417,0.069016554
0.79253123,0.069599562
0.84097128,0.069848623
0.892319,0.069710212
0.9467489,0.069130502
1.004446,0.06806691
1.0656064,0.066493962
1.1304381,0.064409408
1.1668563,0.063047111
1.1991613,0.061839789
1.2720096,0.058842657
1.3492308,0.05550469
1.4310872,0.051937357
1.5178571,0.048304227
1.6046271,0.044859945
1.6864835,0.041785786
1.7637046,0.03908903
1.836553,0.036717064
1.9052762,0.034615117
1.9701079,0.03273512
2.0312683,0.031037598
2.0889654,0.029491291
2.1433953,0.028071943
2.194743,0.026760975
2.2431831,0.02554384
2.2888801,0.024409415
2.3319895,0.023349373
2.3726577,0.022357018
2.411023,0.021427118
2.4472159,0.020555573
2.4813592,0.01973919
2.5135691,0.018975522
2.5439551,0.018262749
2.5726204,0.017599598
2.5826574,0.017371582
2.5996625,0.016985286
2.6251732,0.016419433
2.6492394,0.015902031
2.6719428,0.015433374
2.6933606,0.01501398
2.7135655,0.014644474
2.7326263,0.014325465
2.7506078,0.014057378
2.767571,0.013840268
2.7835737,0.013673626
2.7986701,0.013556184
2.8129118,0.013485761
2.8263469,0.013459163
2.8390213,0.013472139
2.8509779,0.013519562
2.8622575,0.013595551
2.8728984,0.013693647
2.8829367,0.013807199
2.8924066,0.013929643
2.9013402,0.014054763
2.9097679,0.014176901
2.9177184,0.014291112
2.9252187,0.014393229
2.9322943,0.014479877
2.9389692,0.014548433
2.9452661,0.014596945
2.9512065,0.014624027
2.9568104,0.014628757
2.9620971,0.014610551
2.9670843,0.014569002
2.9717892,0.014503822
2.9762276,0.014414761
2.9804147,0.014301444
2.9843647,0.014163297
2.9880911,0.013999449
2.9916064,0.013808622
2.9949226,0.013589019
2.9980511,0.013338184
3.0010024,0.01305285
3.0037866,0.012728742
3.0064131,0.012360353
3.0088909,0.011940684
3.0112284,0.011460951
3.0134335,0.01091032
3.0155138,0.010275772
3.0174762,0.0095423588
3.0193275,0.0086944011
3.021074,0.0077186938
3.0227216,0.0066114962
3.0242759,0.0053911271
3.0257422,0.0041144447
3.0271255,0.0028843391
3.0284304,0.0018254488
3.0296614,0.0010280265
3.0308227,0.00050666913
3.0319183,0.00021174161
3.0329518,7.0206898e-05
3.0339268,1.6138138e-05
3.0348466,1.9389587e-06
3.0357143,1e-10
