y,U_0,U_1,U_2
-2.7950884e-17,0,0,0
0.00086769924,-0.014755626,-2.8392888e-06,-4.7700118e-24
0.0017874829,-0.029597817,-1.4577695e-05,-6.1825884e-24
0.0027624773,-0.0446814,-3.443537e-05,-2.7897341e-24
0.0037959966,-0.05993136,-6.4269666e-05,-1.42903e-24
0.0048915537,-0.07522955,-0.00010564097,-1.6251395e-24
0.0060528726,-0.090368907,-0.00016045934,3.6318934e-24
0.0072839007,-0.1049895,-0.00023098506,4.1900232e-24
0.0085888223,-0.11854931,-0.0003188251,2.3783037e-25
0.0099720729,-0.13043315,-0.00042421987,-3.1637501e-24
0.011438354,-0.14020676,-0.00054739746,-7.5150551e-24
0.01299265,-0.14780587,-0.0006893954,-3.7069524e-24
0.014640245,-0.15348461,-0.00085070198,8.5280869e-25
0.016386737,-0.15762592,-0.0010307594,-4.0821103e-24
0.018238064,-0.16059444,-0.0012289621,-3.6513474e-24
0.020200518,-0.16268004,-0.0014452062,2.3032806e-24
0.022280771,-0.16409546,-0.0016797548,2.9506797e-25
0.024485892,-0.16499206,-0.0019330574,-1.4863679e-26
0.026823378,-0.16547665,-0.0022056949,-9.6498805e-25
0.029301173,-0.16562488,-0.0024983726,-2.6296002e-24
0.0319277,-0.16549068,-0.0028119144,9.8449697e-25
0.034711887,-0.16511273,-0.0031472536,-2.1240069e-24
0.037663197,-0.16451888,-0.0035054255,-1.6288848e-24
0.040791661,-0.16372905,-0.0038875618,-2.4630867e-24
0.044107915,-0.16275731,-0.004294887,-1.0155751e-23
0.047623229,-0.16161325,-0.0047287177,-6.40239e-24
0.051349553,-0.16030296,-0.0051904613,-4.115581e-24
0.055299553,-0.15882971,-0.0056816176,-9.4837925e-26
0.059486654,-0.15719443,-0.0062037795,4.6300463e-24
0.06392509,-0.15539605,-0.0067586351,5.8232204e-24
0.068629948,-0.1534317,-0.00734797,3.9429115e-24
0.073617218,-0.15129689,-0.0079736702,-2.7663263e-24
0.078903853,-0.14898556,-0.0086377242,-2.1304113e-24
0.084507823,-0.14649013,-0.0093422267,5.0838292e-24
0.090448176,-0.14380152,-0.010089381,-3.3661447e-24
0.096745104,-0.14090905,-0.010881501,-1.3943196e-23
0.10342001,-0.13780038,-0.011721017,-1.5227027e-24
0.11049558,-0.13446145,-0.012610471,-1.1335685e-23
0.11799587,-0.13087626,-0.013552529,-1.5699797e-23
0.12594638,-0.12702676,-0.014549971,2.0066309e-23
0.13437411,-0.12289259,-0.015605699,2.160637e-23
0.14330773,-0.11845088,-0.016722732,-1.1871847e-23
0.1527776,-0.11367591,-0.017904206,-1.1001741e-24
0.1628159,-0.10853883,-0.019153369,-1.682574e-24
0.17345677,-0.10300724,-0.020473572,-3.2100143e-23
0.18473635,-0.097044753,-0.021868261,9.4287368e-25
0.19669301,-0.090610525,-0.02334096,7.1700314e-23
0.20936737,-0.083658658,-0.024895249,6.0014729e-23
0.22280253,-0.076137576,-0.026534739,4.0108343e-23
0.23704414,-0.067989312,-0.028263032,5.2351837e-23
0.25214061,-0.059148702,-0.03008366,-1.1286415e-23
0.26814327,-0.049542465,-0.032000005,-4.8882137e-24
0.28510649,-0.039088171,-0.034015255,3.3642536e-23
