y,U_0,U_1,U_2
0.44812952,0,0,0
0.44889266,0.013278539,0.010288016,-1.3349604e-19
0.44970152,0.026875858,0.020841937,-4.3557745e-20
0.45055892,0.041004599,0.031768717,5.9607723e-20
0.45146777,0.055653219,0.04306899,-1.478887e-21
0.45243114,0.070804439,0.054728844,3.0703981e-19
0.45345231,0.086417731,0.066713262,-1.2181644e-19
0.45453475,0.10240107,0.078946181,-3.3135928e-20
0.45568213,0.11856842,0.09127871,2.271508e-19
0.45689834,0.13459699,0.10345646,-1.0309914e-19
0.45818751,0.15002583,0.11511909,3.1816139e-19
0.45955401,0.16434334,0.12586845,3.2419096e-19
0.46100249,0.17714525,0.1353907,-5.2247332e-19
0.46253785,0.18825701,0.14355076,-2.8549436e-19
0.46416529,0.19773759,0.15039483,4.0756872e-19
0.46589035,0.20579291,0.15608298,-5.4364071e-20
0.46771887,0.21267916,0.16081383,-5.5190565e-20
0.46965705,0.21864101,0.16477663,1.6235736e-19
0.47171146,0.22388602,0.1681313,-1.3892625e-21
0.47388905,0.22858039,0.1710053,5.4476203e-20
0.47619722,0.23285393,0.17349743,-3.4655698e-20
0.47864379,0.23680734,0.17568351,-1.4070316e-19
0.48123703,0.24051904,0.17762179,2.7416372e-20
0.48398573,0.24405073,0.17935719,1.3589332e-19
0.4868992,0.24745169,0.18092468,-6.7819519e-20
0.4899873,0.2507619,0.18235173,-6.6975211e-20
0.49326049,0.2540144,0.18366009,-2.9619457e-20
0.49672983,0.25723703,0.18486716,5.2560106e-20
0.50040707,0.2604537,0.18598693,5.3516537e-20
0.50430464,0.26368534,0.18703075,-1.1092749e-19
0.50843572,0.26695065,0.18800784,1.7685236e-20
0.51281426,0.27026663,0.18892572,6.8789051e-20
0.51745505,0.27364903,0.18979047,1.705777e-20
0.52237379,0.27711265,0.19060699,-3.7545287e-20
0.52758706,0.28067164,0.19137917,-1.3132564e-20
0.53311245,0.2843397,0.19210997,4.6257918e-20
0.53896862,0.28813022,0.19280156,-2.4478641e-20
0.5451753,0.29205647,0.19345533,-5.7992222e-20
0.55175341,0.29613171,0.19407196,9.5796339e-21
0.5587251,0.30036923,0.1946514,2.57802e-20
0.56611385,0.3047825,0.19519288,1.0921609e-21
0.57394452,0.30938517,0.19569489,1.1778321e-20
0.58224344,0.31419119,0.19615513,-8.9515127e-21
0.59103849,0.31921478,0.1965705,-2.0550281e-20
0.60035921,0.32447046,0.19693705,6.0061878e-21
0.61023689,0.32997314,0.19724985,-8.325076e-21
0.62070465,0.33573859,0.1975022,4.2714249e-21
0.63179756,0.34178292,0.19768645,5.8057229e-21
0.64355276,0.34812457,0.19780144,1.407814e-20
0.65600958,0.35481383,0.19785761,2.0483088e-20
0.66920964,0.36194614,0.19787259,9.1743534e-22
0.68319703,0.36960813,0.1978614,-2.6692812e-20
0.6980184,0.37785145,0.19782596,-2.525774e-20
0.71372312,0.3867197,0.1977537,2.9312468e-20
0.73036348,0.39625869,0.19762596,1.3159939e-21
0.74799478,0.40651369,0.19742197,1.5091453e-20
0.76667556,0.41752883,0.19711753,2.3505048e-20
0.78646776,0.42934677,0.19668441,-3.7395885e-20
0.80743691,0.44200768,0.19609054,-5.4290712e-21
0.82965235,0.45554793,0.19530033,1.1364951e-20
0.85318741,0.46999877,0.19427507,-1.9281545e-21
0.87811967,0.48538485,0.19297364,-4.4040553e-21
0.90453116,0.50172286,0.19135342,1.4460817e-23
0.93250863,0.51901996,0.18937158,-8.3808932e-21
0.96214382,0.53727245,0.18698657,-6.8612261e-21
0.99353369,0.55646451,0.18416004,7.8726662e-21
1.0139869,0.56883043,0.18213413,2.055717e-21
1.0267827,0.57657975,0.18085415,-1.4802619e-21
1.0620005,0.59758348,0.17703744,-3.0396967e-21
