y,U_0,U_1,U_2
0,0,0,0
0.00086769924,2.0828926e-18,1.2283959e-22,2.6063673e-35
0.0017874829,4.257016e-18,4.7481462e-22,-1.9650343e-36
0.0027624773,6.5562073e-18,1.1206776e-21,-2.2641691e-35
0.0037959966,8.9850614e-18,2.1104944e-21,2.1428891e-35
0.0048915537,1.154829e-17,3.4971707e-21,1.8515168e-35
0.0060528726,1.4250717e-17,5.3439751e-21,-2.7185966e-35
0.0072839007,1.7097282e-17,7.7231015e-21,-1.9224677e-35
0.0085888223,2.0093037e-17,1.0715719e-20,1.7429999e-35
0.0099720729,2.3243149e-17,1.4413047e-20,-1.4611512e-41
0.011438354,2.6552899e-17,1.8917595e-20,-2.1739925e-41
0.01299265,3.0027683e-17,2.4344439e-20,-5.0111993e-42
0.014640245,3.3673011e-17,3.0822614e-20,3.6274407e-42
0.016386737,3.7494507e-17,3.8496651e-20,-2.1804114e-35
0.018238064,4.1497911e-17,4.7528284e-20,-1.7329158e-36
0.020200518,4.5689073e-17,5.8098324e-20,3.6842886e-35
0.022280771,5.0073958e-17,7.0408729e-20,2.5513173e-36
0.024485892,5.4658642e-17,8.4684882e-20,-1.4426274e-35
0.026823378,5.9449308e-17,1.011781e-19,8.3536578e-42
0.029301173,6.4452253e-17,1.2016842e-19,2.0736666e-35
0.0319277,6.9673874e-17,1.4196757e-19,-2.7386784e-35
0.034711887,7.5120679e-17,1.669224e-19,-2.048745e-35
0.037663197,8.0799273e-17,1.9541846e-19,2.7818939e-35
0.040791661,8.6716364e-17,2.2788409e-19,1.110741e-42
0.044107915,9.2878752e-17,2.6479479e-19,7.1215421e-41
0.047623229,9.9293335e-17,3.0667806e-19,-1.4084424e-34
0.051349553,1.0596709e-16,3.541187e-19,8.87348e-35
0.055299553,1.1290709e-16,4.0776457e-19,2.106135e-34
0.059486654,1.2012047e-16,4.6833295e-19,-1.2888685e-34
0.06392509,1.2761446e-16,5.3661737e-19,-6.7605701e-35
0.068629948,1.3539634e-16,6.134951e-19,7.9993722e-35
0.073617218,1.4347344e-16,6.9993537e-19,-2.0775193e-36
0.078903853,1.5185318e-16,7.9700812e-19,4.8718631e-35
0.084507823,1.6054297e-16,9.0589357e-19,-4.8101486e-36
0.090448176,1.695503e-16,1.0278926e-18,-9.4136225e-35
0.096745104,1.7888264e-16,1.1644377e-18,6.5401039e-40
0.10342001,1.8854752e-16,1.317105e-18,4.0021082e-40
0.11049558,1.9855241e-16,1.487627e-18,-7.9244623e-42
0.11799587,2.0890481e-16,1.6779057e-18,6.3638001e-35
0.12594638,2.1961214e-16,1.8900273e-18,-4.3509418e-35
0.13437411,2.3068181e-16,2.1262766e-18,-6.5561305e-35
0.14330773,2.4212112e-16,2.3891526e-18,-2.5812947e-35
0.1527776,2.5393728e-16,2.6813847e-18,-1.9629705e-34
0.1628159,2.6613737e-16,3.005948e-18,8.2450051e-35
0.17345677,2.7872833e-16,3.3660795e-18,2.1253799e-34
0.18473635,2.9171688e-16,3.7652934e-18,4.035834e-35
0.19669301,3.0510952e-16,4.2073953e-18,-1.3650369e-35
0.20936737,3.1891246e-16,4.6964941e-18,-4.2630674e-35
