y,gradU_0,gradU_1,gradU_2,gradU_3,gradU_4,gradU_5,gradU_6,gradU_7,gradU_8
0,-0.00012482631,0,0,1.1524778,0,0,-1.0678934e-21,0,0
0.00086769924,-6.4162639e-05,0,0,0.57623893,0,0,-1.9998437e-16,0,0
0.0017874829,-1.9164519e-19,0,0,-5.0840631e-17,0,0,-1.1673383e-17,0,0
0.0027624773,-1.9549095e-20,0,0,2.6176559e-18,0,0,1.8864549e-16,0,0
0.0037959966,1.7400033e-19,0,0,9.2933756e-17,0,0,-3.07093e-18,0,0
0.0048915537,1.0762305e-18,0,0,4.3289541e-17,0,0,2.8017517e-18,0,0
0.0060528726,1.4008139e-18,0,0,3.8485676e-17,0,0,7.2261342e-17,0,0
0.0072839007,8.3115529e-19,0,0,-9.8179764e-19,0,0,-7.1092834e-17,0,0
0.0085888223,-4.5320799e-19,0,0,-3.7916049e-17,0,0,-6.9342114e-17,0,0
0.0099720729,1.2980809e-18,0,0,6.0948033e-18,0,0,6.7759643e-17,0,0
0.011438354,2.1986124e-18,0,0,6.2321649e-17,0,0,-1.1953164e-16,0,0
0.01299265,9.8407162e-19,0,0,3.0368967e-17,0,0,-7.1141988e-18,0,0
0.014640245,1.6387992e-18,0,0,-2.6998659e-17,0,0,1.1531574e-16,0,0
0.016386737,8.1448866e-19,0,0,2.5293284e-17,0,0,1.6071316e-19,0,0
0.018238064,-4.6644293e-19,0,0,8.6642896e-20,0,0,8.1539881e-17,0,0
0.020200518,2.5086554e-19,0,0,-2.5166449e-17,0,0,4.4334809e-18,0,0
0.022280771,-1.7729112e-19,0,0,4.3486461e-17,0,0,-7.4580307e-17,0,0
0.024485892,-8.7770775e-19,0,0,-1.8662155e-17,0,0,6.0348067e-19,0,0
0.026823378,-6.2405439e-19,0,0,-4.4656772e-17,0,0,-4.2120089e-17,0,0
0.029301173,-1.4543007e-20,0,0,1.9806585e-17,0,0,-6.6677293e-17,0,0
0.0319277,2.4651923e-19,0,0,1.7878449e-17,0,0,9.0333482e-17,0,0
0.034711887,6.5821351e-19,0,0,8.7499689e-19,0,0,6.3841019e-17,0,0
0.037663197,1.0456631e-18,0,0,-1.5425225e-17,0,0,-5.4837867e-17,0,0
0.040791661,-2.987967e-19,0,0,-1.2334439e-18,0,0,-1.972178e-22,0,0
0.044107915,6.033111e-19,0,0,1.290305e-17,0,0,-6.0370293e-22,0,0
0.047623229,1.1143895e-18,0,0,1.1721259e-17,0,0,1.178721e-16,0,0
0.051349553,3.3882424e-20,0,0,-1.1880777e-18,0,0,8.783406e-18,0,0
0.055299553,-1.5504468e-20,0,0,-2.1382205e-17,0,0,-2.8944486e-17,0,0
0.059486654,6.636211e-19,0,0,-1.2349414e-17,0,0,2.534829e-18,0,0
0.06392509,6.1164813e-19,0,0,1.5926171e-18,0,0,-7.6824403e-17,0,0
0.068629948,4.6373318e-19,0,0,-8.1675231e-18,0,0,-2.4067433e-22,0,0
0.073617218,-9.0605554e-19,0,0,-2.0904183e-17,0,0,-5.667919e-22,0,0
0.078903853,-1.9628149e-18,0,0,7.7107376e-18,0,0,3.9654721e-18,0,0
0.084507823,-8.1313757e-19,0,0,1.1976039e-17,0,0,2.8335256e-19,0,0
0.090448176,-8.769029e-19,0,0,-9.7828236e-18,0,0,-4.0793003e-18,0,0
0.096745104,-9.0900664e-19,0,0,7.7458037e-18,0,0,1.5006293e-17,0,0
0.10342001,3.7533288e-19,0,0,1.9041408e-17,0,0,1.0039408e-18,0,0
0.11049558,-6.3528973e-19,0,0,6.5347214e-18,0,0,-1.4173722e-17,0,0
0.11799587,-6.5509688e-19,0,0,1.4488988e-18,0,0,-4.1979394e-17,0,0
0.12594638,2.0406716e-18,0,0,1.6497831e-18,0,0,-2.3370982e-18,0,0
0.13437411,2.1352646e-18,0,0,-6.091103e-18,0,0,3.9444219e-17,0,0
0.14330773,1.0594665e-18,0,0,2.4414381e-18,0,0,1.524691e-22,0,0
0.1527776,6.571163e-19,0,0,-4.9849525e-18,0,0,2.6164653e-22,0,0
0.1628159,3.6071126e-19,0,0,-2.2587372e-19,0,0,7.1119079e-18,0,0
0.17345677,9.757336e-19,0,0,4.6002672e-18,0,0,6.8564364e-18,0,0
0.18473635,1.5968253e-18,0,0,-6.2805667e-18,0,0,-6.447133e-18,0,0
0.19669301,1.4616928e-18,0,0,-4.3257049e-18,0,0,-2.3565183e-17,0,0
0.20936737,9.0751874e-19,0,0,-1.7722404e-18,0,0,-1.2555699e-18,0,0
0.22280253,4.7644838e-19,0,0,-1.2273045e-18,0,0,1.647538e-17,0,0
0.23704414,1.8642672e-20,0,0,1.9444171e-19,0,0,4.6075893e-22,0,0
0.25214061,4.8141646e-19,0,0,9.9633936e-19,0,0,5.4052155e-22,0,0
0.26814327,1.0251012e-18,0,0,2.4142536e-19,0,0,-2.2569091e-22,0,0
0.28510649,1.0678155e-18,0,0,-2.0302005e-18,0,0,-1.4234805e-17,0,0
0.30308795,6.6617618e-19,0,0,-3.2022504e-18,0,0,-6.8814823e-19,0,0
0.32214876,3.8532681e-19,0,0,-4.2502865e-18,0,0,1.3234944e-17,0,0
0.34235371,6.6730497e-19,0,0,1.4051747e-18,0,0,2.0658968e-22,0,0
0.36377149,4.4591678e-19,0,0,-2.4071997e-19,0,0,1.4003681e-21,0,0
0.38647488,-6.8085666e-20,0,0,-3.0858666e-18,0,0,-2.1382712e-17,0,0
0.41054106,5.9520686e-19,0,0,2.9092852e-18,0,0,-1.6114744e-18,0,0
0.43605183,6.5208683e-19,0,0,2.1229921e-18,0,0,7.8611599e-18,0,0
0.46309391,-1.1960172e-19,0,0,-2.8393946e-18,0,0,-1.4005819e-17,0,0
0.49175922,-1.7344054e-19,0,0,-1.6482506e-18,0,0,1.0985274e-17,0,0
0.52214518,-1.5431727e-19,0,0,2.4090346e-18,0,0,1.0065066e-17,0,0
0.55435509,4.3399958e-19,0,0,4.1762634e-18,0,0,-3.027205e-18,0,0
0.58849842,3.1965096e-19,0,0,-1.8500626e-18,0,0,1.8608679e-18,0,0
0.62469124,-1.2761362e-18,0,0,-2.7416539e-18,0,0,9.0864955e-18,0,0
0.66305656,-2.6261743e-18,0,0,-2.1898332e-18,0,0,2.8071053e-20,0,0
0.70372479,-1.6563047e-18,0,0,-2.2123108e-18,0,0,-5.4651006e-18,0,0
