y,U_0,U_1,U_2
0.44812952,0,0,0
0.44889266,0.0075477267,0.0058473167,-1.7532553e-18
0.44970152,0.015319883,0.011869512,1.2072091e-18
0.45055892,0.023441576,0.018134855,-8.2730287e-19
0.45146777,0.031915287,0.024648397,-1.9130148e-18
0.45243114,0.040742942,0.031409986,1.922082e-16
0.45345231,0.049920448,0.038413199,-4.1872645e-17
0.45453475,0.059428973,0.045639575,-6.4115534e-16
0.45568213,0.069219736,0.0530474,1.3721167e-16
0.45689834,0.079191541,0.060554363,4.5797518e-16
0.45818751,0.08916661,0.068019026,-1.2395279e-16
0.45955401,0.098883698,0.075235899,-2.3430423e-16
0.46100249,0.10803515,0.081964683,1.4074798e-17
0.46253785,0.11635088,0.087995586,2.1121339e-16
0.46416529,0.12368246,0.093214128,-2.098017e-20
0.46589035,0.13002852,0.09762006,5.124511e-19
0.46771887,0.13549551,0.10129631,4.4379581e-17
0.46965705,0.14023658,0.10436142,-3.0954389e-17
0.47171146,0.14440605,0.10693423,-4.3026736e-17
0.47388905,0.14813783,0.1091173,8.5435225e-17
0.47619722,0.15154024,0.11099286,-5.1478304e-17
0.47864379,0.1546982,0.1126246,-1.2028391e-17
0.48123703,0.15767777,0.11406123,5.5332927e-17
0.48398573,0.16053059,0.1153399,-3.7922262e-17
0.4868992,0.16329755,0.11648911,-3.1115613e-17
0.4899873,0.1660116,0.11753083,-1.0140194e-17
0.49326049,0.16869986,0.11848221,1.9768893e-17
0.49672983,0.1713851,0.11935667,6.5786496e-18
0.50040707,0.17408697,0.12016481,8.0640898e-18
0.50430464,0.17682275,0.12091504,3.5682625e-18
0.50843572,0.17960803,0.12161404,1.2584411e-19
0.51281426,0.18245719,0.12226707,-3.3119318e-18
0.51745505,0.18538375,0.12287829,2.195234e-17
0.52237379,0.18840069,0.12345087,9.6712194e-19
0.52758706,0.19152069,0.12398718,-3.7534066e-17
0.53311245,0.19475629,0.12448886,-7.04216e-19
0.53896862,0.19812011,0.12495693,1.6215617e-17
0.5451753,0.20162495,0.12539176,9.7349832e-21
0.55175341,0.20528398,0.12579318,-7.8796803e-18
0.5587251,0.20911081,0.12616045,-4.3876792e-19
0.56611385,0.21311965,0.12649229,7.578767e-18
0.57394452,0.21732541,0.12678691,1.6949239e-19
0.58224344,0.221744,0.12704169,2.8364563e-17
0.59103849,0.22639293,0.1272524,-1.5214743e-19
0.60035921,0.23129036,0.12741502,-4.1836021e-17
0.61023689,0.23645872,0.12753509,2.1879082e-19
0.62070465,0.24195882,0.1276304,1.6215197e-17
0.63179756,0.24789807,0.12772437,2.0970838e-19
0.64355276,0.25436915,0.12784086,-2.2278368e-18
0.65600958,0.26143096,0.127993,8.0149921e-20
0.66920964,0.26914042,0.12817994,-1.3163732e-19
0.68319703,0.27756023,0.12839712,-4.0154728e-20
0.6980184,0.28675595,0.12863964,-3.3630693e-18
0.71372312,0.29679566,0.12890061,-1.8992205e-17
0.73036348,0.3077498,0.12917025,3.2323037e-18
0.74799478,0.31969022,0.12943572,2.03647e-17
0.76667556,0.33268882,0.12968094,1.0831572e-19
0.78646776,0.34681593,0.12988642,1.1853028e-19
0.80743691,0.36213852,0.13002922,2.4094809e-19
0.82965235,0.37871811,0.13008299,9.6225418e-18
0.85318741,0.39660846,0.13001824,5.9777352e-19
0.87811967,0.41585294,0.12980277,-1.2924282e-17
0.90453116,0.43648176,0.12940267,-1.9937562e-17
0.93250863,0.45851023,0.12878382,2.0820944e-18
0.96214382,0.48193889,0.12791283,1.9337803e-17
0.99353369,0.50674612,0.1267582,8.9162502e-20
1.0139869,0.52281884,0.12585957,1.5865837e-19
1.0267827,0.53288484,0.12528829,1.9369971e-19
1.0620005,0.5602657,0.12347406,4.2422502e-19
1.0992983,0.58874755,0.12130159,-5.2932933e-20
1.1387972,0.61817672,0.118763,1.0747679e-19
1.1806248,0.64836514,0.11586026,1.0558857e-17
1.2249163,0.67908772,0.1126038,1.2451867e-18
1.271814,0.71008353,0.10901109,-5.5144288e-19
1.3214686,0.74106103,0.10510402,1.2590501e-18
1.3740391,0.77170791,0.10090615,-1.0247292e-17
1.4296932,0.8017067,0.096440114,1.3634232e-17
1.4886081,0.83075662,0.091726295,7.9727565e-18
1.5509706,0.8586016,0.086783501,-1.3557276e-17
