y,U_0,U_1,U_2
0.44812865,0,0,0
0.44889175,-0.0024664041,0.0019184404,6.8300552e-19
0.44970063,-0.0050393049,0.0039230655,-6.8202724e-19
0.45055805,-0.0077607832,0.0060475426,-2.6878285e-19
0.45146692,-0.01063898,0.0082987903,-1.2783726e-20
0.45243032,-0.01368229,0.010684002,-8.0108588e-17
0.45345151,-0.016899278,0.013210605,4.6325893e-18
0.45453398,-0.020298577,0.015886164,9.6089445e-17
0.45568138,-0.023888705,0.018718225,-8.1559796e-17
0.45689762,-0.027677764,0.021714092,-6.6476475e-18
0.45818683,-0.031672983,0.024880459,3.7827902e-17
0.45955336,-0.035879993,0.028222848,3.3953685e-19
0.46100187,-0.04030175,0.031744755,5.0450667e-17
0.46253727,-0.044936955,0.035446396,1.324547e-18
0.46416476,-0.049777867,0.039322968,5.3676244e-18
0.46588986,-0.054807472,0.043362388,-1.4982825e-16
0.46771842,-0.059996226,0.047542663,4.2316883e-19
0.46965665,-0.065298935,0.051829357,1.5489288e-16
0.4717111,-0.070652871,0.056173993,-1.793739e-16
0.47388875,-0.075978512,0.060514509,2.720417e-18
0.47619698,-0.081184007,0.064778683,2.9789838e-16
0.4786436,-0.086173403,0.068890566,1.3842108e-18
0.4812369,-0.090857021,0.072778711,-1.1576626e-16
0.48398567,-0.09516129,0.076384065,8.7357004e-19
0.48689921,-0.099035387,0.079665395,4.1877336e-17
0.48998738,-0.10245338,0.082601174,1.6799482e-17
0.49326065,-0.10541213,0.085188103,-3.6484082e-17
0.49673007,-0.10792645,0.087437366,-5.1242015e-17
0.5004074,-0.11002311,0.089369949,-3.7188686e-17
0.50430505,-0.11173519,0.09101216,5.5762994e-18
0.50843622,-0.11309753,0.092392002,2.8848244e-17
0.51281486,-0.11414364,0.093536636,2.3379129e-17
0.51745577,-0.11490384,0.094470845,-4.7755884e-17
0.52237461,-0.11540433,0.095216283,-2.9851215e-18
0.527588,-0.11566701,0.095791245,4.4218898e-17
0.53311352,-0.11570966,0.096210754,-4.0170179e-19
0.53896981,-0.11554628,0.096486808,6.1674075e-20
0.54517663,-0.11518754,0.096628688,5.8272788e-19
0.55175488,-0.11464123,0.096643261,1.2770085e-17
0.55872673,-0.11391268,0.09653526,4.5416765e-19
0.56611563,-0.11300511,0.096307512,-1.2150958e-17
0.57394647,-0.11191997,0.095961124,-1.1685885e-19
0.58224555,-0.11065717,0.09549561,1.5006813e-19
0.59104079,-0.10921531,0.094908967,4.253668e-20
0.6003617,-0.10759181,0.094197702,-3.6079541e-18
0.61023958,-0.10578294,0.093356786,2.1393925e-19
0.62070754,-0.10378371,0.092379528,1.0059607e-17
0.63180067,-0.10158752,0.091257334,-2.7624846e-19
0.64355609,-0.099185254,0.089979298,-6.2335884e-18
0.65601315,-0.096563622,0.088531494,1.620997e-17
0.66921346,-0.093701709,0.086895792,5.6300251e-19
0.6832011,-0.090564319,0.085047868,-1.6676919e-17
0.69802273,-0.087088426,0.082953774,5.0312202e-18
0.71372772,-0.083153192,0.08056232,2.9579372e-17
0.73036836,-0.078514601,0.077788519,-6.5297362e-18
0.74799995,-0.072661262,0.074491555,-3.296275e-17
0.76668102,-0.064220007,0.070373316,-6.2601078e-20
0.78647353,-0.049071579,0.064619547,-3.6136548e-19
0.807443,-0.018064032,0.05585381,0
0.82965875,0.03563805,0.044002129,-2.8464337e-17
0.85319414,0.10637698,0.031267873,-8.9035492e-18
0.87812673,0.18391667,0.019748565,2.8449821e-17
0.90453855,0.26343001,0.010214227,2.3471244e-17
0.93251636,0.3432542,0.002809285,9.9520042e-17
0.96215188,0.42100912,-0.0024583387,-2.7486256e-18
0.99354208,0.49360416,-0.0057655199,-8.6020765e-17
1.0138306,0.53346347,-0.0068199407,-3.388142e-17
1.0267912,0.55880857,-0.0074725818,-7.2124879e-20
1.0620087,0.61594749,-0.008000355,-6.2626044e-20
1.0993063,0.66553355,-0.0077735001,1.2532969e-19
1.1388049,0.70851535,-0.0071405217,-1.3672888e-17
1.1806322,0.74608991,-0.0063564081,-9.2805782e-18
1.2249233,0.77953609,-0.0055623525,1.5245846e-17
1.2718207,0.81000331,-0.0048083016,-6.7901829e-19
1.3214751,0.83836855,-0.004095429,-5.3651746e-18
1.3740452,0.86523832,-0.0034072029,1.0862011e-17
1.4296989,0.89101984,-0.0027241036,-6.7524133e-18
1.4886134,0.915964,-0.0020258483,-2.9406247e-19
1.5509756,0.94018357,-0.0012949761,7.1219082e-18
1.6169826,0.96367391,-0.00052129367,-3.3223438e-18
1.6868426,0.98632997,0.00030578932,-1.8964602e-20
1.7607751,1.0076823,0.0011855919,-1.7661344e-20
1.8345848,1.0268235,0.0020446713,1.0119018e-20
1.9041042,1.0433588,0.002774251,-1.2880867e-17
1.9695896,1.0575629,0.0033346463,7.3338952e-18
2.0312813,1.0697699,0.0037447116,1.4690892e-17
2.0894046,1.0802639,0.0040301216,-7.4044313e-18
2.0951228,1.0812066,0.0040491864,-6.6643526e-18
2.1441731,1.08928,0.004211641,3.9161932e-19
2.1957821,1.0970208,0.0043067907,5.0082703e-20
2.244417,1.1036542,0.004331674,-1.2438657e-17
2.2902523,1.1093202,0.0043002504,-1.2450737e-17
2.3334521,1.114135,0.0042245084,7.5121336e-17
2.3741702,1.1181941,0.0041145273,9.6206339e-18
2.4125513,1.1215749,0.0039787268,-6.55492e-17
2.4487314,1.1243401,0.003824188,1.2278103e-22
2.4828384,1.1265416,0.0036566679,-1.6326688e-20
2.5149925,1.12822,0.0034808156,5.3524793e-18
2.5453067,1.129406,0.0033003081,5.5310983e-17
2.5738875,1.1301213,0.0031180005,-9.7212251e-18
2.6008349,1.130381,0.002936094,-8.4810217e-17
2.6262432,1.1301938,0.0027562266,1.89894e-18
2.650201,1.1295635,0.0025795683,1.795348e-17
2.6727917,1.1284894,0.0024069031,1.0116409e-18
2.6940941,1.1269679,0.0022387006,-9.8140701e-17
2.714182,1.1249931,0.0020751805,7.0990703e-18
2.7331252,1.1225584,0.0019163698,1.1379039e-16
2.7509893,1.1196574,0.0017621544,-1.6808764e-20
2.7678362,1.1162853,0.0016123275,1.2611262e-22
2.7837241,1.1124403,0.001466633,1.7100544e-17
2.7987078,1.1081241,0.0013248045,-4.6472222e-19
2.812839,1.1033429,0.0011866101,-1.8289192e-17
2.8261666,1.0981067,0.0010518502,-4.3659107e-21
2.8387363,1.0924299,0.00092039776,-1.1805464e-20
2.8505915,1.0863302,0.00079222367,3.0289905e-21
2.8617729,1.0798281,0.00066739869,1.3387202e-17
2.872319,1.0729448,0.00054609328,1.1671692e-17
2.8822659,1.0657006,0.0004285504,1.3934212e-17
2.8916478,1.0581139,0.00031509215,-8.4787548e-17
2.900497,1.0502002,0.00020609859,-1.2134772e-17
2.9088436,1.0419708,0.00010199057,1.3403752e-17
2.9167165,1.0334321,3.2113088e-06,-1.1961097e-17
2.9241424,1.0245853,-8.9792242e-05,6.1110185e-17
2.9311469,1.0154261,-0.00017658721,-1.6396351e-20
2.9377539,1.0059444,-0.00025677134,-3.6315762e-17
2.943986,0.99612477,-0.00032998789,-1.4532445e-17
2.9498645,0.98594607,-0.00039593857,1.0839599e-16
2.9554096,0.97538219,-0.00045439474,1.2900388e-17
2.9606401,0.9644022,-0.00050520623,-1.7292928e-16
2.965574,0.9529707,-0.0005483077,-4.0736651e-17
2.970228,0.94104821,-0.00058372574,2.5996938e-16
2.9746182,0.92859152,-0.00061159324,1.2261184e-16
2.9787594,0.91555407,-0.00063218942,-1.1389693e-16
2.9826658,0.90188583,-0.00064568647,-8.6813775e-17
2.9863508,0.88750601,-0.00065195997,-5.1963121e-17
2.9898268,0.87228956,-0.00065077125,1.0474425e-20
2.9931058,0.85611888,-0.00064204359,-9.605169e-21
2.996199,0.83890855,-0.00062620823,5.3810699e-21
2.9991168,0.82058553,-0.00060413745,-1.559666e-16
3.0018692,0.80107885,-0.00057683004,1.2390904e-16
3.0044657,0.78031425,-0.00054529935,1.5794057e-16
3.006915,0.75821174,-0.00051053002,-4.3275929e-17
3.0092255,0.7346839,-0.00047344719,5.3044531e-17
3.0114051,0.70963417,-0.00043491152,-8.5686947e-17
3.0134612,0.68295627,-0.0003957035,-6.0402828e-17
3.0154008,0.65453804,-0.00035652154,3.1806281e-21
3.0172305,0.62426906,-0.00031798658,3.9615607e-21
3.0189565,0.59204954,-0.00028064112,2.8546891e-16
3.0205847,0.55780278,-0.00024495325,5.1703413e-16
3.0221207,0.52148461,-0.00021117836,-3.3089953e-16
3.0235696,0.48300326,-0.00017950843,-5.6316619e-16
3.0249365,0.44224714,-0.00015003714,2.3445315e-24
3.026226,0.3993851,-0.00012292634,-6.4863937e-16
3.0274424,0.35500592,-9.8418769e-05,1.0204812e-17
3.0285899,0.30999403,-7.6582775e-05,6.5951387e-16
3.0296724,0.26532703,-5.7507243e-05,4.1211823e-17
3.0306935,0.22183269,-4.1268547e-05,-4.8085921e-16
3.0316569,0.18004505,-2.7891311e-05,-3.0330919e-16
3.0325656,0.14021308,-1.731865e-05,4.4848991e-16
3.0334229,0.10239417,-9.432632e-06,2.2934627e-16
3.0342316,0.06654841,-4.1140448e-06,-2.1898694e-16
3.0349946,0.032598065,-1.3468471e-06,-7.9723392e-17
3.0357143,0,0,0
3.0357143,0,0,0
