y,R_0,R_1,R_2,R_3,R_4,R_5
-2.7950884e-17,6.6666667e-11,0,0,6.6666667e-11,0,6.6666667e-11
0.00086769924,7.3978263e-07,1.1394613e-09,-1.7793546e-24,7.3978176e-07,2.870659e-28,7.3978217e-07
0.0017874829,1.3768235e-06,1.3605199e-08,2.1194234e-23,1.3768025e-06,-3.4847542e-27,1.3768128e-06
0.0027624773,5.6111716e-06,1.201671e-07,2.3135942e-23,5.6109092e-06,-3.807128e-27,5.6110406e-06
0.0037959966,1.6922034e-05,6.475809e-07,1.013812e-28,1.6920241e-05,2.2110423e-29,1.6921138e-05
0.0048915537,4.0989458e-05,2.5116173e-06,1.1449932e-21,4.0981069e-05,-4.1651689e-25,4.0985263e-05
0.0060528726,8.5632542e-05,7.7435002e-06,-7.4762031e-21,8.5602408e-05,3.4230687e-24,8.5617475e-05
0.0072839007,0.0001607913,2.0071142e-05,-6.3766286e-20,0.00016070285,3.8927362e-23,0.00016074709
0.0085888223,0.00027779053,4.5088558e-05,9.3882409e-20,0.00027757122,-5.5683858e-23,0.00027768093
0.0099720729,0.00044726543,8.9097932e-05,1.4895445e-19,0.00044680004,-9.0715204e-23,0.00044703286
0.011438354,0.00067566756,0.00015586682,8.2148326e-20,0.00067482461,-1.1346972e-22,0.00067524617
0.01299265,0.00096179792,0.00024238693,-5.5270982e-20,0.00096051681,7.6593394e-23,0.00096115705
0.014640245,0.0012960742,0.00033727941,9.3170109e-19,0.0012945082,-7.0130393e-22,0.0012952901
0.016386737,0.0016637566,0.00042463314,1.1868721e-18,0.0016624116,-9.5738602e-22,0.0016630823
0.018238064,0.0020499027,0.00049086679,-2.2732997e-18,0.0020496998,1.8830563e-21,0.0020497992
0.020200518,0.0024427828,0.00052919509,-8.9097941e-19,0.0024450237,1.2002793e-21,0.0024439018
0.022280771,0.002834743,0.0005394298,-2.3541825e-18,0.0028410194,9.4090254e-22,0.0028378808
0.024485892,0.0032215311,0.00052514936,-1.4510756e-18,0.0032336303,7.83185e-22,0.0032275815
0.026823378,0.0036012369,0.00049097423,2.3879454e-18,0.0036210744,-8.9883849e-22,0.0036111574
0.029301173,0.0039733906,0.0004410469,6.3869719e-24,0.004002969,-4.8889371e-25,0.0039881821
