y,k
0,1e-10
0.00048240845,2.3116199e-07
0.00098049384,3.3213518e-07
0.0014947656,1.2633309e-06
0.0020257498,3.6365468e-06
0.0025739895,8.4235394e-06
0.0031400454,1.6865128e-05
0.0037244966,3.0487918e-05
0.0043279408,5.1131605e-05
0.0049509953,8.0974163e-05
0.0055942973,0.00012254593
0.0062585048,0.00017872048
0.0069442972,0.00025266558
0.007652376,0.00034773319
0.0083834654,0.00046726726
0.0091383131,0.00061431701
0.0099176913,0.00079126674
0.010722397,0.00099943265
0.011553254,0.0012387203
0.012411111,0.0015074573
0.013296846,0.0018024862
0.014211364,0.002119523
0.015155603,0.002453687
0.016130526,0.0028000587
0.017137132,0.0031541337
0.018176449,0.0035121041
0.019249542,0.0038709677
0.020357507,0.0042285071
0.021501477,0.0045831916
0.022682624,0.0049340484
0.023902154,0.0052805337
0.025161316,0.0056224187
0.026461397,0.0059596965
0.027803728,0.0062925118
0.02918968,0.0066211072
0.030620672,0.0069457859
0.032098167,0.0072668848
0.033623676,0.0075847564
0.03519876,0.0078997566
0.03682503,0.008212237
0.03850415,0.0085225401
0.040237836,0.0088309964
0.042027862,0.0091379229
0.043876059,0.0094436231
0.045784317,0.0097483868
0.047754588,0.010052491
0.049788888,0.0103562
0.051889297,0.010659767
0.054057963,0.010963435
0.056297104,0.011267438
0.058609012,0.011572002
0.06099605,0.011877344
0.06346066,0.012183677
0.066005363,0.012491207
0.068632762,0.012800136
0.071345544,0.013110663
0.074146484,0.013422981
0.077038447,0.013737283
0.08002439,0.014053761
0.083107369,0.014372604
0.086290535,0.014694002
0.089577146,0.015018145
0.092970562,0.015345222
0.096474255,0.015675424
0.10009181,0.016008946
0.10382692,0.016345982
0.10768342,0.016686731
0.11166524,0.017031392
0.11577645,0.017380172
0.12002127,0.017733277
0.12440404,0.018090922
0.12892923,0.018453323
0.13360148,0.018820703
0.13842557,0.019193289
0.14340642,0.019571315
0.14854914,0.019955019
0.15385898,0.020344647
0.15934138,0.020740448
0.16500194,0.021142682
0.17084645,0.021551611
0.17688089,0.021967505
0.18311143,0.022390639
0.18954445,0.022821295
0.19618653,0.02325976
0.20304445,0.023706325
0.21012524,0.024161285
0.21743614,0.024624939
0.22498461,0.025097587
0.23277839,0.025579529
0.24082545,0.026071064
0.24913402,0.026572487
0.25771259,0.027084087
0.26656994,0.027606142
0.27571513,0.02813892
0.28515751,0.028682669
0.29490674,0.029237611
0.3049728,0.029803941
0.31536597,0.030381817
0.3260969,0.030971354
0.33717655,0.031572613
0.34861625,0.03218559
0.36042772,0.032810204
0.37262303,0.033446286
0.38521464,0.034093557
0.39821546,0.034751614
0.41163876,0.035419912
0.42549828,0.036097734
0.4398082,0.036784174
0.45458315,0.03747811
0.46983824,0.038178187
0.48558908,0.038882782
0.50185179,0.039589955
0.51864298,0.040297415
0.53597984,0.041005908
0.5538801,0.041720282
0.57236207,0.042438425
0.59144465,0.0431451
0.61114736,0.043818044
0.63149036,0.044434
0.65249445,0.044972236
0.67418111,0.045415386
0.69657252,0.045748555
0.7196916,0.045955587
0.74356198,0.046026744
0.76820808,0.045952827
0.79365511,0.045720359
0.8199291,0.04532136
0.84705692,0.044751847
0.87506632,0.044012979
0.90398595,0.04311218
0.93384539,0.042063885
0.96467517,0.040889691
0.99650683,0.039617807
1.0293729,0.038281708
1.0633071,0.036917965
1.098344,0.035563279
1.1345196,0.03425095
1.1718707,0.033007302
1.2104356,0.031848904
1.2502538,0.03078136
1.291366,0.029800009
1.3338142,0.028892068
1.3776419,0.028038915
1.4228938,0.027219687
1.4696163,0.026416733
1.5178571,0.025620681
1.566098,0.024832655
1.6128205,0.024054172
1.6580724,0.023279607
1.7019001,0.022502793
1.7443483,0.021720851
1.7854605,0.020933442
1.8252786,0.02014191
1.8638436,0.019348536
1.9011947,0.018556016
1.9373703,0.017767177
1.9724072,0.016984844
2.0063413,0.016211787
2.0392075,0.015450689
2.0710391,0.01470413
2.1018689,0.013974566
2.1317283,0.013264311
2.160648,0.012575531
2.1886574,0.01191024
2.2157852,0.011270303
2.2420592,0.010657441
2.2675062,0.010073249
2.2921523,0.0095192065
2.3160227,0.0089966969
2.3391418,0.0085070072
2.3615332,0.008051362
2.3832198,0.0076309588
2.4042239,0.007246932
2.4245669,0.0069003255
2.4442696,0.006592069
2.4633522,0.0063229157
2.4818342,0.0060933545
2.4997344,0.0059035027
2.5170713,0.0057529901
2.5338625,0.0056408548
2.5501252,0.0055655859
2.565876,0.0055250646
2.5811311,0.0055159331
2.5959061,0.0055345776
2.610216,0.005577547
2.6240755,0.0056409227
2.6374988,0.0057208221
2.6504996,0.0058135567
2.6630913,0.0059157508
2.6752866,0.0060244167
2.687098,0.0061369907
2.6985377,0.0062513362
2.7096174,0.0063657245
2.7203483,0.0064788006
2.7307415,0.0065895413
2.7408075,0.0066972098
2.7505568,0.0068013117
2.7599992,0.0069015527
2.7691443,0.0069978015
2.7780017,0.0070900556
2.7865803,0.0071784122
2.7948888,0.007263044
2.8029359,0.0073441776
2.8107297,0.0074220762
2.8182781,0.0074970256
2.825589,0.0075693221
2.8326698,0.007639263
2.8395278,0.0077071393
2.8461698,0.0077732302
2.8526028,0.0078377976
2.8588334,0.0079010839
2.8648678,0.0079633089
2.8707123,0.0080246686
2.8763729,0.0080853344
2.8818553,0.0081454534
2.8871651,0.0082051485
2.8923079,0.00826452
2.8972887,0.0083236471
2.9021128,0.0083825906
2.9067851,0.0084413957
2.9113102,0.0085000961
2.915693,0.0085587234
2.9199378,0.0086173116
2.924049,0.0086758303
2.9280309,0.0087341318
2.9318874,0.0087919762
2.9356225,0.0088490537
2.93924,0.0089049984
2.9427437,0.0089594007
2.9461371,0.0090118175
2.9494237,0.0090617826
2.9526069,0.0091088164
2.9556899,0.0091524348
2.9586758,0.0091921575
2.9615678,0.0092275147
2.9643687,0.0092580524
2.9670815,0.009283336
2.9697089,0.0093029525
2.9722536,0.0093165063
2.9747182,0.0093236248
2.9771053,0.0093239678
2.9794172,0.0093172014
2.9816563,0.0093029947
2.983825,0.0092810297
2.9859254,0.009250989
2.9879597,0.0092125501
2.98993,0.0091653783
2.9918382,0.009109122
2.9936864,0.0090433984
2.9954764,0.0089677918
2.9972101,0.0088818511
2.9988893,0.0087850752
3.0005155,0.0086769075
3.0020906,0.0085567293
3.0036161,0.0084238542
3.0050936,0.0082775243
3.0065246,0.0081169075
3.0079106,0.0079410988
3.0092529,0.007749126
3.010553,0.0075399602
3.0118121,0.0073125329
3.0130317,0.0070657689
3.0142128,0.0067986352
3.0153568,0.0065102021
3.0164647,0.0061997206
3.0175378,0.0058667064
3.0185772,0.0055109516
3.0195838,0.0051321148
3.0205587,0.0047302882
3.0215029,0.00430717
3.0224174,0.0038663117
3.0233032,0.003413321
3.024161,0.0029560994
3.0249919,0.0025047363
3.0257966,0.0020708717
3.026576,0.0016664629
3.0273308,0.0013021475
3.0280619,0.00098566484
3.02877,0.00072087236
3.0294558,0.00050765176
3.03012,0.00034259414
3.0307633,0.00022007193
3.0313863,0.00013329671
3.0319898,7.5143113e-05
3.0325742,3.8720067e-05
3.0331403,1.7772595e-05
3.0336885,6.9895044e-06
3.0342195,2.2259697e-06
3.0347338,6.1715037e-07
3.0352319,9.6510925e-07
3.0357104,7.9153395e-09
