y,U_0,U_1,U_2
0,0,0,0
0.00048240845,-0.0071937481,-4.0959559e-07,1.4908215e-17
0.00098049384,-0.014444194,-1.8108531e-06,-4.2619984e-26
0.0014947656,-0.021803641,-4.1897423e-06,1.9612893e-25
0.0020257498,-0.02926733,-7.6726032e-06,1.3428366e-26
0.0025739895,-0.036829819,-1.2373033e-05,2.6856874e-25
0.0031400454,-0.044484683,-1.8398847e-05,5.693849e-25
0.0037244966,-0.052224132,-2.5869838e-05,-8.3530517e-25
0.0043279408,-0.060038439,-3.4914406e-05,-7.0179295e-25
0.0049509953,-0.067915078,-4.5669934e-05,-3.8769115e-25
0.0055942973,-0.075837529,-5.8282958e-05,-2.4018794e-24
0.0062585048,-0.083783679,-7.2909461e-05,-3.2987666e-24
0.0069442972,-0.091723876,-8.9714352e-05,-2.008382e-24
0.007652376,-0.099618763,-0.000108871,-1.6672781e-24
0.0083834654,-0.1074173,-0.00013056043,-1.2996371e-24
0.0091383131,-0.11505567,-0.00015496899,-7.1971226e-25
0.0099176913,-0.12245803,-0.00018228517,1.7022047e-24
0.010722397,-0.12954005,-0.00021269565,2.335978e-24
0.011553254,-0.13621582,-0.00024637791,-2.024926e-24
0.012411111,-0.14240719,-0.00028349234,-1.2575281e-24
0.013296846,-0.14805364,-0.00032417478,1.0409056e-24
0.014211364,-0.1531197,-0.00036852916,3.0881118e-25
0.015155603,-0.15759765,-0.00041662559,2.0136548e-25
0.016130526,-0.16150521,-0.00046850266,1.1226806e-24
0.017137132,-0.16487946,-0.00052417314,1.430641e-24
0.018176449,-0.16776933,-0.0005836328,-1.884337e-24
0.019249542,-0.17022873,-0.00064686846,-3.5721801e-24
0.020357507,-0.17231129,-0.0007138656,-9.5509418e-25
0.021501477,-0.17406705,-0.000784614,-4.1051808e-25
0.022682624,-0.17554075,-0.00085911132,-1.9896901e-24
0.023902154,-0.17677127,-0.00093736536,-1.0452241e-24
0.025161316,-0.17779183,-0.001019395,5.0623841e-25
0.026461397,-0.17863043,-0.0011052304,2.2075482e-24
0.027803728,-0.17931051,-0.0011949127,1.7038165e-24
0.02918968,-0.17985166,-0.0012884939,1.6405154e-27
0.030620672,-0.1802702,-0.0013860353,3.4476595e-25
0.032098167,-0.18057972,-0.001487608,-8.5059533e-25
0.033623676,-0.18079156,-0.0015932914,-1.2830162e-24
0.03519876,-0.18091521,-0.001703173,3.6762638e-25
0.03682503,-0.1809586,-0.0018173481,-2.1270438e-25
0.03850415,-0.18092836,-0.0019359191,-9.1321932e-25
0.040237836,-0.18083007,-0.0020589954,-7.0689388e-25
0.042027862,-0.18066839,-0.0021866929,-5.3234048e-25
0.043876059,-0.18044723,-0.0023191342,-1.2921038e-24
0.045784317,-0.18016986,-0.0024564478,-1.7693373e-24
0.047754588,-0.17983898,-0.0025987688,-3.2868204e-26
0.049788888,-0.17945686,-0.0027462381,1.4030629e-24
0.051889297,-0.17902532,-0.0028990029,1.2358545e-25
0.054057963,-0.17854585,-0.0030572163,8.6635182e-26
0.056297104,-0.17801963,-0.0032210375,5.7862538e-25
0.058609012,-0.17744755,-0.0033906318,5.0794988e-25
0.06099605,-0.17683026,-0.0035661706,2.266612e-24
