y,R_0,R_1,R_2,R_3,R_4,R_5
-2.7950884e-17,6.6666667e-11,0,0,6.6666667e-11,0,6.6666667e-11
0.00086769924,0.00015295993,-3.2853576e-08,3.7633652e-23,0.00015295998,-1.2370428e-26,0.00015295996
0.0017874829,2.2961182e-05,-3.0900285e-08,1.9181325e-23,2.2961259e-05,-7.2644145e-27,2.2961225e-05
0.0027624773,8.8820053e-06,-1.7540953e-08,-2.6248315e-23,8.8820802e-06,8.5210731e-27,8.8820435e-06
0.0037959966,3.2765512e-06,-5.2058594e-09,6.4656352e-31,3.2765833e-06,3.1977457e-30,3.2765672e-06
0.0048915537,6.0809584e-07,-4.619812e-10,2.7338285e-29,6.080999e-07,-1.1181611e-32,6.0809785e-07
0.0060528726,6.0928544e-09,-5.3850085e-14,2.761388e-29,6.0928553e-09,-1.0531531e-31,6.0928549e-09
0.0072839007,6.6666667e-16,-2.7287414e-28,1.0637747e-42,6.6666667e-16,-1.2333477e-45,6.6666667e-16
0.0085888223,6.6666667e-16,-2.5895353e-28,-2.9820295e-43,6.6666667e-16,2.3688072e-46,6.6666667e-16
0.0099720729,6.6666667e-16,-2.3740985e-28,-1.0745521e-42,6.6666667e-16,1.4234359e-45,6.6666667e-16
0.011438354,6.6666667e-16,-2.0693451e-28,-1.9392754e-43,6.6666667e-16,1.9296906e-45,6.6666667e-16
0.01299265,6.6666667e-16,-1.6620499e-28,2.1868336e-44,6.6666667e-16,-2.2234166e-46,6.6666667e-16
0.014640245,6.6666667e-16,-1.1394622e-28,-7.7692987e-43,6.6666667e-16,1.495752e-45,6.6666667e-16
0.016386737,6.6666667e-16,-4.9001118e-29,-1.0263611e-42,6.6666667e-16,4.447883e-45,6.6666667e-16
0.018238064,6.6666667e-16,2.9598233e-29,1.2583595e-42,6.6666667e-16,-4.7144741e-45,6.6666667e-16
0.020200518,6.6666667e-16,1.2257216e-28,6.8072184e-43,6.6666667e-16,-4.0862585e-45,6.6666667e-16
0.022280771,6.6666667e-16,2.3036969e-28,7.2579785e-43,6.6666667e-16,-1.8638217e-45,6.6666667e-16
0.024485892,6.6666667e-16,3.5320127e-28,6.0164492e-43,6.6666667e-16,-1.3873102e-45,6.6666667e-16
