y,U_0,U_1,U_2
1.0002541,0,0,0
1.0008359,0.029850654,2.7083328e-05,4.5373675e-21
1.0014527,0.061706648,8.9863767e-06,8.6950064e-21
1.0021064,0.096202601,-5.8804254e-05,-1.5572952e-20
1.0027994,0.13356321,-0.00017028764,-1.5067665e-20
1.0035339,0.17395158,-0.00031852304,1.5795287e-21
1.0043126,0.21731994,-0.00049636896,1.1829073e-20
1.005138,0.26318167,-0.00069702735,1.4968955e-20
1.006013,0.31045826,-0.00090892364,1.5725437e-21
1.0069405,0.3576555,-0.0011103693,-6.9771105e-21
1.0079236,0.40335765,-0.0012775137,-9.0175053e-22
1.0089658,0.44663588,-0.0013954163,-4.232515e-21
1.0100705,0.48708751,-0.0014554387,-1.3506856e-21
1.0112415,0.52463984,-0.0014487242,2.3174512e-21
1.0124829,0.5593542,-0.0013668907,-3.4561359e-21
1.0137987,0.59131892,-0.0012053881,-1.8404641e-21
1.0151935,0.62061284,-0.00096453247,1.2059229e-21
1.0166721,0.64730463,-0.00064865184,6.14109e-21
1.0182393,0.67146838,-0.00026488298,1.5011956e-21
1.0199007,0.69320198,0.00017813874,-1.65968e-21
1.0216618,0.71263322,0.00067115466,4.8247751e-22
1.0235286,0.72992478,0.0012053702,-1.0765489e-21
1.0255075,0.74527146,0.001773547,-1.0728616e-21
1.0276052,0.75888095,0.002370012,1.983059e-21
1.0298287,0.77095948,0.0029905513,-2.3487067e-21
1.0321858,0.78170316,0.0036324162,-7.6317392e-23
1.0346843,0.79129177,0.0042941311,8.2341786e-22
1.0373328,0.79988571,0.0049752638,-6.8153291e-22
1.0401402,0.80762706,0.0056762937,8.0187353e-22
1.0431162,0.81464041,0.0063983994,-9.4706351e-22
1.0462709,0.82103318,0.0071432391,6.1098054e-22
1.0496148,0.8268974,0.0079128556,4.4973296e-22
1.0531596,0.83231176,0.0087095751,-1.4725893e-21
1.0569171,0.83734342,0.0095359087,-3.0451041e-22
1.0609001,0.84204969,0.010394473,9.0554269e-22
1.0651222,0.84647955,0.011287923,4.6868134e-22
1.0695978,0.85067484,0.012218879,-3.2766093e-22
1.074342,0.8546714,0.013189864,1.337907e-22
1.079371,0.85849991,0.014203231,4.5160591e-23
1.0847018,0.86218671,0.015261089,-4.016691e-22
1.0903526,0.86575443,0.016365225,-5.6568058e-23
1.0963427,0.86922257,0.017517026,1.0611348e-21
1.1026923,0.87260796,0.018717391,-2.288958e-22
1.109423,0.87592516,0.019966646,-2.3407262e-22
1.1165578,0.87918685,0.021264456,5.4412721e-22
1.1241208,0.88240412,0.022609741,-5.8154894e-22
1.1321378,0.88558677,0.024000589,-1.0243831e-21
1.140636,0.88874359,0.025434182,1.8757397e-22
1.1496443,0.89188257,0.026906731,9.0804965e-22
1.1591934,0.89501118,0.028413417,5.8273032e-23
1.1693157,0.89813652,0.029948359,-4.883689e-22
1.1800455,0.90126559,0.031504584,-2.5189e-22
1.1914194,0.90440543,0.033074033,-5.6414662e-23
1.2034761,0.90756332,0.034647585,6.5645888e-22
1.2162565,0.91074695,0.036215097,3.8059567e-22
1.229804,0.91396458,0.037765483,-5.9517767e-22
1.2441647,0.91722514,0.039286811,-4.6191371e-22
1.2593874,0.92053834,0.040766424,2.1231421e-22
1.2755239,0.9239148,0.042191087,3.5034243e-22
1.292629,0.92736605,0.043547158,1.478117e-22
1.3107609,0.93090462,0.044820765,-1.920708e-22
1.3299811,0.93454397,0.045998014,8.6961413e-23
1.350355,0.9382985,0.047065209,-1.2930912e-22
1.3719519,0.94218342,0.048009079,6.9155674e-24
1.3948452,0.94621469,0.048817017,8.9021326e-23
1.4191127,0.95040874,0.04947733,-3.9353696e-22
1.4448368,0.95478225,0.049979481,-2.4786493e-22
1.472105,0.95935176,0.050314313,7.669478e-23
1.5010101,0.96413322,0.050474245,2.5536594e-22
1.5316502,0.96914135,0.050453418,3.6208942e-22
